subscription_id,customer_id,plan_id,billing_period,seats,discount_pct,start_date,end_date,end_reason,churn_type,churn_reason
SUB-00022-02,CUS-00022,PLN-GROWTH,monthly,34,0.079,2023-06-01,2024-09-01,churn,voluntary,Switched to competitor
SUB-00023-00,CUS-00023,PLN-ENTERPRISE,annual,521,0.241,2023-02-01,2023-09-01,plan_change,,
SUB-00023-01,CUS-00023,PLN-ENTERPRISE,annual,291,0.241,2023-09-01,2024-02-01,plan_change,,
SUB-00023-02,CUS-00023,PLN-ENTERPRISE,annual,335,0.241,2024-02-01,2024-07-01,plan_change,,
SUB-00023-03,CUS-00023,PLN-ENTERPRISE,annual,379,0.241,2024-07-01,2025-10-01,plan_change,,
SUB-00023-04,CUS-00023,PLN-ENTERPRISE,annual,454,0.241,2025-10-01,2025-11-01,plan_change,,
SUB-00023-05,CUS-00023,PLN-ENTERPRISE,annual,385,0.241,2025-11-01,2026-02-01,plan_change,,
SUB-00023-06,CUS-00023,PLN-ENTERPRISE,annual,515,0.241,2026-02-01,2026-08-01,plan_change,,
SUB-00023-07,CUS-00023,PLN-ENTERPRISE,annual,716,0.241,2026-08-01,,,,
SUB-00024-00,CUS-00024,PLN-STARTER,monthly,6,0.048,2023-02-01,2023-10-01,plan_change,,
SUB-00024-01,CUS-00024,PLN-STARTER,monthly,7,0.048,2023-10-01,2024-07-01,plan_change,,
SUB-00024-02,CUS-00024,PLN-STARTER,monthly,6,0.048,2024-07-01,2026-02-01,plan_change,,
SUB-00024-03,CUS-00024,PLN-STARTER,monthly,7,0.048,2026-02-01,2026-07-01,plan_change,,
SUB-00024-04,CUS-00024,PLN-STARTER,monthly,6,0.048,2026-07-01,,,,
SUB-00025-00,CUS-00025,PLN-GROWTH,monthly,15,0.0,2023-02-01,2023-06-01,plan_change,,
SUB-00025-01,CUS-00025,PLN-GROWTH,monthly,18,0.0,2023-06-01,2023-12-01,churn,voluntary,Missing functionality
SUB-00026-00,CUS-00026,PLN-GROWTH,monthly,45,0.04,2023-02-01,2023-09-01,plan_change,,
SUB-00026-01,CUS-00026,PLN-GROWTH,monthly,63,0.04,2023-09-01,2024-10-01,plan_change,,
SUB-00026-02,CUS-00026,PLN-GROWTH,monthly,38,0.04,2024-10-01,2024-11-01,plan_change,,
SUB-00026-03,CUS-00026,PLN-GROWTH,monthly,48,0.04,2024-11-01,2025-05-01,plan_change,,
SUB-00026-04,CUS-00026,PLN-GROWTH,monthly,64,0.04,2025-05-01,,,,
SUB-00027-00,CUS-00027,PLN-GROWTH,monthly,10,0.074,2023-02-01,2023-12-01,churn,voluntary,Poor support experience
SUB-00028-00,CUS-00028,PLN-SCALE,monthly,141,0.033,2023-02-01,2023-08-01,plan_change,,
SUB-00028-01,CUS-00028,PLN-SCALE,monthly,124,0.033,2023-08-01,2024-11-01,plan_change,,
SUB-00028-02,CUS-00028,PLN-SCALE,monthly,154,0.033,2024-11-01,2025-01-01,plan_change,,
SUB-00028-03,CUS-00028,PLN-SCALE,monthly,116,0.033,2025-01-01,2025-11-01,plan_change,,
SUB-00028-04,CUS-00028,PLN-SCALE,monthly,168,0.033,2025-11-01,2026-05-01,plan_change,,
SUB-00028-05,CUS-00028,PLN-SCALE,monthly,242,0.033,2026-05-01,,,,
SUB-00029-00,CUS-00029,PLN-SCALE,annual,92,0.124,2023-02-01,2023-09-01,churn,voluntary,Poor support experience
SUB-00030-00,CUS-00030,PLN-STARTER,monthly,3,0.078,2023-02-01,2023-12-01,plan_change,,
SUB-00030-01,CUS-00030,PLN-STARTER,monthly,4,0.078,2023-12-01,2025-03-01,plan_change,,
SUB-00030-02,CUS-00030,PLN-STARTER,monthly,5,0.078,2025-03-01,,,,
SUB-00031-00,CUS-00031,PLN-GROWTH,monthly,28,0.035,2023-02-01,2023-09-01,churn,involuntary,Payment failure
SUB-00032-00,CUS-00032,PLN-GROWTH,annual,34,0.142,2023-02-01,2023-12-01,plan_change,,
SUB-00032-01,CUS-00032,PLN-GROWTH,annual,45,0.142,2023-12-01,2024-05-01,plan_change,,
SUB-00032-02,CUS-00032,PLN-GROWTH,annual,54,0.142,2024-05-01,2025-01-01,plan_change,,
SUB-00032-03,CUS-00032,PLN-GROWTH,annual,64,0.142,2025-01-01,2025-02-01,churn,voluntary,Low adoption
SUB-00033-00,CUS-00033,PLN-STARTER,annual,6,0.178,2023-02-01,2023-05-01,plan_change,,
SUB-00033-01,CUS-00033,PLN-STARTER,annual,8,0.178,2023-05-01,2023-12-01,plan_change,,
SUB-00033-02,CUS-00033,PLN-STARTER,annual,9,0.178,2023-12-01,2024-07-01,plan_change,,
SUB-00033-03,CUS-00033,PLN-STARTER,annual,5,0.178,2024-07-01,2026-05-01,plan_change,,
SUB-00033-04,CUS-00033,PLN-STARTER,annual,3,0.178,2026-05-01,,,,
SUB-00034-00,CUS-00034,PLN-GROWTH,monthly,11,0.065,2023-03-01,2024-09-01,plan_change,,
SUB-00034-01,CUS-00034,PLN-GROWTH,monthly,12,0.065,2024-09-01,2025-10-01,plan_change,,
SUB-00034-02,CUS-00034,PLN-GROWTH,monthly,17,0.065,2025-10-01,2025-11-01,churn,voluntary,Missing functionality
SUB-00035-00,CUS-00035,PLN-GROWTH,monthly,31,0.077,2023-03-01,2023-11-01,churn,voluntary,Poor support experience
SUB-00036-00,CUS-00036,PLN-GROWTH,monthly,44,0.055,2023-03-01,2023-05-01,plan_change,,
SUB-00036-01,CUS-00036,PLN-GROWTH,monthly,31,0.055,2023-05-01,2023-10-01,churn,voluntary,Company acquired or closed
SUB-00037-00,CUS-00037,PLN-ENTERPRISE,annual,172,0.213,2023-03-01,2023-07-01,plan_change,,
SUB-00037-01,CUS-00037,PLN-ENTERPRISE,annual,192,0.213,2023-07-01,2023-11-01,plan_change,,
SUB-00037-02,CUS-00037,PLN-ENTERPRISE,annual,222,0.213,2023-11-01,2024-01-01,plan_change,,
SUB-00037-03,CUS-00037,PLN-ENTERPRISE,annual,197,0.213,2024-01-01,2024-09-01,plan_change,,
SUB-00037-04,CUS-00037,PLN-SCALE,annual,135,0.213,2024-09-01,2025-04-01,churn,involuntary,Payment failure
SUB-00038-00,CUS-00038,PLN-GROWTH,monthly,44,0.032,2023-03-01,2023-12-01,plan_change,,
SUB-00038-01,CUS-00038,PLN-GROWTH,monthly,48,0.032,2023-12-01,2024-04-01,plan_change,,
SUB-00038-02,CUS-00038,PLN-GROWTH,monthly,56,0.032,2024-04-01,2024-05-01,plan_change,,
SUB-00038-03,CUS-00038,PLN-GROWTH,monthly,40,0.032,2024-05-01,2026-01-01,churn,voluntary,Price / budget cuts
SUB-00039-00,CUS-00039,PLN-STARTER,monthly,5,0.06,2023-03-01,2023-04-01,plan_change,,
SUB-00039-01,CUS-00039,PLN-STARTER,monthly,6,0.06,2023-04-01,2023-07-01,plan_change,,
SUB-00039-02,CUS-00039,PLN-STARTER,monthly,3,0.06,2023-07-01,2023-09-01,plan_change,,
SUB-00039-03,CUS-00039,PLN-STARTER,monthly,4,0.06,2023-09-01,2023-11-01,churn,involuntary,Payment failure
SUB-00040-00,CUS-00040,PLN-GROWTH,monthly,26,0.0,2023-03-01,2023-11-01,churn,voluntary,Missing functionality
SUB-00041-00,CUS-00041,PLN-ENTERPRISE,monthly,479,0.136,2023-03-01,2024-05-01,plan_change,,
SUB-00041-01,CUS-00041,PLN-ENTERPRISE,monthly,375,0.136,2024-05-01,2024-06-01,plan_change,,
SUB-00041-02,CUS-00041,PLN-ENTERPRISE,monthly,524,0.136,2024-06-01,2025-06-01,churn,involuntary,Payment failure
SUB-00042-00,CUS-00042,PLN-GROWTH,monthly,16,0.018,2023-03-01,2024-01-01,plan_change,,
SUB-00042-01,CUS-00042,PLN-GROWTH,monthly,21,0.018,2024-01-01,2024-02-01,churn,involuntary,Payment failure
SUB-00043-00,CUS-00043,PLN-STARTER,annual,10,0.172,2023-03-01,2024-06-01,plan_change,,
SUB-00043-01,CUS-00043,PLN-STARTER,annual,12,0.172,2024-06-01,2025-01-01,plan_change,,
SUB-00043-02,CUS-00043,PLN-STARTER,annual,11,0.172,2025-01-01,2025-08-01,plan_change,,
SUB-00043-03,CUS-00043,PLN-STARTER,annual,13,0.172,2025-08-01,2025-09-01,plan_change,,
SUB-00043-04,CUS-00043,PLN-STARTER,annual,7,0.172,2025-09-01,2025-11-01,plan_change,,
SUB-00043-05,CUS-00043,PLN-STARTER,annual,9,0.172,2025-11-01,,,,
SUB-00044-00,CUS-00044,PLN-GROWTH,monthly,22,0.035,2023-03-01,2024-03-01,churn,voluntary,Price / budget cuts
SUB-00045-00,CUS-00045,PLN-GROWTH,monthly,19,0.081,2023-03-01,2024-01-01,churn,voluntary,Price / budget cuts
SUB-00046-00,CUS-00046,PLN-STARTER,monthly,4,0.0,2023-03-01,2023-09-01,churn,involuntary,Payment failure
SUB-00047-00,CUS-00047,PLN-STARTER,monthly,4,0.003,2023-03-01,2024-01-01,churn,voluntary,Price / budget cuts
SUB-00047-01,CUS-00047,PLN-STARTER,monthly,4,0.003,2024-09-01,2024-12-01,churn,voluntary,Missing functionality
SUB-00048-00,CUS-00048,PLN-GROWTH,monthly,15,0.07,2023-03-01,2024-03-01,plan_change,,
SUB-00048-01,CUS-00048,PLN-GROWTH,monthly,20,0.07,2024-03-01,2025-04-01,plan_change,,
SUB-00048-02,CUS-00048,PLN-GROWTH,monthly,17,0.07,2025-04-01,2025-11-01,plan_change,,
SUB-00048-03,CUS-00048,PLN-GROWTH,monthly,11,0.07,2025-11-01,2026-05-01,plan_change,,
SUB-00048-04,CUS-00048,PLN-STARTER,monthly,8,0.07,2026-05-01,2026-07-01,churn,involuntary,Payment failure
SUB-00049-00,CUS-00049,PLN-GROWTH,monthly,25,0.001,2023-03-01,2023-11-01,plan_change,,
SUB-00049-01,CUS-00049,PLN-GROWTH,monthly,34,0.001,2023-11-01,2023-12-01,plan_change,,
SUB-00049-02,CUS-00049,PLN-GROWTH,monthly,38,0.001,2023-12-01,2024-07-01,plan_change,,
SUB-00049-03,CUS-00049,PLN-GROWTH,monthly,55,0.001,2024-07-01,2025-10-01,plan_change,,
SUB-00049-04,CUS-00049,PLN-GROWTH,monthly,41,0.001,2025-10-01,2025-11-01,churn,involuntary,Payment failure
SUB-00050-00,CUS-00050,PLN-SCALE,monthly,160,0.109,2023-03-01,2023-11-01,plan_change,,
SUB-00050-01,CUS-00050,PLN-SCALE,monthly,186,0.109,2023-11-01,2024-07-01,churn,voluntary,Low adoption
SUB-00051-00,CUS-00051,PLN-GROWTH,monthly,16,0.046,2023-03-01,2023-07-01,plan_change,,
SUB-00051-01,CUS-00051,PLN-GROWTH,monthly,19,0.046,2023-07-01,2024-10-01,plan_change,,
SUB-00051-02,CUS-00051,PLN-GROWTH,monthly,22,0.046,2024-10-01,2024-11-01,churn,voluntary,Missing functionality
SUB-00052-00,CUS-00052,PLN-STARTER,annual,2,0.117,2023-04-01,2025-02-01,plan_change,,
SUB-00052-01,CUS-00052,PLN-STARTER,annual,3,0.117,2025-02-01,2025-04-01,plan_change,,
SUB-00052-02,CUS-00052,PLN-STARTER,annual,4,0.117,2025-04-01,2025-07-01,plan_change,,
SUB-00052-03,CUS-00052,PLN-STARTER,annual,3,0.117,2025-07-01,2025-08-01,plan_change,,
SUB-00052-04,CUS-00052,PLN-STARTER,annual,4,0.117,2025-08-01,2026-03-01,plan_change,,
SUB-00052-05,CUS-00052,PLN-STARTER,annual,5,0.117,2026-03-01,2026-07-01,plan_change,,
SUB-00052-06,CUS-00052,PLN-STARTER,annual,4,0.117,2026-07-01,,,,
SUB-00053-00,CUS-00053,PLN-STARTER,monthly,3,0.0,2023-04-01,2023-10-01,plan_change,,
SUB-00053-01,CUS-00053,PLN-STARTER,monthly,2,0.0,2023-10-01,2024-01-01,churn,voluntary,Price / budget cuts
SUB-00054-00,CUS-00054,PLN-STARTER,monthly,5,0.036,2023-04-01,2023-06-01,plan_change,,
SUB-00054-01,CUS-00054,PLN-STARTER,monthly,6,0.036,2023-06-01,2024-03-01,plan_change,,
SUB-00054-02,CUS-00054,PLN-STARTER,monthly,8,0.036,2024-03-01,2024-04-01,plan_change,,
SUB-00054-03,CUS-00054,PLN-STARTER,monthly,10,0.036,2024-04-01,2024-06-01,plan_change,,
SUB-00054-04,CUS-00054,PLN-STARTER,monthly,6,0.036,2024-06-01,2024-08-01,plan_change,,
SUB-00054-05,CUS-00054,PLN-STARTER,monthly,8,0.036,2024-08-01,2026-05-01,churn,involuntary,Payment failure
SUB-00055-00,CUS-00055,PLN-GROWTH,monthly,24,0.069,2023-04-01,2023-05-01,churn,voluntary,Low adoption
SUB-00056-00,CUS-00056,PLN-SCALE,annual,170,0.202,2023-04-01,2024-04-01,plan_change,,
SUB-00056-01,CUS-00056,PLN-SCALE,annual,218,0.202,2024-04-01,2024-09-01,plan_change,,
SUB-00056-02,CUS-00056,PLN-SCALE,annual,290,0.202,2024-09-01,2025-10-01,plan_change,,
SUB-00056-03,CUS-00056,PLN-SCALE,annual,329,0.202,2025-10-01,2025-11-01,plan_change,,
SUB-00056-04,CUS-00056,PLN-ENTERPRISE,annual,452,0.202,2025-11-01,2025-12-01,plan_change,,
SUB-00056-05,CUS-00056,PLN-ENTERPRISE,annual,355,0.202,2025-12-01,2026-03-01,plan_change,,
SUB-00056-06,CUS-00056,PLN-ENTERPRISE,annual,386,0.202,2026-03-01,,,,
SUB-00057-00,CUS-00057,PLN-GROWTH,monthly,25,0.004,2023-04-01,2024-04-01,plan_change,,
SUB-00057-01,CUS-00057,PLN-GROWTH,monthly,28,0.004,2024-04-01,2024-08-01,plan_change,,
SUB-00057-02,CUS-00057,PLN-GROWTH,monthly,32,0.004,2024-08-01,2025-10-01,plan_change,,
SUB-00057-03,CUS-00057,PLN-GROWTH,monthly,20,0.004,2025-10-01,2025-11-01,plan_change,,
SUB-00057-04,CUS-00057,PLN-GROWTH,monthly,18,0.004,2025-11-01,2026-06-01,plan_change,,
SUB-00057-05,CUS-00057,PLN-GROWTH,monthly,12,0.004,2026-06-01,,,,
SUB-00058-00,CUS-00058,PLN-SCALE,monthly,100,0.153,2023-04-01,2024-09-01,plan_change,,
SUB-00058-01,CUS-00058,PLN-SCALE,monthly,134,0.153,2024-09-01,2024-11-01,plan_change,,
SUB-00058-02,CUS-00058,PLN-SCALE,monthly,156,0.153,2024-11-01,2025-03-01,plan_change,,
SUB-00058-03,CUS-00058,PLN-SCALE,monthly,134,0.153,2025-03-01,2025-11-01,churn,involuntary,Payment failure
SUB-00059-00,CUS-00059,PLN-STARTER,monthly,6,0.045,2023-04-01,2023-05-01,churn,voluntary,Price / budget cuts
SUB-00060-00,CUS-00060,PLN-STARTER,monthly,6,0.079,2023-04-01,2024-01-01,plan_change,,
SUB-00060-01,CUS-00060,PLN-STARTER,monthly,8,0.079,2024-01-01,2024-10-01,churn,voluntary,Company acquired or closed
SUB-00061-00,CUS-00061,PLN-STARTER,monthly,2,0.038,2023-04-01,2023-05-01,churn,involuntary,Payment failure
SUB-00062-00,CUS-00062,PLN-SCALE,annual,121,0.164,2023-04-01,2023-10-01,plan_change,,
SUB-00062-01,CUS-00062,PLN-SCALE,annual,160,0.164,2023-10-01,2024-03-01,plan_change,,
SUB-00062-02,CUS-00062,PLN-SCALE,annual,96,0.164,2024-03-01,2024-06-01,plan_change,,
SUB-00062-03,CUS-00062,PLN-SCALE,annual,127,0.164,2024-06-01,2025-01-01,plan_change,,
SUB-00062-04,CUS-00062,PLN-SCALE,annual,183,0.164,2025-01-01,2025-06-01,plan_change,,
SUB-00062-05,CUS-00062,PLN-SCALE,annual,231,0.164,2025-06-01,2026-01-01,plan_change,,
SUB-00062-06,CUS-00062,PLN-SCALE,annual,270,0.164,2026-01-01,,,,
SUB-00063-00,CUS-00063,PLN-SCALE,monthly,98,0.04,2023-04-01,2024-01-01,plan_change,,
SUB-00063-01,CUS-00063,PLN-SCALE,monthly,80,0.04,2024-01-01,2024-09-01,churn,involuntary,Payment failure
SUB-00064-00,CUS-00064,PLN-STARTER,monthly,3,0.025,2023-04-01,2023-10-01,churn,voluntary,Price / budget cuts
SUB-00065-00,CUS-00065,PLN-GROWTH,monthly,34,0.006,2023-04-01,2023-08-01,churn,voluntary,Switched to competitor
SUB-00066-00,CUS-00066,PLN-STARTER,monthly,9,0.035,2023-04-01,2023-05-01,churn,voluntary,Low adoption
SUB-00067-00,CUS-00067,PLN-GROWTH,annual,20,0.206,2023-04-01,2023-10-01,plan_change,,
SUB-00067-01,CUS-00067,PLN-GROWTH,annual,27,0.206,2023-10-01,2024-05-01,plan_change,,
SUB-00067-02,CUS-00067,PLN-GROWTH,annual,37,0.206,2024-05-01,2025-11-01,plan_change,,
SUB-00067-03,CUS-00067,PLN-GROWTH,annual,39,0.206,2025-11-01,2026-05-01,plan_change,,
SUB-00067-04,CUS-00067,PLN-GROWTH,annual,45,0.206,2026-05-01,,,,
SUB-00068-00,CUS-00068,PLN-SCALE,monthly,106,0.012,2023-05-01,2023-07-01,plan_change,,
SUB-00068-01,CUS-00068,PLN-SCALE,monthly,139,0.012,2023-07-01,2024-06-01,plan_change,,
SUB-00068-02,CUS-00068,PLN-SCALE,monthly,197,0.012,2024-06-01,2025-06-01,plan_change,,
SUB-00068-03,CUS-00068,PLN-SCALE,monthly,227,0.012,2025-06-01,2026-01-01,plan_change,,
SUB-00068-04,CUS-00068,PLN-SCALE,monthly,279,0.012,2026-01-01,2026-03-01,plan_change,,
SUB-00068-05,CUS-00068,PLN-SCALE,monthly,329,0.012,2026-03-01,2026-04-01,plan_change,,
SUB-00068-06,CUS-00068,PLN-SCALE,monthly,292,0.012,2026-04-01,2026-05-01,plan_change,,
