customer_id,month,licensed_seats,active_users,sessions,feature_adoption_score,support_tickets,csat_score
CUS-00006,2024-11-01,8,4,68,64.3,2,3.71
CUS-00006,2024-12-01,8,4,68,57.7,1,3.83
CUS-00006,2025-01-01,8,3,26,57.8,4,3.81
CUS-00006,2025-02-01,8,3,55,52.9,1,3.98
CUS-00006,2025-03-01,8,3,25,58.5,2,4.07
CUS-00006,2025-04-01,8,4,94,50.2,2,4.13
CUS-00006,2025-05-01,8,3,51,55.5,0,4.11
CUS-00006,2025-06-01,8,3,64,51.7,4,3.83
CUS-00006,2025-07-01,8,4,48,58.5,2,3.77
CUS-00006,2025-08-01,8,3,21,59.0,1,4.25
CUS-00006,2025-09-01,8,3,39,58.7,2,3.84
CUS-00006,2025-10-01,8,3,65,55.6,1,3.2
CUS-00006,2025-11-01,8,3,28,62.1,1,3.5
CUS-00006,2025-12-01,8,3,63,45.5,2,3.48
CUS-00006,2026-01-01,8,3,31,51.1,2,3.81
CUS-00006,2026-02-01,8,3,58,58.9,3,3.9
CUS-00006,2026-03-01,8,3,64,62.1,4,3.55
CUS-00006,2026-04-01,8,3,36,55.3,1,4.1
CUS-00006,2026-05-01,8,3,50,46.5,0,3.73
CUS-00006,2026-06-01,8,3,75,55.1,1,4.1
CUS-00006,2026-07-01,8,3,53,56.2,2,3.45
CUS-00006,2026-08-01,8,3,33,53.0,2,3.88
CUS-00007,2023-01-01,158,102,2676,57.9,1,3.86
CUS-00007,2023-02-01,158,99,863,65.8,2,4.14
CUS-00007,2023-03-01,158,86,860,51.0,1,3.68
CUS-00007,2023-04-01,158,90,1359,65.9,1,4.21
CUS-00007,2023-05-01,128,74,695,66.5,4,3.99
CUS-00007,2023-06-01,128,71,1748,59.4,1,3.96
CUS-00007,2023-07-01,128,70,633,66.8,1,3.82
CUS-00007,2023-08-01,166,81,1895,50.0,0,4.13
CUS-00007,2023-09-01,166,88,1522,59.3,1,4.16
CUS-00007,2023-10-01,166,74,1932,55.0,1,3.82
CUS-00007,2023-11-01,166,67,1046,50.7,1,3.78
CUS-00007,2023-12-01,166,61,1441,58.5,1,3.71
CUS-00007,2024-01-01,166,49,717,41.5,3,3.46
CUS-00007,2024-02-01,166,45,765,47.7,2,3.79
CUS-00007,2024-03-01,166,37,770,53.2,3,3.38
CUS-00007,2024-04-01,166,25,162,50.0,2,3.63
CUS-00007,2024-05-01,166,17,167,40.0,3,3.0
CUS-00007,2024-06-01,166,13,105,43.8,0,3.56
CUS-00007,2024-07-01,166,5,66,36.2,5,3.37
CUS-00007,2024-08-01,166,5,27,40.7,1,3.28
CUS-00007,2024-09-01,166,5,41,43.3,4,3.39
CUS-00007,2024-10-01,166,5,22,44.5,2,3.42
CUS-00007,2024-11-01,166,5,36,47.2,0,3.88
CUS-00007,2024-12-01,166,5,70,45.2,2,3.36
CUS-00007,2025-01-01,148,4,35,38.8,3,3.19
CUS-00007,2025-02-01,148,4,45,42.8,1,3.18
CUS-00007,2025-03-01,148,4,58,45.1,4,3.45
CUS-00007,2025-04-01,148,4,33,51.1,2,3.76
CUS-00007,2025-05-01,148,4,52,54.2,3,3.45
CUS-00007,2025-06-01,169,5,43,47.0,3,3.25
CUS-00007,2025-07-01,169,5,24,49.8,1,3.33
CUS-00007,2025-08-01,136,4,20,38.4,4,3.19
CUS-00007,2025-09-01,136,4,16,42.2,3,3.22
CUS-00007,2025-10-01,136,4,45,35.8,4,3.54
CUS-00007,2025-11-01,136,4,27,39.2,2,3.26
CUS-00007,2025-12-01,136,4,54,38.6,2,3.67
CUS-00007,2026-01-01,136,4,37,35.8,4,3.34
CUS-00007,2026-02-01,136,5,29,32.9,4,3.23
CUS-00007,2026-03-01,136,4,48,41.7,2,3.75
CUS-00007,2026-04-01,136,4,36,37.0,3,3.08
CUS-00007,2026-05-01,136,4,26,34.3,3,3.26
CUS-00007,2026-06-01,136,4,37,42.4,1,3.83
CUS-00007,2026-07-01,136,4,28,32.2,3,2.96
CUS-00007,2026-08-01,136,4,24,44.6,1,3.54
CUS-00008,2023-01-01,11,8,102,58.8,0,4.17
CUS-00008,2023-02-01,11,8,183,55.9,3,4.29
CUS-00008,2023-03-01,11,7,63,67.6,1,3.68
CUS-00008,2023-04-01,11,7,123,58.4,1,3.74
CUS-00008,2023-05-01,15,10,303,54.1,2,4.17
CUS-00008,2023-06-01,15,9,271,66.0,4,3.17
CUS-00008,2023-07-01,15,9,268,61.1,1,4.09
CUS-00008,2023-08-01,15,8,112,57.7,1,3.92
CUS-00008,2023-09-01,15,8,79,69.0,3,3.53
CUS-00008,2023-10-01,15,9,73,56.4,3,4.14
CUS-00008,2023-11-01,15,10,234,53.9,2,3.6
CUS-00008,2023-12-01,15,10,322,58.4,4,3.68
CUS-00008,2024-01-01,15,10,293,65.2,1,3.64
CUS-00008,2024-10-01,12,11,197,65.5,1,4.3
CUS-00008,2024-11-01,12,11,145,63.3,1,3.98
CUS-00008,2024-12-01,12,11,266,57.6,2,3.7
CUS-00008,2025-01-01,12,11,406,69.5,3,4.29
CUS-00008,2025-02-01,12,11,216,63.7,2,3.74
CUS-00008,2025-03-01,12,12,374,72.8,4,3.97
CUS-00008,2025-04-01,12,12,341,73.0,1,4.3
CUS-00008,2025-05-01,12,12,474,65.1,3,4.01
CUS-00008,2025-06-01,12,12,318,70.7,1,4.07
CUS-00008,2025-07-01,12,12,175,72.6,2,4.31
CUS-00008,2025-08-01,12,12,358,82.0,2,4.12
CUS-00008,2025-09-01,13,13,501,72.6,3,4.16
CUS-00008,2025-10-01,13,13,485,69.2,0,3.74
CUS-00008,2025-11-01,13,13,292,67.5,4,3.76
CUS-00008,2025-12-01,13,13,283,74.6,3,4.05
CUS-00008,2026-01-01,13,12,356,65.4,4,4.05
CUS-00008,2026-02-01,17,16,270,64.0,1,4.22
CUS-00008,2026-03-01,17,17,208,68.5,3,4.56
CUS-00008,2026-04-01,17,17,288,71.7,1,4.71
CUS-00008,2026-05-01,17,17,444,65.1,2,4.23
CUS-00008,2026-06-01,17,17,633,68.9,2,4.37
CUS-00008,2026-07-01,17,16,534,73.5,2,4.17
CUS-00008,2026-08-01,17,16,627,75.1,2,4.17
CUS-00009,2023-01-01,3,2,36,66.8,4,4.16
CUS-00009,2023-02-01,3,2,39,57.6,4,4.48
CUS-00009,2023-03-01,4,2,36,58.7,1,4.46
CUS-00009,2023-04-01,4,2,47,62.0,1,4.11
CUS-00009,2023-05-01,4,2,40,68.0,0,4.13
CUS-00009,2023-06-01,4,2,26,70.3,1,4.0
CUS-00010,2023-01-01,49,30,389,64.9,1,4.44
CUS-00010,2023-02-01,49,30,454,73.7,2,4.33
CUS-00010,2023-03-01,49,29,360,65.7,1,4.26
CUS-00010,2023-04-01,49,28,410,68.6,2,3.77
CUS-00010,2023-05-01,49,29,623,61.2,2,4.29
CUS-00010,2023-06-01,49,30,251,67.9,0,3.57
CUS-00010,2023-07-01,49,33,420,70.2,0,4.21
CUS-00010,2023-08-01,49,32,581,77.8,1,4.33
CUS-00010,2023-09-01,70,45,1067,66.0,1,4.19
CUS-00010,2023-10-01,70,45,1150,68.8,1,4.12
CUS-00010,2023-11-01,70,47,1026,72.0,2,4.32
CUS-00010,2023-12-01,70,49,400,74.3,0,4.0
CUS-00010,2024-01-01,42,28,215,74.6,1,4.39
CUS-00010,2024-02-01,42,28,256,81.4,1,4.23
CUS-00010,2024-03-01,42,31,714,65.5,2,4.26
CUS-00010,2024-04-01,42,32,710,77.8,1,4.54
CUS-00010,2024-05-01,42,31,309,64.0,5,4.19
CUS-00010,2024-06-01,42,28,888,68.1,2,4.09
CUS-00010,2024-07-01,42,27,588,65.5,3,4.24
CUS-00010,2024-08-01,42,32,650,74.7,0,5.0
CUS-00010,2024-09-01,42,29,561,63.1,1,4.58
CUS-00010,2024-10-01,42,28,736,76.4,2,4.15
CUS-00010,2024-11-01,42,31,270,58.7,0,4.61
CUS-00010,2024-12-01,42,33,522,69.5,2,4.0
CUS-00010,2025-01-01,42,34,692,77.9,2,3.97
CUS-00010,2025-02-01,42,34,898,74.7,3,4.5
CUS-00010,2025-03-01,53,43,1340,69.1,1,4.48
CUS-00010,2025-04-01,53,42,455,71.6,1,4.27
CUS-00010,2025-05-01,53,41,365,71.7,2,4.42
CUS-00010,2025-06-01,53,40,403,77.5,1,4.26
CUS-00010,2025-07-01,53,40,411,72.7,1,4.35
CUS-00010,2025-08-01,53,41,1275,65.0,1,4.32
CUS-00010,2025-09-01,53,44,850,71.1,0,4.08
CUS-00010,2025-10-01,53,43,556,76.6,1,3.74
CUS-00010,2025-11-01,31,24,215,77.6,3,4.19
CUS-00010,2025-12-01,31,25,455,66.9,2,4.75
CUS-00010,2026-01-01,31,26,229,73.5,1,4.36
CUS-00010,2026-02-01,31,28,619,70.8,1,4.25
CUS-00010,2026-03-01,31,27,626,81.9,3,4.08
CUS-00010,2026-04-01,31,26,954,68.8,2,4.63
CUS-00010,2026-05-01,31,26,900,82.8,3,4.39
CUS-00010,2026-06-01,31,25,868,66.0,3,3.98
CUS-00010,2026-07-01,31,24,214,76.9,0,4.55
CUS-00010,2026-08-01,41,33,1015,64.9,3,4.63
CUS-00011,2023-01-01,39,26,510,77.1,2,4.73
CUS-00011,2023-02-01,39,23,379,57.1,0,4.27
CUS-00011,2023-03-01,52,28,243,71.6,0,4.34
CUS-00011,2023-04-01,52,24,539,60.3,0,3.86
CUS-00011,2023-05-01,52,20,470,66.0,3,3.8
CUS-00011,2023-06-01,52,22,444,51.3,1,3.63
CUS-00011,2023-07-01,52,20,275,59.9,3,3.61
CUS-00011,2023-08-01,52,18,326,58.5,2,4.03
CUS-00011,2023-09-01,52,18,440,51.2,3,3.92
CUS-00011,2023-10-01,52,18,242,52.6,0,4.0
CUS-00011,2023-11-01,52,17,142,60.7,3,3.72
CUS-00011,2023-12-01,52,13,246,43.0,1,3.33
CUS-00011,2024-01-01,52,11,177,44.0,2,3.71
CUS-00011,2024-02-01,52,11,190,63.4,1,3.77
CUS-00011,2024-03-01,52,9,73,51.5,2,3.86
CUS-00011,2024-04-01,52,7,116,42.9,0,4.02
CUS-00011,2024-05-01,56,7,65,49.8,3,3.41
CUS-00011,2024-06-01,56,2,31,45.2,2,3.58
CUS-00011,2024-07-01,56,2,8,57.2,5,3.9
CUS-00011,2024-08-01,56,2,13,42.0,3,3.62
CUS-00011,2024-09-01,56,2,17,51.1,1,2.71
CUS-00011,2024-10-01,56,2,28,43.4,3,3.48
CUS-00011,2024-11-01,56,2,20,48.3,3,3.35
CUS-00011,2024-12-01,56,2,24,45.6,2,3.65
CUS-00011,2025-01-01,66,3,46,50.2,2,3.44
CUS-00011,2025-02-01,66,2,13,41.9,5,3.34
CUS-00011,2025-03-01,66,2,17,47.0,4,3.58
CUS-00011,2025-04-01,66,2,12,47.3,1,3.48
CUS-00011,2025-05-01,66,2,22,43.4,4,3.27
CUS-00011,2025-06-01,66,3,22,50.9,0,3.76
CUS-00011,2025-07-01,66,2,24,46.3,4,3.65
CUS-00011,2025-08-01,42,2,20,50.1,3,3.73
CUS-00011,2025-09-01,42,1,8,38.7,3,3.73
CUS-00011,2025-10-01,42,1,16,49.0,3,3.17
CUS-00011,2025-11-01,42,1,11,50.3,0,4.05
CUS-00011,2025-12-01,42,1,14,37.2,2,3.87
CUS-00011,2026-04-01,33,7,102,55.5,3,3.39
CUS-00011,2026-05-01,33,6,67,48.8,1,3.41
CUS-00011,2026-06-01,33,6,73,55.3,4,3.72
CUS-00011,2026-07-01,33,8,109,50.5,1,3.98
CUS-00011,2026-08-01,33,6,103,54.8,2,3.63
CUS-00012,2023-01-01,93,56,1149,64.7,4,3.52
CUS-00012,2023-02-01,93,59,1747,74.8,1,4.1
CUS-00012,2023-03-01,93,63,817,59.6,2,3.75
CUS-00012,2023-04-01,93,65,1142,67.4,4,3.78
CUS-00012,2023-05-01,93,75,823,78.2,0,3.96
CUS-00012,2023-06-01,93,74,1583,60.1,2,3.9
CUS-00012,2023-07-01,93,77,1673,60.9,1,4.51
CUS-00012,2023-08-01,115,95,1556,78.0,2,4.09
CUS-00012,2023-09-01,162,130,1499,69.1,3,3.67
CUS-00012,2023-10-01,162,128,1236,68.2,0,4.26
CUS-00012,2023-11-01,162,130,3111,80.8,2,3.74
CUS-00012,2023-12-01,162,124,2068,63.1,2,3.88
CUS-00012,2024-01-01,162,127,1495,61.7,3,4.0
CUS-00012,2024-02-01,162,130,4334,70.6,4,4.17
CUS-00012,2024-03-01,162,132,3005,74.8,2,4.0
CUS-00012,2024-04-01,162,136,3319,72.3,1,4.52
CUS-00012,2024-05-01,162,134,2705,74.2,0,4.01
CUS-00012,2024-06-01,162,140,5101,71.8,0,3.83
CUS-00012,2024-07-01,162,143,4764,76.0,3,3.99
CUS-00012,2024-08-01,162,133,2917,70.3,3,4.26
CUS-00012,2024-09-01,162,137,2419,80.9,2,4.3
CUS-00012,2024-10-01,162,139,4563,77.0,1,4.01
CUS-00012,2024-11-01,162,128,2358,64.0,0,4.3
CUS-00012,2024-12-01,162,134,3652,60.8,3,4.11
CUS-00012,2025-01-01,197,148,3862,76.6,3,3.91
CUS-00012,2025-02-01,197,141,1506,63.0,2,4.26
CUS-00012,2025-03-01,197,129,2017,60.3,1,3.99
CUS-00012,2025-04-01,197,119,1257,65.1,1,4.63
CUS-00012,2025-05-01,197,119,1197,54.8,3,4.42
CUS-00012,2025-06-01,197,117,2239,61.5,2,3.94
CUS-00012,2025-07-01,197,116,1133,64.2,1,4.17
CUS-00012,2025-08-01,197,124,3228,67.4,0,3.86
CUS-00012,2025-09-01,197,121,2946,58.1,4,4.05
CUS-00012,2025-10-01,197,129,3046,65.2,1,3.84
CUS-00012,2025-11-01,197,131,2239,64.5,2,4.02
CUS-00012,2025-12-01,197,126,1547,59.2,1,4.27
CUS-00012,2026-01-01,197,125,1540,58.0,3,3.54
CUS-00012,2026-02-01,113,75,1919,52.3,2,3.57
CUS-00012,2026-03-01,113,78,943,66.3,1,4.2
CUS-00012,2026-04-01,113,84,1065,52.2,3,4.06
CUS-00012,2026-05-01,113,82,1793,76.0,3,3.81
CUS-00012,2026-06-01,113,82,1983,57.7,0,4.42
CUS-00012,2026-07-01,113,79,683,63.9,1,4.26
CUS-00012,2026-08-01,113,81,1792,58.5,1,3.69
CUS-00013,2023-01-01,506,331,6573,67.1,2,4.3
CUS-00013,2023-02-01,506,332,3681,60.2,3,4.53
CUS-00013,2023-03-01,718,457,4218,75.9,2,4.29
CUS-00013,2023-04-01,718,464,5996,64.5,2,4.41
CUS-00013,2023-05-01,718,451,14347,75.1,2,4.01
CUS-00013,2023-06-01,718,444,13405,76.4,0,4.4
CUS-00013,2023-07-01,718,451,11475,64.1,3,4.37
CUS-00013,2023-08-01,718,505,6882,65.5,1,4.44
CUS-00013,2023-09-01,718,504,14674,69.2,2,3.89
CUS-00013,2023-10-01,845,624,19565,77.3,0,4.42
CUS-00013,2023-11-01,845,605,8728,74.3,0,4.38
CUS-00013,2023-12-01,845,639,21336,74.5,1,4.5
CUS-00013,2024-01-01,845,626,13070,67.1,1,4.42
CUS-00013,2024-02-01,845,665,11040,81.8,3,3.84
CUS-00013,2024-03-01,845,653,19291,64.7,4,3.63
CUS-00013,2024-04-01,845,638,5794,76.8,2,3.97
CUS-00013,2024-05-01,905,646,16583,73.2,3,4.25
CUS-00013,2024-06-01,905,691,10557,71.5,0,4.53
CUS-00013,2024-07-01,905,739,12516,74.8,2,4.46
CUS-00013,2024-08-01,1119,910,27476,71.8,0,4.71
CUS-00013,2024-09-01,1119,929,34511,85.8,1,4.61
CUS-00013,2024-10-01,1119,935,30413,78.5,3,4.46
CUS-00013,2024-11-01,1119,928,29684,78.7,5,4.06
CUS-00013,2024-12-01,1119,913,20937,78.1,0,4.46
CUS-00013,2025-01-01,1119,869,21810,76.6,1,4.65
CUS-00013,2025-02-01,1119,838,12342,70.3,4,4.08
CUS-00013,2025-03-01,1119,933,23585,71.6,1,4.37
CUS-00013,2025-04-01,1119,946,15589,73.6,2,4.66
CUS-00013,2025-05-01,1119,863,10181,75.8,1,4.52
CUS-00013,2025-06-01,1255,935,19993,70.8,0,4.44
CUS-00013,2025-07-01,1255,969,23359,70.9,0,4.25
CUS-00013,2025-08-01,1440,1117,26419,73.7,1,4.47
CUS-00013,2025-09-01,1440,1088,22307,65.7,1,4.26
CUS-00013,2025-10-01,1796,1467,46256,74.6,1,4.23
CUS-00013,2025-11-01,1796,1438,40703,76.4,0,4.03
CUS-00013,2025-12-01,2214,1787,28491,81.0,1,3.98
CUS-00013,2026-01-01,1250,970,25232,68.3,2,4.13
CUS-00013,2026-02-01,1250,883,22109,72.2,1,4.45
CUS-00013,2026-03-01,979,740,13600,76.1,2,4.14
CUS-00013,2026-04-01,979,719,16065,93.6,1,4.25
CUS-00013,2026-05-01,979,754,11982,69.5,1,4.3
CUS-00013,2026-06-01,979,671,15098,74.9,2,4.04
CUS-00013,2026-07-01,979,688,11588,81.3,2,4.4
CUS-00013,2026-08-01,979,702,17412,70.5,2,4.69
CUS-00014,2023-01-01,18,13,253,66.4,4,4.15
CUS-00014,2023-02-01,18,12,191,66.4,1,3.71
CUS-00014,2023-03-01,18,13,356,71.7,1,4.71
CUS-00014,2023-04-01,18,12,362,53.1,0,3.92
CUS-00015,2023-01-01,29,20,176,69.0,0,4.53
CUS-00015,2023-02-01,29,21,220,66.1,1,4.4
CUS-00015,2023-03-01,34,25,771,77.0,2,3.79
CUS-00015,2023-04-01,34,27,970,88.0,0,4.33
CUS-00015,2023-05-01,34,30,1083,74.2,2,4.56
CUS-00015,2023-06-01,34,31,601,80.1,2,4.62
CUS-00015,2023-07-01,34,29,378,78.7,1,4.44
CUS-00015,2023-08-01,34,29,988,79.8,4,4.14
CUS-00015,2023-09-01,34,30,853,78.1,1,4.99
CUS-00015,2023-10-01,34,32,1156,75.5,1,4.67
CUS-00015,2023-11-01,34,31,1213,79.4,2,4.48
CUS-00015,2023-12-01,34,33,1270,82.6,0,4.89
CUS-00015,2024-01-01,34,34,603,73.5,1,4.24
CUS-00015,2024-02-01,43,42,1103,80.4,2,4.6
CUS-00015,2024-03-01,43,41,464,77.0,4,4.62
CUS-00015,2024-04-01,43,40,1547,80.8,3,4.45
CUS-00015,2024-05-01,43,40,926,80.2,0,4.36
CUS-00015,2024-06-01,49,45,999,72.4,3,4.09
CUS-00015,2024-07-01,49,42,410,69.2,1,4.25
CUS-00015,2024-08-01,49,42,1386,67.1,6,4.32
CUS-00015,2024-09-01,49,42,741,67.9,2,4.69
CUS-00015,2024-10-01,49,44,456,71.9,1,4.84
CUS-00015,2024-11-01,49,44,892,73.8,1,4.49
CUS-00015,2024-12-01,49,47,1177,74.7,1,4.33
CUS-00015,2025-01-01,41,41,1365,90.6,3,4.42
CUS-00015,2025-02-01,41,41,707,80.4,3,4.25
CUS-00015,2025-03-01,41,41,528,83.7,3,4.48
CUS-00015,2025-04-01,41,41,1451,77.7,1,4.82
CUS-00015,2025-05-01,41,41,1158,82.8,0,4.56
CUS-00015,2025-06-01,57,57,1817,87.6,1,4.24
CUS-00015,2025-07-01,79,79,3011,79.2,2,4.35
CUS-00015,2025-08-01,79,79,2141,71.4,4,4.57
CUS-00015,2025-09-01,79,79,1122,81.4,1,4.27
CUS-00015,2025-10-01,79,79,2663,84.0,1,4.74
CUS-00015,2025-11-01,79,78,1865,80.0,1,4.51
CUS-00015,2025-12-01,79,79,1864,78.1,2,4.33
CUS-00015,2026-01-01,79,79,1657,65.8,3,4.46
CUS-00015,2026-02-01,79,78,1998,87.5,0,5.0
CUS-00015,2026-03-01,79,78,1799,72.1,1,4.84
CUS-00015,2026-04-01,79,75,2517,83.2,2,4.31
CUS-00015,2026-05-01,79,75,2477,81.6,3,4.4
CUS-00015,2026-06-01,79,78,2097,78.6,5,3.97
CUS-00015,2026-07-01,114,114,1528,82.5,0,4.86
CUS-00015,2026-08-01,127,123,4936,84.8,0,4.83
CUS-00016,2023-02-01,3,2,59,82.3,1,4.12
CUS-00016,2023-03-01,3,2,50,71.0,3,3.91
CUS-00016,2023-04-01,3,2,31,70.1,1,4.36
CUS-00016,2023-05-01,3,2,17,63.2,1,4.23
CUS-00017,2023-02-01,45,27,443,50.4,2,4.07
CUS-00017,2023-03-01,45,28,889,73.5,0,4.07
CUS-00017,2023-04-01,45,26,464,68.5,2,4.41
CUS-00017,2023-05-01,64,32,326,65.7,0,4.19
CUS-00018,2023-02-01,58,32,465,71.6,1,4.33
CUS-00018,2023-03-01,58,33,254,53.3,1,3.38
CUS-00018,2023-04-01,58,33,840,56.1,4,3.47
CUS-00018,2023-05-01,58,31,481,55.7,3,4.05
CUS-00018,2023-06-01,58,27,681,44.8,3,3.55
CUS-00018,2023-07-01,58,28,733,47.8,4,3.45
CUS-00018,2023-08-01,58,33,726,51.3,2,3.5
CUS-00018,2023-09-01,58,35,845,58.3,0,3.86
CUS-00018,2023-10-01,58,35,463,55.5,4,3.32
CUS-00018,2023-11-01,58,37,799,60.4,2,3.74
CUS-00018,2023-12-01,77,49,1379,53.6,3,4.03
CUS-00018,2024-01-01,77,49,1054,61.1,2,3.54
CUS-00018,2024-02-01,57,35,275,54.9,1,3.6
CUS-00018,2024-03-01,57,34,455,64.4,2,3.87
CUS-00018,2024-04-01,57,36,1005,46.7,4,3.95
CUS-00018,2024-05-01,57,38,656,55.8,3,4.21
CUS-00018,2024-06-01,57,40,1017,58.0,0,4.29
CUS-00018,2024-07-01,57,38,551,58.9,3,3.93
CUS-00018,2024-08-01,57,38,549,71.0,2,3.93
CUS-00018,2024-09-01,57,41,365,62.5,0,3.9
CUS-00018,2024-10-01,57,43,846,64.1,0,3.92
CUS-00018,2024-11-01,57,45,477,68.7,3,3.9
CUS-00018,2024-12-01,57,47,1708,66.2,3,3.32
CUS-00018,2025-01-01,57,48,1330,69.8,2,3.61
CUS-00018,2025-02-01,57,49,1806,59.2,1,4.15
CUS-00018,2025-03-01,57,50,1052,75.7,3,3.64
CUS-00018,2025-04-01,57,52,1819,63.7,2,3.72
CUS-00018,2025-05-01,57,51,621,63.5,2,4.06
CUS-00018,2025-06-01,57,55,1775,79.6,2,4.12
CUS-00018,2025-07-01,57,57,1874,70.9,2,3.86
CUS-00018,2025-08-01,63,63,1804,66.9,2,4.61
CUS-00018,2025-09-01,80,80,2504,66.1,3,3.96
CUS-00018,2025-10-01,80,80,1253,62.4,2,3.94
CUS-00018,2025-11-01,80,79,1157,66.9,1,4.45
CUS-00018,2025-12-01,87,78,1804,77.0,0,3.89
CUS-00018,2026-01-01,87,73,2657,56.8,3,4.19
CUS-00018,2026-02-01,122,103,3306,82.0,2,4.22
CUS-00018,2026-03-01,122,102,3163,67.1,2,3.57
CUS-00018,2026-04-01,122,107,2920,57.6,3,4.24
CUS-00018,2026-05-01,146,133,3856,62.9,1,4.09
CUS-00018,2026-06-01,146,136,2946,63.0,1,4.05
CUS-00018,2026-07-01,146,130,2347,65.9,2,3.48
CUS-00018,2026-08-01,146,122,2249,65.1,0,3.73
CUS-00019,2023-02-01,50,27,278,60.0,2,3.97
CUS-00019,2023-03-01,50,25,618,53.3,4,3.87
CUS-00020,2023-02-01,78,50,1501,57.4,3,4.38
CUS-00020,2023-03-01,78,52,1128,70.9,2,3.8
CUS-00020,2023-04-01,78,56,1704,64.2,5,3.8
CUS-00020,2023-05-01,78,56,578,60.1,0,4.04
CUS-00020,2023-06-01,66,48,534,68.7,2,4.29
CUS-00020,2023-07-01,66,44,1291,72.6,2,3.62
CUS-00020,2023-08-01,66,42,1342,67.7,0,4.56
CUS-00020,2023-09-01,66,45,1400,70.7,3,3.91
CUS-00020,2023-10-01,66,47,420,72.7,6,3.82
CUS-00020,2023-11-01,66,52,1590,58.8,4,3.93
CUS-00020,2023-12-01,66,51,971,72.6,3,4.03
CUS-00020,2024-01-01,66,51,1682,78.4,1,4.07
CUS-00020,2024-02-01,66,54,543,74.3,2,4.07
CUS-00020,2024-03-01,66,54,1018,73.9,3,3.96
CUS-00020,2024-04-01,66,51,807,62.9,3,4.64
CUS-00020,2024-05-01,66,51,769,65.5,3,4.27
CUS-00020,2024-06-01,66,53,1229,83.6,2,3.81
CUS-00020,2024-07-01,66,52,1263,66.2,1,4.55
CUS-00020,2024-08-01,66,51,586,69.6,2,4.26
CUS-00020,2024-09-01,66,53,1689,63.2,1,4.04
CUS-00020,2024-10-01,66,54,1053,76.7,1,4.3
CUS-00020,2024-11-01,66,53,1572,76.2,0,3.78
CUS-00020,2024-12-01,72,54,869,71.7,1,4.01
CUS-00020,2025-01-01,72,54,1142,68.2,1,4.67
CUS-00020,2025-02-01,72,55,1566,69.9,1,4.47
CUS-00020,2025-03-01,72,56,1797,73.2,2,4.31
CUS-00020,2025-04-01,72,56,1702,61.8,3,4.14
CUS-00020,2025-05-01,48,38,726,71.0,5,3.85
