order_item_id,order_id,product_id,quantity,unit_price,discount_amount
OI0000096,O0000042,P00040,1,113.30,0.00
OI0000097,O0000042,P00022,3,40.61,8.00
OI0000098,O0000043,P00085,1,166.79,14.16
OI0000099,O0000043,P00061,1,44.28,16.33
OI0000100,O0000044,P00098,1,126.60,0.00
OI0000101,O0000044,P00186,1,272.93,49.05
OI0000102,O0000044,P00005,1,51.99,13.07
OI0000103,O0000044,P00167,1,59.63,0.00
OI0000104,O0000045,P00032,1,34.46,0.00
OI0000105,O0000046,P00160,1,65.82,20.63
OI0000106,O0000047,P00145,1,66.69,0.00
OI0000107,O0000047,P00120,1,97.95,14.42
OI0000108,O0000048,P00060,1,139.31,0.00
OI0000109,O0000048,P00068,1,106.66,0.00
OI0000110,O0000048,P00010,1,28.00,1.23
OI0000111,O0000049,P00161,1,61.46,17.57
OI0000112,O0000049,P00024,2,35.49,0.00
OI0000113,O0000049,P00187,1,164.80,61.26
OI0000114,O0000049,P00010,1,28.00,0.00
OI0000115,O0000050,P00015,1,66.55,0.00
OI0000116,O0000050,P00073,1,79.76,0.00
OI0000117,O0000050,P00112,2,172.61,0.00
OI0000118,O0000051,P00056,1,105.15,0.00
OI0000119,O0000052,P00050,1,116.54,0.00
OI0000120,O0000053,P00175,1,241.41,46.09
OI0000121,O0000053,P00029,1,116.07,0.00
OI0000122,O0000053,P00175,1,241.41,0.00
OI0000123,O0000053,P00174,1,211.86,29.00
OI0000124,O0000054,P00100,1,386.68,0.00
OI0000125,O0000054,P00020,1,131.49,0.00
OI0000126,O0000055,P00167,1,59.63,0.00
OI0000127,O0000056,P00078,1,128.93,0.00
OI0000128,O0000056,P00113,1,86.78,0.00
OI0000129,O0000056,P00055,2,40.68,0.00
OI0000130,O0000057,P00068,1,106.66,5.45
OI0000131,O0000057,P00158,3,70.58,0.00
OI0000132,O0000057,P00062,1,120.05,0.00
OI0000133,O0000058,P00069,1,148.15,0.00
OI0000134,O0000059,P00099,1,472.93,139.70
OI0000135,O0000059,P00074,1,128.17,0.00
OI0000136,O0000059,P00063,3,36.53,0.00
OI0000137,O0000059,P00153,1,34.78,0.00
OI0000138,O0000060,P00094,1,384.95,38.61
OI0000139,O0000060,P00154,1,38.78,0.00
OI0000140,O0000061,P00092,2,209.32,121.78
OI0000141,O0000062,P00050,1,116.54,9.68
OI0000142,O0000062,P00045,1,70.92,13.72
OI0000143,O0000062,P00134,1,68.67,26.82
OI0000144,O0000062,P00013,2,66.51,73.16
OI0000145,O0000063,P00108,1,119.88,0.00
OI0000146,O0000064,P00082,1,477.87,0.00
OI0000147,O0000065,P00090,3,290.67,0.00
OI0000148,O0000065,P00139,2,53.02,0.00
OI0000149,O0000066,P00054,1,59.52,0.00
OI0000150,O0000066,P00022,1,40.61,0.00
OI0000151,O0000066,P00104,1,175.32,0.00
OI0000152,O0000066,P00164,3,55.17,61.92
OI0000153,O0000067,P00169,1,50.39,0.00
OI0000154,O0000067,P00001,1,38.97,5.29
OI0000155,O0000067,P00135,1,140.35,41.99
OI0000156,O0000067,P00169,1,50.39,0.00
OI0000157,O0000068,P00121,1,95.77,0.00
OI0000158,O0000068,P00129,1,59.96,0.00
OI0000159,O0000068,P00127,1,194.09,61.41
OI0000160,O0000068,P00086,2,263.09,187.74
OI0000161,O0000069,P00146,2,45.85,0.00
OI0000162,O0000070,P00029,2,116.07,0.00
OI0000163,O0000071,P00137,1,31.33,1.59
OI0000164,O0000072,P00076,1,83.39,0.00
OI0000165,O0000073,P00057,1,65.94,0.00
OI0000166,O0000073,P00115,1,110.04,10.13
OI0000167,O0000073,P00155,1,44.92,0.00
OI0000168,O0000074,P00117,1,134.40,0.00
OI0000169,O0000075,P00127,1,194.09,0.00
OI0000170,O0000076,P00046,1,117.17,0.00
OI0000171,O0000076,P00038,3,83.70,0.00
OI0000172,O0000076,P00019,2,65.52,26.94
OI0000173,O0000076,P00041,1,125.23,19.25
OI0000174,O0000076,P00003,1,32.59,0.00
OI0000175,O0000077,P00041,2,125.23,0.00
OI0000176,O0000078,P00074,1,128.17,18.53
OI0000177,O0000079,P00074,1,128.17,41.39
OI0000178,O0000079,P00072,1,58.95,16.80
OI0000179,O0000080,P00059,1,129.93,0.00
OI0000180,O0000080,P00112,1,172.61,0.00
OI0000181,O0000081,P00185,1,245.75,104.57
OI0000182,O0000082,P00054,1,59.52,0.00
OI0000183,O0000082,P00079,1,67.74,9.56
OI0000184,O0000083,P00130,1,206.19,0.00
OI0000185,O0000084,P00186,1,272.93,62.80
OI0000186,O0000085,P00162,1,63.36,24.28
OI0000187,O0000085,P00167,2,59.63,0.00
OI0000188,O0000086,P00162,1,63.36,0.00
OI0000189,O0000086,P00152,1,28.36,0.00
OI0000190,O0000087,P00153,1,34.78,0.00
OI0000191,O0000087,P00176,1,169.90,0.00
OI0000192,O0000088,P00108,1,119.88,0.00
OI0000193,O0000089,P00134,1,68.67,0.00
OI0000194,O0000089,P00115,1,110.04,0.00
OI0000195,O0000089,P00035,1,131.59,0.00
OI0000196,O0000090,P00099,2,472.93,0.00
OI0000197,O0000091,P00164,1,55.17,17.29
OI0000198,O0000092,P00190,1,189.90,0.00
OI0000199,O0000092,P00182,1,47.86,0.00
OI0000200,O0000092,P00182,1,47.86,4.21
OI0000201,O0000092,P00161,1,61.46,0.00
OI0000202,O0000093,P00020,1,131.49,0.00
OI0000203,O0000093,P00159,1,18.13,0.94
OI0000204,O0000093,P00026,1,34.19,11.11
OI0000205,O0000094,P00052,1,64.55,35.50
OI0000206,O0000095,P00133,1,184.72,0.00
OI0000207,O0000096,P00123,1,135.84,48.62
OI0000208,O0000097,P00120,1,97.95,22.38
OI0000209,O0000098,P00136,1,29.59,0.00
OI0000210,O0000098,P00109,1,186.86,0.00
OI0000211,O0000098,P00038,4,83.70,137.00
OI0000212,O0000099,P00032,1,34.46,4.10
OI0000213,O0000099,P00001,1,38.97,0.00
OI0000214,O0000100,P00016,4,54.64,50.25
OI0000215,O0000101,P00025,1,125.94,18.66
OI0000216,O0000102,P00084,1,208.44,0.00
OI0000217,O0000103,P00164,1,55.17,0.00
OI0000218,O0000103,P00081,1,425.20,0.00
OI0000219,O0000103,P00083,3,103.49,0.00
OI0000220,O0000104,P00084,1,208.44,19.09
OI0000221,O0000105,P00117,1,134.40,13.86
OI0000222,O0000106,P00006,1,31.44,5.22
OI0000223,O0000106,P00081,1,425.20,0.00
OI0000224,O0000107,P00086,1,263.09,0.00
OI0000225,O0000107,P00085,1,166.79,51.92
OI0000226,O0000107,P00110,1,411.22,0.00
OI0000227,O0000108,P00084,1,208.44,0.00
OI0000228,O0000108,P00094,1,384.95,78.45
OI0000229,O0000109,P00011,1,133.12,0.00
OI0000230,O0000110,P00010,2,28.00,23.69
OI0000231,O0000111,P00182,2,47.86,0.00
OI0000232,O0000112,P00106,1,104.67,17.97
OI0000233,O0000112,P00180,2,219.47,0.00
OI0000234,O0000112,P00043,1,107.20,0.00
OI0000235,O0000113,P00008,1,83.50,0.00
OI0000236,O0000114,P00164,1,55.17,11.88
OI0000237,O0000114,P00160,1,65.82,0.00
OI0000238,O0000114,P00166,1,74.32,12.95
OI0000239,O0000114,P00156,1,17.16,0.00
OI0000240,O0000115,P00002,1,81.68,0.00
OI0000241,O0000115,P00076,1,83.39,0.00
OI0000242,O0000116,P00162,1,63.36,7.15
OI0000243,O0000116,P00131,1,107.23,54.33
OI0000244,O0000116,P00156,1,17.16,0.00
OI0000245,O0000116,P00145,1,66.69,0.00
OI0000246,O0000117,P00161,1,61.46,13.18
OI0000247,O0000117,P00099,1,472.93,108.77
OI0000248,O0000118,P00182,1,47.86,0.00
OI0000249,O0000119,P00017,1,27.43,4.10
OI0000250,O0000120,P00087,1,437.19,0.00
OI0000251,O0000120,P00145,1,66.69,21.33
OI0000252,O0000121,P00072,1,58.95,0.00
OI0000253,O0000122,P00018,1,62.01,0.00
OI0000254,O0000123,P00096,1,448.18,0.00
OI0000255,O0000123,P00095,1,396.85,184.34
OI0000256,O0000123,P00146,1,45.85,0.00
OI0000257,O0000124,P00135,1,140.35,0.00
OI0000258,O0000125,P00130,4,206.19,150.68
OI0000259,O0000125,P00142,1,138.70,0.00
OI0000260,O0000126,P00105,2,393.89,101.70
OI0000261,O0000127,P00104,1,175.32,96.43
OI0000262,O0000128,P00016,1,54.64,0.00
OI0000263,O0000128,P00036,1,67.23,0.00
OI0000264,O0000129,P00102,2,243.13,230.58
OI0000265,O0000129,P00094,1,384.95,0.00
OI0000266,O0000129,P00082,1,477.87,0.00
OI0000267,O0000129,P00101,1,112.24,0.00
OI0000268,O0000130,P00146,4,45.85,0.00
OI0000269,O0000130,P00152,1,28.36,11.89
OI0000270,O0000130,P00094,1,384.95,0.00
OI0000271,O0000131,P00103,1,111.90,21.13
OI0000272,O0000132,P00084,1,208.44,33.58
OI0000273,O0000132,P00068,1,106.66,0.00
OI0000274,O0000132,P00062,1,120.05,0.00
OI0000275,O0000132,P00168,2,67.15,57.80
OI0000276,O0000133,P00138,1,76.21,0.00
OI0000277,O0000133,P00087,1,437.19,117.65
OI0000278,O0000134,P00180,1,219.47,0.00
OI0000279,O0000134,P00109,1,186.86,0.00
OI0000280,O0000135,P00112,1,172.61,0.00
OI0000281,O0000135,P00087,1,437.19,0.00
OI0000282,O0000135,P00083,1,103.49,0.00
OI0000283,O0000135,P00090,2,290.67,0.00
OI0000284,O0000135,P00093,1,161.57,0.00
OI0000285,O0000136,P00057,1,65.94,0.00
OI0000286,O0000136,P00155,1,44.92,0.00
OI0000287,O0000137,P00162,1,63.36,8.95
OI0000288,O0000138,P00097,1,260.61,0.00
OI0000289,O0000138,P00006,1,31.44,0.00
OI0000290,O0000138,P00094,1,384.95,0.00
OI0000291,O0000138,P00096,1,448.18,89.55
OI0000292,O0000139,P00183,1,274.44,0.00
OI0000293,O0000140,P00015,1,66.55,0.00
OI0000294,O0000140,P00107,1,109.03,0.00
OI0000295,O0000141,P00001,1,38.97,0.00
OI0000296,O0000141,P00121,1,95.77,0.00
OI0000297,O0000141,P00052,2,64.55,0.00
OI0000298,O0000141,P00097,1,260.61,0.00
OI0000299,O0000142,P00117,1,134.40,0.00
OI0000300,O0000142,P00148,1,75.06,0.00
OI0000301,O0000143,P00134,1,68.67,0.00
OI0000302,O0000143,P00116,3,38.00,0.00
OI0000303,O0000143,P00150,1,59.37,0.00
OI0000304,O0000144,P00025,4,125.94,207.60
OI0000305,O0000144,P00121,2,95.77,0.00
OI0000306,O0000144,P00010,1,28.00,0.00
OI0000307,O0000145,P00001,1,38.97,0.00
OI0000308,O0000146,P00058,3,156.81,56.73
OI0000309,O0000146,P00190,2,189.90,0.00
OI0000310,O0000147,P00100,1,386.68,0.00
OI0000311,O0000147,P00019,1,65.52,0.00
OI0000312,O0000147,P00055,1,40.68,0.00
OI0000313,O0000148,P00055,1,40.68,0.00
OI0000314,O0000148,P00058,1,156.81,0.00
OI0000315,O0000148,P00030,1,99.97,0.00
OI0000316,O0000148,P00187,1,164.80,45.57
OI0000317,O0000148,P00179,3,49.48,0.00
OI0000318,O0000149,P00064,1,93.30,0.00
OI0000319,O0000149,P00071,1,122.76,0.00
OI0000320,O0000149,P00099,1,472.93,0.00
OI0000321,O0000150,P00077,1,105.21,9.52
OI0000322,O0000150,P00073,1,79.76,0.00
OI0000323,O0000150,P00077,2,105.21,41.20
OI0000324,O0000150,P00071,1,122.76,0.00
OI0000325,O0000151,P00078,1,128.93,0.00
OI0000326,O0000152,P00178,1,226.66,0.00
OI0000327,O0000152,P00081,1,425.20,109.74
OI0000328,O0000152,P00114,1,111.53,3.88
OI0000329,O0000153,P00106,2,104.67,69.17
OI0000330,O0000154,P00099,4,472.93,0.00
OI0000331,O0000155,P00079,1,67.74,0.00
OI0000332,O0000156,P00085,1,166.79,0.00
OI0000333,O0000156,P00032,1,34.46,0.00
OI0000334,O0000157,P00098,1,126.60,0.00
OI0000335,O0000158,P00074,1,128.17,70.49
OI0000336,O0000158,P00057,2,65.94,72.53
OI0000337,O0000158,P00073,1,79.76,23.82
OI0000338,O0000158,P00077,1,105.21,44.72
OI0000339,O0000159,P00147,1,66.12,13.59
OI0000340,O0000160,P00113,1,86.78,8.83
OI0000341,O0000160,P00003,4,32.59,0.00
OI0000342,O0000160,P00113,1,86.78,22.56
OI0000343,O0000161,P00018,1,62.01,0.00
OI0000344,O0000162,P00134,3,68.67,0.00
OI0000345,O0000162,P00126,1,33.23,0.00
OI0000346,O0000162,P00167,1,59.63,0.00
OI0000347,O0000162,P00135,1,140.35,0.00
OI0000348,O0000163,P00189,2,180.08,0.00
OI0000349,O0000164,P00170,2,216.26,0.00
OI0000350,O0000164,P00087,1,437.19,34.01
OI0000351,O0000165,P00102,1,243.13,0.00
OI0000352,O0000165,P00137,2,31.33,0.00
OI0000353,O0000165,P00066,1,111.95,0.00
OI0000354,O0000166,P00185,1,245.75,0.00
OI0000355,O0000166,P00010,1,28.00,0.00
OI0000356,O0000166,P00134,1,68.67,16.03
OI0000357,O0000166,P00101,1,112.24,0.00
OI0000358,O0000167,P00042,1,98.30,0.00
OI0000359,O0000168,P00177,1,276.02,151.81
OI0000360,O0000168,P00177,3,276.02,387.28
OI0000361,O0000168,P00021,1,52.72,0.00
OI0000362,O0000168,P00029,1,116.07,0.00
OI0000363,O0000169,P00175,1,241.41,90.07
OI0000364,O0000169,P00181,3,235.91,0.00
OI0000365,O0000169,P00024,1,35.49,4.77
OI0000366,O0000169,P00181,1,235.91,0.00
OI0000367,O0000170,P00179,1,49.48,8.56
OI0000368,O0000170,P00185,1,245.75,0.00
OI0000369,O0000171,P00111,1,166.13,38.28
OI0000370,O0000171,P00075,1,51.74,10.81
OI0000371,O0000172,P00019,1,65.52,10.88
OI0000372,O0000173,P00145,1,66.69,28.06
OI0000373,O0000173,P00032,1,34.46,10.20
OI0000374,O0000173,P00065,3,94.68,0.00
OI0000375,O0000174,P00147,1,66.12,0.00
OI0000376,O0000175,P00173,1,77.82,0.00
OI0000377,O0000176,P00018,2,62.01,0.00
OI0000378,O0000177,P00049,1,45.89,0.00
OI0000379,O0000177,P00078,1,128.93,0.00
OI0000380,O0000177,P00054,3,59.52,58.32
OI0000381,O0000178,P00067,1,78.15,0.00
OI0000382,O0000179,P00050,1,116.54,0.00
OI0000383,O0000180,P00033,1,44.67,13.99
OI0000384,O0000181,P00035,1,131.59,0.00
OI0000385,O0000181,P00033,1,44.67,0.00
OI0000386,O0000181,P00007,1,116.94,16.83
OI0000387,O0000182,P00039,1,25.56,1.04
OI0000388,O0000182,P00015,1,66.55,8.98
OI0000389,O0000183,P00163,2,39.36,14.41
OI0000390,O0000183,P00077,1,105.21,21.90
OI0000391,O0000183,P00109,1,186.86,0.00
OI0000392,O0000184,P00037,2,116.64,0.00
OI0000393,O0000184,P00119,2,192.22,0.69
OI0000394,O0000184,P00032,1,34.46,16.93
OI0000395,O0000184,P00121,1,95.77,0.00
OI0000396,O0000185,P00086,1,263.09,0.00
OI0000397,O0000185,P00177,1,276.02,10.10
OI0000398,O0000185,P00104,1,175.32,0.00
OI0000399,O0000185,P00011,1,133.12,35.60
OI0000400,O0000186,P00169,2,50.39,8.75
OI0000401,O0000187,P00158,1,70.58,18.84
OI0000402,O0000187,P00051,1,43.18,8.26
OI0000403,O0000187,P00150,1,59.37,0.00
OI0000404,O0000188,P00148,1,75.06,0.00
OI0000405,O0000188,P00115,3,110.04,0.00
OI0000406,O0000188,P00149,1,72.73,0.00
OI0000407,O0000188,P00158,1,70.58,0.00
OI0000408,O0000189,P00109,1,186.86,12.35
OI0000409,O0000190,P00031,1,90.94,36.49
OI0000410,O0000191,P00061,1,44.28,0.00
OI0000411,O0000191,P00178,1,226.66,86.61
OI0000412,O0000192,P00025,2,125.94,112.31
OI0000413,O0000193,P00168,1,67.15,0.00
OI0000414,O0000193,P00012,2,88.93,63.64
OI0000415,O0000194,P00038,1,83.70,0.00
OI0000416,O0000194,P00025,2,125.94,46.12
OI0000417,O0000194,P00067,1,78.15,0.00
OI0000418,O0000194,P00013,4,66.51,0.00
OI0000419,O0000194,P00089,1,337.55,0.00
OI0000420,O0000195,P00029,1,116.07,0.00
OI0000421,O0000195,P00026,1,34.19,10.21
OI0000422,O0000195,P00183,1,274.44,0.00
OI0000423,O0000196,P00085,1,166.79,0.00
OI0000424,O0000196,P00034,1,41.79,19.63
OI0000425,O0000197,P00130,1,206.19,92.39
OI0000426,O0000198,P00022,1,40.61,0.41
OI0000427,O0000198,P00027,1,31.13,0.00
OI0000428,O0000198,P00014,1,87.12,31.22
OI0000429,O0000199,P00188,1,166.85,0.00
OI0000430,O0000200,P00137,2,31.33,0.00
OI0000431,O0000200,P00177,1,276.02,33.95
OI0000432,O0000200,P00084,1,208.44,0.00
OI0000433,O0000201,P00069,1,148.15,0.00
OI0000434,O0000201,P00077,1,105.21,22.43
OI0000435,O0000201,P00072,1,58.95,0.00
OI0000436,O0000201,P00187,1,164.80,23.24
OI0000437,O0000201,P00046,1,117.17,0.00
OI0000438,O0000202,P00145,1,66.69,0.00
OI0000439,O0000202,P00161,3,61.46,0.00
OI0000440,O0000202,P00151,1,57.14,0.00
OI0000441,O0000203,P00143,2,21.76,0.00
OI0000442,O0000204,P00076,1,83.39,0.00
OI0000443,O0000204,P00071,1,122.76,0.00
OI0000444,O0000205,P00144,2,174.00,91.80
OI0000445,O0000205,P00006,1,31.44,17.29
OI0000446,O0000205,P00116,1,38.00,9.20
OI0000447,O0000206,P00087,1,437.19,189.26
OI0000448,O0000206,P00082,1,477.87,118.37
OI0000449,O0000206,P00010,1,28.00,3.76
OI0000450,O0000206,P00179,1,49.48,0.00
OI0000451,O0000206,P00110,3,411.22,501.98
OI0000452,O0000207,P00008,2,83.50,0.00
OI0000453,O0000207,P00089,1,337.55,0.00
OI0000454,O0000208,P00027,1,31.13,1.02
OI0000455,O0000209,P00163,1,39.36,0.00
OI0000456,O0000209,P00152,1,28.36,15.60
OI0000457,O0000210,P00168,1,67.15,0.00
OI0000458,O0000210,P00033,1,44.67,7.46
OI0000459,O0000211,P00129,1,59.96,0.00
OI0000460,O0000212,P00078,1,128.93,0.00
OI0000461,O0000213,P00152,1,28.36,0.00
OI0000462,O0000213,P00156,1,17.16,0.00
OI0000463,O0000213,P00163,1,39.36,0.00
OI0000464,O0000213,P00140,1,50.12,0.00
OI0000465,O0000214,P00106,1,104.67,0.00
OI0000466,O0000214,P00169,1,50.39,10.69
OI0000467,O0000214,P00175,1,241.41,42.61
OI0000468,O0000214,P00129,1,59.96,10.13
OI0000469,O0000215,P00037,1,116.64,33.36
OI0000470,O0000215,P00153,1,34.78,0.00
OI0000471,O0000216,P00043,1,107.20,16.32
OI0000472,O0000216,P00116,1,38.00,10.47
OI0000473,O0000216,P00120,1,97.95,0.00
OI0000474,O0000216,P00126,1,33.23,18.28
OI0000475,O0000217,P00140,1,50.12,0.00
OI0000476,O0000218,P00009,1,73.72,0.00
OI0000477,O0000218,P00101,1,112.24,0.00
OI0000478,O0000218,P00007,1,116.94,0.00
OI0000479,O0000218,P00010,3,28.00,0.00
OI0000480,O0000219,P00182,3,47.86,0.00
OI0000481,O0000220,P00107,1,109.03,17.34
OI0000482,O0000220,P00081,1,425.20,0.00
OI0000483,O0000220,P00065,1,94.68,0.00
OI0000484,O0000221,P00122,1,54.16,29.79
OI0000485,O0000222,P00117,1,134.40,20.52
OI0000486,O0000222,P00072,1,58.95,16.92
OI0000487,O0000223,P00085,1,166.79,27.35
OI0000488,O0000223,P00086,1,263.09,0.00
OI0000489,O0000223,P00099,1,472.93,148.50
OI0000490,O0000223,P00091,1,437.76,68.68
OI0000491,O0000223,P00120,1,97.95,0.00
OI0000492,O0000224,P00062,1,120.05,0.00
OI0000493,O0000225,P00149,1,72.73,9.97
OI0000494,O0000225,P00002,1,81.68,0.00
OI0000495,O0000225,P00098,1,126.60,0.00
OI0000496,O0000226,P00097,1,260.61,0.00
OI0000497,O0000227,P00175,1,241.41,0.00
OI0000498,O0000227,P00110,1,411.22,127.85
OI0000499,O0000228,P00174,1,211.86,0.00
OI0000500,O0000228,P00048,2,122.50,0.00
OI0000501,O0000228,P00173,1,77.82,0.00
OI0000502,O0000229,P00071,1,122.76,0.00
OI0000503,O0000230,P00135,1,140.35,0.00
OI0000504,O0000231,P00002,1,81.68,24.33
OI0000505,O0000231,P00052,2,64.55,38.64
OI0000506,O0000231,P00158,1,70.58,24.51
OI0000507,O0000232,P00028,1,31.99,1.31
OI0000508,O0000232,P00040,1,113.30,0.00
OI0000509,O0000232,P00080,2,49.77,47.50
OI0000510,O0000232,P00150,1,59.37,0.00
OI0000511,O0000233,P00045,1,70.92,0.00
OI0000512,O0000234,P00129,1,59.96,19.03
OI0000513,O0000234,P00175,1,241.41,1.23
OI0000514,O0000234,P00009,1,73.72,0.00
OI0000515,O0000234,P00124,1,30.80,0.00
OI0000516,O0000234,P00179,1,49.48,21.27
OI0000517,O0000235,P00011,2,133.12,0.00
OI0000518,O0000235,P00010,1,28.00,8.09
OI0000519,O0000235,P00012,4,88.93,91.28
OI0000520,O0000235,P00046,1,117.17,18.10
OI0000521,O0000236,P00049,1,45.89,0.00
OI0000522,O0000237,P00170,1,216.26,0.00
OI0000523,O0000237,P00177,2,276.02,303.62
OI0000524,O0000237,P00169,3,50.39,4.99
OI0000525,O0000237,P00186,1,272.93,115.34
OI0000526,O0000237,P00171,2,68.19,75.01
OI0000527,O0000238,P00055,3,40.68,0.00
OI0000528,O0000239,P00172,1,93.79,0.00
OI0000529,O0000239,P00169,1,50.39,25.32
OI0000530,O0000240,P00144,1,174.00,28.90
OI0000531,O0000240,P00064,1,93.30,0.00
OI0000532,O0000240,P00020,1,131.49,72.32
OI0000533,O0000241,P00003,1,32.59,6.24
OI0000534,O0000242,P00108,1,119.88,0.00
OI0000535,O0000243,P00107,1,109.03,15.78
OI0000536,O0000244,P00116,1,38.00,0.00
OI0000537,O0000245,P00103,1,111.90,0.00
OI0000538,O0000246,P00091,1,437.76,113.55
OI0000539,O0000246,P00091,1,437.76,103.97
OI0000540,O0000247,P00069,1,148.15,1.45
OI0000541,O0000248,P00074,1,128.17,34.49
OI0000542,O0000248,P00066,1,111.95,0.00
OI0000543,O0000248,P00055,1,40.68,0.00
OI0000544,O0000249,P00057,3,65.94,36.77
OI0000545,O0000249,P00131,1,107.23,0.00
OI0000546,O0000249,P00098,1,126.60,0.00
OI0000547,O0000250,P00125,1,100.06,0.00
OI0000548,O0000250,P00044,3,20.90,6.63
OI0000549,O0000250,P00068,1,106.66,0.00
OI0000550,O0000251,P00102,1,243.13,0.00
OI0000551,O0000252,P00094,1,384.95,67.56
OI0000552,O0000252,P00019,3,65.52,82.93
OI0000553,O0000252,P00136,1,29.59,8.38
OI0000554,O0000253,P00062,1,120.05,0.00
OI0000555,O0000254,P00075,1,51.74,0.00
OI0000556,O0000255,P00095,1,396.85,0.00
OI0000557,O0000255,P00084,1,208.44,0.00
