spend_date,channel,campaign,spend,impressions,clicks
2024-01-02,Paid Search,Paid - Shopping,20.39,984,23
2024-01-03,Paid Search,Paid - Shopping,20.39,1111,21
2024-01-04,Paid Search,Paid - Shopping,20.39,1126,22
2024-01-05,Paid Search,Paid - Shopping,20.39,695,22
2024-01-06,Paid Search,Paid - Shopping,14.68,580,16
2024-01-07,Paid Search,Paid - Shopping,14.68,729,14
2024-01-08,Paid Search,Paid - Shopping,20.39,944,19
2024-01-09,Paid Search,Paid - Shopping,20.39,1317,20
2024-01-10,Paid Search,Paid - Shopping,20.39,1155,19
2024-01-11,Paid Search,Paid - Shopping,20.39,897,20
2024-01-12,Paid Search,Paid - Shopping,20.39,864,20
2024-01-13,Paid Search,Paid - Shopping,14.68,687,15
2024-01-14,Paid Search,Paid - Shopping,14.68,794,16
2024-01-15,Paid Search,Paid - Shopping,20.39,1579,22
2024-01-16,Paid Search,Paid - Shopping,20.39,1278,20
2024-01-17,Paid Search,Paid - Shopping,20.39,775,21
2024-01-18,Paid Search,Paid - Shopping,20.39,596,19
2024-01-19,Paid Search,Paid - Shopping,20.39,1086,21
2024-01-20,Paid Search,Paid - Shopping,14.68,973,16
2024-01-21,Paid Search,Paid - Shopping,14.68,646,14
2024-01-22,Paid Search,Paid - Shopping,20.39,1348,21
2024-01-23,Paid Search,Paid - Shopping,20.39,682,23
2024-01-24,Paid Search,Paid - Shopping,20.39,862,23
2024-01-25,Paid Search,Paid - Shopping,20.39,1146,21
2024-01-26,Paid Search,Paid - Shopping,20.39,709,22
2024-01-27,Paid Search,Paid - Shopping,14.68,1020,14
2024-01-28,Paid Search,Paid - Shopping,14.68,913,16
2024-01-29,Paid Search,Paid - Shopping,20.39,649,21
2024-01-30,Paid Search,Paid - Shopping,20.39,994,23
2024-01-31,Paid Search,Paid - Shopping,20.39,1143,20
2024-01-01,Paid Social,Paid - Prospecting,7.67,639,19
2024-01-02,Paid Social,Paid - Prospecting,7.67,757,18
2024-01-03,Paid Social,Paid - Prospecting,7.67,515,17
2024-01-04,Paid Social,Paid - Prospecting,7.67,769,17
2024-01-05,Paid Social,Paid - Prospecting,7.67,781,18
2024-01-06,Paid Social,Paid - Prospecting,5.53,609,13
2024-01-07,Paid Social,Paid - Prospecting,5.53,883,13
2024-01-08,Paid Social,Paid - Prospecting,7.67,1052,17
2024-01-09,Paid Social,Paid - Prospecting,7.67,1161,18
2024-01-10,Paid Social,Paid - Prospecting,7.67,732,19
2024-01-11,Paid Social,Paid - Prospecting,7.67,639,19
2024-01-12,Paid Social,Paid - Prospecting,7.67,1033,16
2024-01-13,Paid Social,Paid - Prospecting,5.53,849,12
2024-01-14,Paid Social,Paid - Prospecting,5.53,590,12
2024-01-15,Paid Social,Paid - Prospecting,7.67,857,18
2024-01-16,Paid Social,Paid - Prospecting,7.67,851,19
2024-01-17,Paid Social,Paid - Prospecting,7.67,632,19
2024-01-18,Paid Social,Paid - Prospecting,7.67,974,18
2024-01-19,Paid Social,Paid - Prospecting,7.67,761,16
2024-01-20,Paid Social,Paid - Prospecting,5.53,814,13
2024-01-21,Paid Social,Paid - Prospecting,5.53,803,11
2024-01-22,Paid Social,Paid - Prospecting,7.67,1037,16
2024-01-23,Paid Social,Paid - Prospecting,7.67,619,17
2024-01-24,Paid Social,Paid - Prospecting,7.67,1083,20
2024-01-25,Paid Social,Paid - Prospecting,7.67,1284,18
2024-01-26,Paid Social,Paid - Prospecting,7.67,921,17
2024-01-27,Paid Social,Paid - Prospecting,5.53,720,14
2024-01-28,Paid Social,Paid - Prospecting,5.53,793,13
2024-01-29,Paid Social,Paid - Prospecting,7.67,520,18
2024-01-30,Paid Social,Paid - Prospecting,7.67,1176,20
2024-01-31,Paid Social,Paid - Prospecting,7.67,836,16
2024-01-01,Paid Social,Paid - Retargeting,11.49,1454,25
2024-01-02,Paid Social,Paid - Retargeting,11.49,1770,27
2024-01-03,Paid Social,Paid - Retargeting,11.49,1775,26
2024-01-04,Paid Social,Paid - Retargeting,11.49,1635,27
2024-01-05,Paid Social,Paid - Retargeting,11.49,1323,28
2024-01-06,Paid Social,Paid - Retargeting,8.28,871,20
2024-01-07,Paid Social,Paid - Retargeting,8.28,623,19
2024-01-08,Paid Social,Paid - Retargeting,11.49,1196,25
2024-01-09,Paid Social,Paid - Retargeting,11.49,1019,26
2024-01-10,Paid Social,Paid - Retargeting,11.49,1422,25
2024-01-11,Paid Social,Paid - Retargeting,11.49,1002,28
2024-01-12,Paid Social,Paid - Retargeting,11.49,1375,26
2024-01-13,Paid Social,Paid - Retargeting,8.28,1139,19
2024-01-14,Paid Social,Paid - Retargeting,8.28,1265,20
2024-01-15,Paid Social,Paid - Retargeting,11.49,1679,25
2024-01-16,Paid Social,Paid - Retargeting,11.49,1509,27
2024-01-17,Paid Social,Paid - Retargeting,11.49,1079,26
2024-01-18,Paid Social,Paid - Retargeting,11.49,1027,24
2024-01-19,Paid Social,Paid - Retargeting,11.49,1256,25
2024-01-20,Paid Social,Paid - Retargeting,8.28,728,19
2024-01-21,Paid Social,Paid - Retargeting,8.28,850,18
2024-01-22,Paid Social,Paid - Retargeting,11.49,1339,26
2024-01-23,Paid Social,Paid - Retargeting,11.49,1073,27
2024-01-24,Paid Social,Paid - Retargeting,11.49,969,28
2024-01-25,Paid Social,Paid - Retargeting,11.49,780,26
2024-01-26,Paid Social,Paid - Retargeting,11.49,1430,27
2024-01-27,Paid Social,Paid - Retargeting,8.28,1120,20
2024-01-28,Paid Social,Paid - Retargeting,8.28,1216,20
2024-01-29,Paid Social,Paid - Retargeting,11.49,2073,29
2024-01-30,Paid Social,Paid - Retargeting,11.49,1586,29
2024-01-31,Paid Social,Paid - Retargeting,11.49,748,26
2024-01-01,Paid Social,Paid - Creator,17.14,2791,42
2024-01-02,Paid Social,Paid - Creator,17.14,1989,41
2024-01-03,Paid Social,Paid - Creator,17.14,2109,39
2024-01-04,Paid Social,Paid - Creator,17.14,1310,39
2024-01-05,Paid Social,Paid - Creator,17.14,2017,41
2024-01-06,Paid Social,Paid - Creator,12.34,1103,29
2024-01-07,Paid Social,Paid - Creator,12.34,996,30
2024-01-08,Paid Social,Paid - Creator,17.14,2217,44
2024-01-09,Paid Social,Paid - Creator,17.14,1283,39
2024-01-10,Paid Social,Paid - Creator,17.14,2056,40
2024-01-11,Paid Social,Paid - Creator,17.14,2125,38
2024-01-12,Paid Social,Paid - Creator,17.14,2872,44
2024-01-13,Paid Social,Paid - Creator,12.34,1887,27
2024-01-14,Paid Social,Paid - Creator,12.34,1668,28
2024-01-15,Paid Social,Paid - Creator,17.14,1611,42
2024-01-16,Paid Social,Paid - Creator,17.14,2104,38
2024-01-17,Paid Social,Paid - Creator,17.14,2398,38
2024-01-18,Paid Social,Paid - Creator,17.14,2216,40
2024-01-19,Paid Social,Paid - Creator,17.14,2747,39
2024-01-20,Paid Social,Paid - Creator,12.34,1302,27
2024-01-21,Paid Social,Paid - Creator,12.34,1270,31
2024-01-22,Paid Social,Paid - Creator,17.14,2501,44
2024-01-23,Paid Social,Paid - Creator,17.14,1432,39
2024-01-24,Paid Social,Paid - Creator,17.14,2421,41
2024-01-25,Paid Social,Paid - Creator,17.14,1516,38
2024-01-26,Paid Social,Paid - Creator,17.14,2191,40
2024-01-27,Paid Social,Paid - Creator,12.34,2135,31
2024-01-28,Paid Social,Paid - Creator,12.34,1266,30
2024-01-29,Paid Social,Paid - Creator,17.14,1801,43
2024-01-30,Paid Social,Paid - Creator,17.14,2883,40
2024-01-31,Paid Social,Paid - Creator,17.14,1746,44
2024-01-01,Affiliate,Affiliate - Cashback,14.36,1624,22
2024-01-02,Affiliate,Affiliate - Cashback,14.36,1639,23
2024-01-03,Affiliate,Affiliate - Cashback,14.36,1257,21
2024-01-04,Affiliate,Affiliate - Cashback,14.36,1396,21
2024-01-05,Affiliate,Affiliate - Cashback,14.36,1346,21
2024-01-06,Affiliate,Affiliate - Cashback,10.34,960,14
2024-01-07,Affiliate,Affiliate - Cashback,10.34,1127,16
2024-01-08,Affiliate,Affiliate - Cashback,14.36,861,19
2024-01-09,Affiliate,Affiliate - Cashback,14.36,1444,22
2024-01-10,Affiliate,Affiliate - Cashback,14.36,672,22
2024-01-11,Affiliate,Affiliate - Cashback,14.36,1234,21
2024-01-12,Affiliate,Affiliate - Cashback,14.36,642,20
2024-01-13,Affiliate,Affiliate - Cashback,10.34,563,16
2024-01-14,Affiliate,Affiliate - Cashback,10.34,519,14
2024-01-15,Affiliate,Affiliate - Cashback,14.36,1007,23
2024-01-16,Affiliate,Affiliate - Cashback,14.36,771,19
2024-01-17,Affiliate,Affiliate - Cashback,14.36,749,22
2024-01-18,Affiliate,Affiliate - Cashback,14.36,1249,22
2024-01-19,Affiliate,Affiliate - Cashback,14.36,1072,20
2024-01-20,Affiliate,Affiliate - Cashback,10.34,775,16
2024-01-21,Affiliate,Affiliate - Cashback,10.34,849,15
2024-01-22,Affiliate,Affiliate - Cashback,14.36,1557,22
2024-01-23,Affiliate,Affiliate - Cashback,14.36,574,19
2024-01-24,Affiliate,Affiliate - Cashback,14.36,1234,19
2024-01-25,Affiliate,Affiliate - Cashback,14.36,660,20
2024-01-26,Affiliate,Affiliate - Cashback,14.36,782,21
2024-01-27,Affiliate,Affiliate - Cashback,10.34,1046,16
2024-01-28,Affiliate,Affiliate - Cashback,10.34,899,15
2024-01-29,Affiliate,Affiliate - Cashback,14.36,1440,20
2024-01-30,Affiliate,Affiliate - Cashback,14.36,1112,22
2024-01-31,Affiliate,Affiliate - Cashback,14.36,673,19
2024-01-01,Affiliate,Affiliate - Content,21.26,1647,31
2024-01-02,Affiliate,Affiliate - Content,21.26,945,32
2024-01-03,Affiliate,Affiliate - Content,21.26,1894,32
2024-01-04,Affiliate,Affiliate - Content,21.26,1595,30
2024-01-05,Affiliate,Affiliate - Content,21.26,1857,32
2024-01-06,Affiliate,Affiliate - Content,15.31,1451,21
2024-01-07,Affiliate,Affiliate - Content,15.31,1480,24
2024-01-08,Affiliate,Affiliate - Content,21.26,1449,29
2024-01-09,Affiliate,Affiliate - Content,21.26,1806,33
2024-01-10,Affiliate,Affiliate - Content,21.26,1606,34
2024-01-11,Affiliate,Affiliate - Content,21.26,1971,29
2024-01-12,Affiliate,Affiliate - Content,21.26,2100,32
2024-01-13,Affiliate,Affiliate - Content,15.31,725,22
2024-01-14,Affiliate,Affiliate - Content,15.31,690,23
2024-01-15,Affiliate,Affiliate - Content,21.26,964,32
2024-01-16,Affiliate,Affiliate - Content,21.26,2302,32
2024-01-17,Affiliate,Affiliate - Content,21.26,944,33
2024-01-18,Affiliate,Affiliate - Content,21.26,948,30
2024-01-19,Affiliate,Affiliate - Content,21.26,1769,29
2024-01-20,Affiliate,Affiliate - Content,15.31,924,23
2024-01-21,Affiliate,Affiliate - Content,15.31,1066,21
2024-01-22,Affiliate,Affiliate - Content,21.26,1907,33
2024-01-23,Affiliate,Affiliate - Content,21.26,1814,32
2024-01-24,Affiliate,Affiliate - Content,21.26,2118,30
2024-01-25,Affiliate,Affiliate - Content,21.26,1752,28
2024-01-26,Affiliate,Affiliate - Content,21.26,1498,30
2024-01-27,Affiliate,Affiliate - Content,15.31,1037,21
2024-01-28,Affiliate,Affiliate - Content,15.31,1505,24
2024-01-29,Affiliate,Affiliate - Content,21.26,2245,32
2024-01-30,Affiliate,Affiliate - Content,21.26,962,30
2024-01-31,Affiliate,Affiliate - Content,21.26,1447,32
2024-01-01,Affiliate,Affiliate - Voucher,10.99,946,15
2024-01-02,Affiliate,Affiliate - Voucher,10.99,518,15
2024-01-03,Affiliate,Affiliate - Voucher,10.99,1062,17
2024-01-04,Affiliate,Affiliate - Voucher,10.99,617,15
2024-01-05,Affiliate,Affiliate - Voucher,10.99,667,15
2024-01-06,Affiliate,Affiliate - Voucher,7.91,685,11
2024-01-07,Affiliate,Affiliate - Voucher,7.91,512,11
2024-01-08,Affiliate,Affiliate - Voucher,10.99,668,14
2024-01-09,Affiliate,Affiliate - Voucher,10.99,1013,15
2024-01-10,Affiliate,Affiliate - Voucher,10.99,514,16
2024-01-11,Affiliate,Affiliate - Voucher,10.99,989,14
2024-01-12,Affiliate,Affiliate - Voucher,10.99,526,15
2024-01-13,Affiliate,Affiliate - Voucher,7.91,429,12
2024-01-14,Affiliate,Affiliate - Voucher,7.91,359,12
2024-01-15,Affiliate,Affiliate - Voucher,10.99,1002,15
2024-01-16,Affiliate,Affiliate - Voucher,10.99,541,15
2024-01-17,Affiliate,Affiliate - Voucher,10.99,937,17
2024-01-18,Affiliate,Affiliate - Voucher,10.99,537,16
2024-01-19,Affiliate,Affiliate - Voucher,10.99,463,14
2024-01-20,Affiliate,Affiliate - Voucher,7.91,760,12
2024-01-21,Affiliate,Affiliate - Voucher,7.91,768,11
2024-01-22,Affiliate,Affiliate - Voucher,10.99,666,16
2024-01-23,Affiliate,Affiliate - Voucher,10.99,1102,15
2024-01-24,Affiliate,Affiliate - Voucher,10.99,703,14
2024-01-25,Affiliate,Affiliate - Voucher,10.99,619,16
2024-01-26,Affiliate,Affiliate - Voucher,10.99,582,17
2024-01-27,Affiliate,Affiliate - Voucher,7.91,667,11
2024-01-28,Affiliate,Affiliate - Voucher,7.91,621,10
2024-01-29,Affiliate,Affiliate - Voucher,10.99,616,15
2024-01-30,Affiliate,Affiliate - Voucher,10.99,587,14
2024-01-31,Affiliate,Affiliate - Voucher,10.99,864,15
2024-01-01,Email & CRM,Email - Lifecycle,1.59,762,12
2024-01-02,Email & CRM,Email - Lifecycle,1.59,795,13
2024-01-03,Email & CRM,Email - Lifecycle,1.59,616,13
2024-01-04,Email & CRM,Email - Lifecycle,1.59,652,14
2024-01-05,Email & CRM,Email - Lifecycle,1.59,716,12
2024-01-06,Email & CRM,Email - Lifecycle,1.15,322,10
2024-01-07,Email & CRM,Email - Lifecycle,1.15,270,9
2024-01-08,Email & CRM,Email - Lifecycle,1.59,574,12
2024-01-09,Email & CRM,Email - Lifecycle,1.59,418,13
2024-01-10,Email & CRM,Email - Lifecycle,1.59,853,12
2024-01-11,Email & CRM,Email - Lifecycle,1.59,468,14
2024-01-12,Email & CRM,Email - Lifecycle,1.59,824,12
2024-01-13,Email & CRM,Email - Lifecycle,1.15,422,8
2024-01-14,Email & CRM,Email - Lifecycle,1.15,467,8
2024-01-15,Email & CRM,Email - Lifecycle,1.59,471,13
2024-01-16,Email & CRM,Email - Lifecycle,1.59,429,12
2024-01-17,Email & CRM,Email - Lifecycle,1.59,916,13
2024-01-18,Email & CRM,Email - Lifecycle,1.59,711,12
2024-01-19,Email & CRM,Email - Lifecycle,1.59,562,12
2024-01-20,Email & CRM,Email - Lifecycle,1.15,499,9
2024-01-21,Email & CRM,Email - Lifecycle,1.15,658,10
2024-01-22,Email & CRM,Email - Lifecycle,1.59,568,12
2024-01-23,Email & CRM,Email - Lifecycle,1.59,719,12
2024-01-24,Email & CRM,Email - Lifecycle,1.59,672,14
2024-01-25,Email & CRM,Email - Lifecycle,1.59,619,12
2024-01-26,Email & CRM,Email - Lifecycle,1.59,401,12
2024-01-27,Email & CRM,Email - Lifecycle,1.15,290,8
2024-01-28,Email & CRM,Email - Lifecycle,1.15,262,9
2024-01-29,Email & CRM,Email - Lifecycle,1.59,925,13
2024-01-30,Email & CRM,Email - Lifecycle,1.59,569,13
2024-01-31,Email & CRM,Email - Lifecycle,1.59,582,12
2024-01-01,Email & CRM,Email - Winback,1.38,328,10
2024-01-02,Email & CRM,Email - Winback,1.38,433,11
2024-01-03,Email & CRM,Email - Winback,1.38,538,10
2024-01-04,Email & CRM,Email - Winback,1.38,480,11
2024-01-05,Email & CRM,Email - Winback,1.38,548,11
2024-01-06,Email & CRM,Email - Winback,0.99,400,8
2024-01-07,Email & CRM,Email - Winback,0.99,478,8
2024-01-08,Email & CRM,Email - Winback,1.38,328,11
2024-01-09,Email & CRM,Email - Winback,1.38,702,10
2024-01-10,Email & CRM,Email - Winback,1.38,449,11
2024-01-11,Email & CRM,Email - Winback,1.38,516,11
2024-01-12,Email & CRM,Email - Winback,1.38,589,12
2024-01-13,Email & CRM,Email - Winback,0.99,519,8
2024-01-14,Email & CRM,Email - Winback,0.99,451,7
2024-01-15,Email & CRM,Email - Winback,1.38,592,10
2024-01-16,Email & CRM,Email - Winback,1.38,786,11
2024-01-17,Email & CRM,Email - Winback,1.38,347,12
2024-01-18,Email & CRM,Email - Winback,1.38,381,11
2024-01-19,Email & CRM,Email - Winback,1.38,393,11
2024-01-20,Email & CRM,Email - Winback,0.99,388,7
2024-01-21,Email & CRM,Email - Winback,0.99,275,7
2024-01-22,Email & CRM,Email - Winback,1.38,511,12
2024-01-23,Email & CRM,Email - Winback,1.38,396,11
2024-01-24,Email & CRM,Email - Winback,1.38,699,10
2024-01-25,Email & CRM,Email - Winback,1.38,511,10
2024-01-26,Email & CRM,Email - Winback,1.38,619,11
2024-01-27,Email & CRM,Email - Winback,0.99,507,8
2024-01-28,Email & CRM,Email - Winback,0.99,241,8
2024-01-29,Email & CRM,Email - Winback,1.38,615,10
2024-01-30,Email & CRM,Email - Winback,1.38,517,12
2024-01-31,Email & CRM,Email - Winback,1.38,362,10
2024-01-01,Marketplace,Marketplace - Sponsored Listings,26.53,2831,52
2024-01-02,Marketplace,Marketplace - Sponsored Listings,26.53,1310,44
2024-01-03,Marketplace,Marketplace - Sponsored Listings,26.53,3020,49
2024-01-04,Marketplace,Marketplace - Sponsored Listings,26.53,1786,51
2024-01-05,Marketplace,Marketplace - Sponsored Listings,26.53,2125,47
2024-01-06,Marketplace,Marketplace - Sponsored Listings,19.10,1992,36
2024-01-07,Marketplace,Marketplace - Sponsored Listings,19.10,1679,35
2024-01-08,Marketplace,Marketplace - Sponsored Listings,26.53,2271,53
2024-01-09,Marketplace,Marketplace - Sponsored Listings,26.53,2580,47
2024-01-10,Marketplace,Marketplace - Sponsored Listings,26.53,1443,45
2024-01-11,Marketplace,Marketplace - Sponsored Listings,26.53,1818,47
2024-01-12,Marketplace,Marketplace - Sponsored Listings,26.53,1915,49
2024-01-13,Marketplace,Marketplace - Sponsored Listings,19.10,1611,36
2024-01-14,Marketplace,Marketplace - Sponsored Listings,19.10,2079,37
2024-01-15,Marketplace,Marketplace - Sponsored Listings,26.53,3839,52
2024-01-16,Marketplace,Marketplace - Sponsored Listings,26.53,1820,46
2024-01-17,Marketplace,Marketplace - Sponsored Listings,26.53,1835,51
2024-01-18,Marketplace,Marketplace - Sponsored Listings,26.53,1636,45
2024-01-19,Marketplace,Marketplace - Sponsored Listings,26.53,1543,43
2024-01-20,Marketplace,Marketplace - Sponsored Listings,19.10,2250,36
2024-01-21,Marketplace,Marketplace - Sponsored Listings,19.10,1199,33
2024-01-22,Marketplace,Marketplace - Sponsored Listings,26.53,1441,50
2024-01-23,Marketplace,Marketplace - Sponsored Listings,26.53,1518,47
2024-01-24,Marketplace,Marketplace - Sponsored Listings,26.53,1723,43
2024-01-25,Marketplace,Marketplace - Sponsored Listings,26.53,2468,44
2024-01-26,Marketplace,Marketplace - Sponsored Listings,26.53,1348,47
2024-01-27,Marketplace,Marketplace - Sponsored Listings,19.10,2390,33
2024-01-28,Marketplace,Marketplace - Sponsored Listings,19.10,1828,35
2024-01-29,Marketplace,Marketplace - Sponsored Listings,26.53,3191,50
2024-01-30,Marketplace,Marketplace - Sponsored Listings,26.53,2690,47
2024-01-31,Marketplace,Marketplace - Sponsored Listings,26.53,2083,52
2024-02-01,Organic Search,Organic - SEO Content,7.03,7669,137
2024-02-02,Organic Search,Organic - SEO Content,7.03,4211,131
2024-02-03,Organic Search,Organic - SEO Content,5.06,4058,94
2024-02-04,Organic Search,Organic - SEO Content,5.06,5111,91
2024-02-05,Organic Search,Organic - SEO Content,7.03,5119,145
2024-02-06,Organic Search,Organic - SEO Content,7.03,7949,146
2024-02-07,Organic Search,Organic - SEO Content,7.03,10578,145
2024-02-08,Organic Search,Organic - SEO Content,7.03,6793,134
2024-02-09,Organic Search,Organic - SEO Content,7.03,7700,137
2024-02-10,Organic Search,Organic - SEO Content,5.06,6522,96
2024-02-11,Organic Search,Organic - SEO Content,5.06,7040,102
2024-02-12,Organic Search,Organic - SEO Content,7.03,5311,152
2024-02-13,Organic Search,Organic - SEO Content,7.03,5554,130
2024-02-14,Organic Search,Organic - SEO Content,7.03,4891,138
2024-02-15,Organic Search,Organic - SEO Content,7.03,6156,127
2024-02-16,Organic Search,Organic - SEO Content,7.03,7385,143
2024-02-17,Organic Search,Organic - SEO Content,5.06,6369,98
2024-02-18,Organic Search,Organic - SEO Content,5.06,2859,101
2024-02-19,Organic Search,Organic - SEO Content,7.03,7310,134
2024-02-20,Organic Search,Organic - SEO Content,7.03,4791,129
2024-02-21,Organic Search,Organic - SEO Content,7.03,4167,143
2024-02-22,Organic Search,Organic - SEO Content,7.03,8261,144
2024-02-23,Organic Search,Organic - SEO Content,7.03,7372,133
2024-02-24,Organic Search,Organic - SEO Content,5.06,4018,101
2024-02-25,Organic Search,Organic - SEO Content,5.06,4008,102
2024-02-26,Organic Search,Organic - SEO Content,7.03,4724,144
2024-02-27,Organic Search,Organic - SEO Content,7.03,5484,135
2024-02-28,Organic Search,Organic - SEO Content,7.03,4659,140
2024-02-29,Organic Search,Organic - SEO Content,7.03,9566,151
2024-02-01,Paid Search,Paid - Brand,18.99,586,20
2024-02-02,Paid Search,Paid - Brand,18.99,597,20
2024-02-03,Paid Search,Paid - Brand,13.67,708,14
2024-02-04,Paid Search,Paid - Brand,13.67,882,15
2024-02-05,Paid Search,Paid - Brand,18.99,980,21
2024-02-06,Paid Search,Paid - Brand,18.99,960,20
2024-02-07,Paid Search,Paid - Brand,18.99,1074,21
2024-02-08,Paid Search,Paid - Brand,18.99,1137,18
2024-02-09,Paid Search,Paid - Brand,18.99,1464,21
2024-02-10,Paid Search,Paid - Brand,13.67,997,15
2024-02-11,Paid Search,Paid - Brand,13.67,557,13
2024-02-12,Paid Search,Paid - Brand,18.99,1287,18
2024-02-13,Paid Search,Paid - Brand,18.99,1329,20
