product_id,sku,product_name,category,subcategory,brand,unit_cost,list_price,weight_kg
P00114,HOM-BED-00114,Puresel Bedding 242,Home & Kitchen,Bedding,Puresel,68.55,111.53,11.78
P00115,HOM-LIG-00115,Puresel Lighting 154,Home & Kitchen,Lighting,Puresel,70.63,110.04,4.09
P00116,HOM-BED-00116,Latitude 54 Bedding 190,Home & Kitchen,Bedding,Latitude 54,25.83,38.00,3.43
P00117,HOM-BED-00117,Ellery & Co Bedding 923,Home & Kitchen,Bedding,Ellery & Co,78.63,134.40,10.24
P00118,HOM-TAB-00118,Ellery & Co Tableware 820,Home & Kitchen,Tableware,Ellery & Co,15.17,26.40,5.79
P00119,HOM-STO-00119,Puresel Storage 828,Home & Kitchen,Storage,Puresel,127.61,192.22,8.93
P00120,HOM-LIG-00120,Northvale Lighting 554,Home & Kitchen,Lighting,Northvale,57.31,97.95,9.31
P00121,HOM-TAB-00121,Mokkan Tableware 954,Home & Kitchen,Tableware,Mokkan,73.12,95.77,8.09
P00122,HOM-COO-00122,Ellery & Co Cookware 832,Home & Kitchen,Cookware,Ellery & Co,31.57,54.16,7.78
P00123,HOM-LIG-00123,Northvale Lighting 641,Home & Kitchen,Lighting,Northvale,84.35,135.84,5.97
P00124,HOM-BED-00124,Latitude 54 Bedding 776,Home & Kitchen,Bedding,Latitude 54,14.70,30.80,8.96
P00125,HOM-LIG-00125,Latitude 54 Lighting 625,Home & Kitchen,Lighting,Latitude 54,65.07,100.06,4.82
P00126,HOM-BED-00126,Puresel Bedding 861,Home & Kitchen,Bedding,Puresel,22.78,33.23,6.61
P00127,HOM-COO-00127,Latitude 54 Cookware 913,Home & Kitchen,Cookware,Latitude 54,116.95,194.09,6.34
P00128,HOM-BED-00128,Northvale Bedding 829,Home & Kitchen,Bedding,Northvale,12.57,22.27,4.21
P00129,HOM-COO-00129,Ellery & Co Cookware 999,Home & Kitchen,Cookware,Ellery & Co,40.16,59.96,10.80
P00130,HOM-COO-00130,Ellery & Co Cookware 889,Home & Kitchen,Cookware,Ellery & Co,149.72,206.19,2.96
P00131,HOM-COO-00131,Mokkan Cookware 958,Home & Kitchen,Cookware,Mokkan,73.47,107.23,2.78
P00132,HOM-COO-00132,Ellery & Co Cookware 522,Home & Kitchen,Cookware,Ellery & Co,39.88,68.52,2.76
P00133,HOM-COO-00133,Latitude 54 Cookware 732,Home & Kitchen,Cookware,Latitude 54,110.37,184.72,6.19
P00134,HOM-COO-00134,Brightpath Cookware 912,Home & Kitchen,Cookware,Brightpath,41.62,68.67,9.79
P00135,HOM-BED-00135,Ellery & Co Bedding 297,Home & Kitchen,Bedding,Ellery & Co,87.29,140.35,5.68
P00136,HOM-COO-00136,Latitude 54 Cookware 949,Home & Kitchen,Cookware,Latitude 54,18.21,29.59,8.65
P00137,HOM-BED-00137,Mokkan Bedding 277,Home & Kitchen,Bedding,Mokkan,19.37,31.33,2.77
P00138,HOM-BED-00138,Ellery & Co Bedding 633,Home & Kitchen,Bedding,Ellery & Co,48.20,76.21,9.83
P00139,HOM-COO-00139,Ellery & Co Cookware 168,Home & Kitchen,Cookware,Ellery & Co,31.36,53.02,9.62
P00140,HOM-LIG-00140,Brightpath Lighting 687,Home & Kitchen,Lighting,Brightpath,29.62,50.12,2.49
P00141,HOM-COO-00141,Ellery & Co Cookware 990,Home & Kitchen,Cookware,Ellery & Co,104.86,169.49,1.80
P00142,HOM-COO-00142,Northvale Cookware 155,Home & Kitchen,Cookware,Northvale,75.86,138.70,3.30
P00143,HOM-TAB-00143,Mokkan Tableware 266,Home & Kitchen,Tableware,Mokkan,13.98,21.76,3.72
P00144,HOM-COO-00144,Puresel Cookware 531,Home & Kitchen,Cookware,Puresel,110.51,174.00,11.90
P00145,BEA-COS-00145,Ellery & Co Cosmetic 224,Beauty,Cosmetics,Ellery & Co,27.47,66.69,0.34
P00146,BEA-FRA-00146,Mokkan Fragrance 928,Beauty,Fragrance,Mokkan,15.82,45.85,0.39
P00147,BEA-HAI-00147,Mokkan Haircare 972,Beauty,Haircare,Mokkan,29.57,66.12,0.14
P00148,BEA-HAI-00148,Brightpath Haircare 497,Beauty,Haircare,Brightpath,31.03,75.06,0.38
P00149,BEA-FRA-00149,Mokkan Fragrance 884,Beauty,Fragrance,Mokkan,26.57,72.73,0.39
P00150,BEA-HAI-00150,Puresel Haircare 378,Beauty,Haircare,Puresel,26.22,59.37,0.35
P00151,BEA-SKI-00151,Brightpath Skincare 241,Beauty,Skincare,Brightpath,21.90,57.14,0.21
P00152,BEA-SKI-00152,Northvale Skincare 376,Beauty,Skincare,Northvale,10.18,28.36,0.21
P00153,BEA-FRA-00153,Ellery & Co Fragrance 475,Beauty,Fragrance,Ellery & Co,16.34,34.78,0.34
P00154,BEA-COS-00154,Ellery & Co Cosmetic 838,Beauty,Cosmetics,Ellery & Co,14.41,38.78,0.50
P00155,BEA-FRA-00155,Latitude 54 Fragrance 534,Beauty,Fragrance,Latitude 54,16.28,44.92,0.42
P00156,BEA-SKI-00156,Mokkan Skincare 132,Beauty,Skincare,Mokkan,6.05,17.16,0.24
P00157,BEA-COS-00157,Ellery & Co Cosmetic 338,Beauty,Cosmetics,Ellery & Co,7.01,19.98,0.15
P00158,BEA-COS-00158,Latitude 54 Cosmetic 796,Beauty,Cosmetics,Latitude 54,25.78,70.58,0.43
P00159,BEA-SKI-00159,Latitude 54 Skincare 459,Beauty,Skincare,Latitude 54,6.59,18.13,0.19
P00160,BEA-FRA-00160,Puresel Fragrance 166,Beauty,Fragrance,Puresel,23.31,65.82,0.26
P00161,BEA-FRA-00161,Northvale Fragrance 750,Beauty,Fragrance,Northvale,20.58,61.46,0.12
P00162,BEA-HAI-00162,Ellery & Co Haircare 690,Beauty,Haircare,Ellery & Co,20.66,63.36,0.45
P00163,BEA-HAI-00163,Brightpath Haircare 315,Beauty,Haircare,Brightpath,13.92,39.36,0.42
P00164,BEA-COS-00164,Ellery & Co Cosmetic 770,Beauty,Cosmetics,Ellery & Co,24.71,55.17,0.39
P00165,BEA-HAI-00165,Corda Haircare 332,Beauty,Haircare,Corda,20.77,59.82,0.29
P00166,BEA-SKI-00166,Ellery & Co Skincare 699,Beauty,Skincare,Ellery & Co,19.57,74.32,0.41
P00167,BEA-FRA-00167,Latitude 54 Fragrance 795,Beauty,Fragrance,Latitude 54,21.13,59.63,0.42
P00168,BEA-FRA-00168,Puresel Fragrance 170,Beauty,Fragrance,Puresel,24.16,67.15,0.25
P00169,BEA-COS-00169,Ellery & Co Cosmetic 688,Beauty,Cosmetics,Ellery & Co,23.10,50.39,0.34
P00170,SPO-CYC-00170,Corda Cycling 740,Sports & Outdoors,Cycling,Corda,120.57,216.26,1.33
P00171,SPO-CYC-00171,Ellery & Co Cycling 588,Sports & Outdoors,Cycling,Ellery & Co,42.12,68.19,8.92
P00172,SPO-FIT-00172,Ellery & Co Fitnes 618,Sports & Outdoors,Fitness,Ellery & Co,50.70,93.79,1.89
P00173,SPO-SWI-00173,Mokkan Swim 924,Sports & Outdoors,Swim,Mokkan,41.68,77.82,7.89
P00174,SPO-FIT-00174,Latitude 54 Fitnes 151,Sports & Outdoors,Fitness,Latitude 54,148.10,211.86,8.17
P00175,SPO-CAM-00175,Ellery & Co Camping 966,Sports & Outdoors,Camping,Ellery & Co,128.23,241.41,8.81
P00176,SPO-CYC-00176,Ellery & Co Cycling 630,Sports & Outdoors,Cycling,Ellery & Co,78.37,169.90,5.24
P00177,SPO-CYC-00177,Latitude 54 Cycling 248,Sports & Outdoors,Cycling,Latitude 54,158.51,276.02,1.19
P00178,SPO-FIT-00178,Corda Fitnes 167,Sports & Outdoors,Fitness,Corda,108.27,226.66,7.81
P00179,SPO-FIT-00179,Mokkan Fitnes 640,Sports & Outdoors,Fitness,Mokkan,30.73,49.48,2.58
P00180,SPO-FIT-00180,Brightpath Fitnes 909,Sports & Outdoors,Fitness,Brightpath,128.70,219.47,7.48
P00181,SPO-CAM-00181,Ellery & Co Camping 922,Sports & Outdoors,Camping,Ellery & Co,133.01,235.91,7.75
P00182,SPO-CYC-00182,Northvale Cycling 469,Sports & Outdoors,Cycling,Northvale,26.95,47.86,5.80
P00183,SPO-FIT-00183,Ellery & Co Fitnes 713,Sports & Outdoors,Fitness,Ellery & Co,148.28,274.44,7.03
P00184,SPO-SWI-00184,Ellery & Co Swim 435,Sports & Outdoors,Swim,Ellery & Co,120.05,208.78,7.70
P00185,SPO-SWI-00185,Puresel Swim 160,Sports & Outdoors,Swim,Puresel,127.68,245.75,4.99
P00186,SPO-FIT-00186,Latitude 54 Fitnes 411,Sports & Outdoors,Fitness,Latitude 54,138.32,272.93,1.02
P00187,SPO-CAM-00187,Puresel Camping 246,Sports & Outdoors,Camping,Puresel,104.67,164.80,3.42
P00188,SPO-SWI-00188,Mokkan Swim 177,Sports & Outdoors,Swim,Mokkan,98.75,166.85,1.13
P00189,SPO-CAM-00189,Brightpath Camping 306,Sports & Outdoors,Camping,Brightpath,114.73,180.08,6.94
P00190,SPO-CYC-00190,Puresel Cycling 999,Sports & Outdoors,Cycling,Puresel,105.15,189.90,6.04
