order_id,customer_id,order_date,order_channel,order_sequence,is_shipped,fulfilment_centre,carrier,promised_delivery_date,shipped_date,delivered_date,shipping_fee_charged,shipping_cost,payment_method,promo_code,order_status
O0000044,C000028,2024-03-02,Web,2,1,FC-North,Swiftline,2024-03-05,2024-03-03,2024-03-05,0.00,8.45,Digital Wallet,SEASON20,Delivered
O0000045,C000029,2024-01-09,Mobile App,1,1,FC-South,Metro Post,2024-01-14,2024-01-09,2024-01-12,4.99,3.44,Digital Wallet,SEASON20,Delivered
O0000046,C000029,2024-01-31,Web,2,1,FC-South,Metro Post,2024-02-03,2024-01-31,2024-02-03,0.00,2.98,Card,WELCOME10,Delivered
O0000047,C000029,2024-03-05,Web,3,1,FC-South,Regional Freight,2024-03-10,2024-03-06,2024-03-11,0.00,7.41,Card,FLASH25,Delivered
O0000048,C000029,2024-05-04,Store,4,0,Store Pickup,,,,,0.00,0.00,Card,SEASON20,Collected
O0000049,C000030,2024-01-09,Mobile App,1,1,FC-North,Regional Freight,2024-01-13,2024-01-09,2024-01-13,0.00,5.18,Card,SAVE15,Delivered
O0000050,C000030,2024-03-09,Web,2,1,FC-North,Swiftline,2024-03-12,2024-03-11,2024-03-12,0.00,10.45,Digital Wallet,,Delivered
O0000051,C000030,2024-05-03,Web,3,1,FC-North,Swiftline,2024-05-06,2024-05-04,2024-05-05,0.00,4.93,Card,,Delivered
O0000052,C000031,2024-01-08,Mobile App,1,1,FC-South,Regional Freight,2024-01-11,2024-01-08,2024-01-11,0.00,2.38,Card,FLASH25,Delivered
O0000053,C000031,2024-02-21,Mobile App,2,1,FC-South,Swiftline,2024-02-23,2024-02-21,2024-02-25,0.00,26.01,Card,,Delivered
O0000054,C000032,2024-01-08,Web,1,1,FC-North,Swiftline,2024-01-10,2024-01-09,2024-01-10,0.00,7.26,Buy Now Pay Later,WELCOME10,Delivered
O0000055,C000033,2024-01-07,Marketplace,1,1,FC-Central,Swiftline,2024-01-12,2024-01-07,2024-01-12,0.00,3.96,Card,,Delivered
O0000056,C000033,2024-03-11,Marketplace,2,1,FC-Central,Metro Post,2024-03-15,2024-03-12,2024-03-15,0.00,7.76,Digital Wallet,FLASH25,Delivered
O0000057,C000033,2024-05-08,Marketplace,3,1,FC-Central,Swiftline,2024-05-12,2024-05-09,2024-05-12,0.00,6.86,Digital Wallet,,Delivered
O0000058,C000034,2024-01-07,Web,1,1,FC-Central,Swiftline,2024-01-10,2024-01-09,2024-01-10,0.00,4.30,Card,,Delivered
O0000059,C000034,2024-03-26,Mobile App,2,1,FC-Central,Metro Post,2024-03-29,2024-03-26,2024-03-28,0.00,10.17,Buy Now Pay Later,SEASON20,Delivered
O0000060,C000035,2024-01-09,Web,1,1,FC-North,Regional Freight,2024-01-14,2024-01-09,2024-01-13,0.00,4.84,Card,WELCOME10,Delivered
O0000061,C000036,2024-01-07,Marketplace,1,1,FC-Central,Regional Freight,2024-01-11,2024-01-07,2024-01-17,0.00,7.59,Card,WELCOME10,Delivered
O0000062,C000037,2024-01-05,Mobile App,1,1,FC-Central,Metro Post,2024-01-09,2024-01-06,2024-01-08,0.00,11.58,Card,,Delivered
O0000063,C000038,2024-01-05,Mobile App,1,1,FC-North,Swiftline,2024-01-10,2024-01-05,2024-01-08,0.00,6.53,Card,WELCOME10,Delivered
O0000064,C000038,2024-02-04,Marketplace,2,1,FC-North,Swiftline,2024-02-09,2024-02-04,2024-02-09,0.00,7.30,Card,CLEAR40,Delivered
O0000065,C000039,2024-01-08,Mobile App,1,1,FC-North,Swiftline,2024-01-11,2024-01-10,2024-01-11,0.00,35.15,Buy Now Pay Later,CLEAR40,Delivered
O0000066,C000040,2024-01-10,Web,1,1,FC-North,Swiftline,2024-01-13,2024-01-10,2024-01-12,0.00,11.44,Digital Wallet,WELCOME10,Delivered
O0000067,C000041,2024-01-10,Store,1,0,Store Pickup,,,,,0.00,0.00,Card,CLEAR40,Collected
O0000068,C000042,2024-01-08,Web,1,1,FC-North,Swiftline,2024-01-10,2024-01-08,2024-01-09,0.00,33.41,Gift Card,,Delivered
O0000069,C000043,2024-01-06,Mobile App,1,1,FC-Central,Metro Post,2024-01-11,2024-01-06,2024-01-10,0.00,3.35,Card,FLASH25,Delivered
O0000070,C000044,2024-01-06,Marketplace,1,1,FC-Central,Swiftline,2024-01-10,2024-01-06,2024-01-10,0.00,4.57,Card,SEASON20,Delivered
O0000071,C000045,2024-01-08,Marketplace,1,1,FC-South,Regional Freight,2024-01-12,2024-01-09,2024-01-13,4.99,3.62,Card,SEASON20,Delivered
O0000072,C000045,2024-02-18,Marketplace,2,1,FC-South,Regional Freight,2024-02-22,2024-02-18,2024-02-28,0.00,3.14,Card,,Delivered
O0000073,C000046,2024-01-11,Mobile App,1,1,FC-North,Metro Post,2024-01-14,2024-01-11,2024-01-13,0.00,6.86,Card,CLEAR40,Delivered
O0000074,C000047,2024-01-08,Marketplace,1,1,FC-South,Swiftline,2024-01-11,2024-01-10,2024-01-11,0.00,12.30,Card,FLASH25,Delivered
O0000075,C000047,2024-03-24,Mobile App,2,1,FC-South,Regional Freight,2024-03-28,2024-03-24,2024-03-27,0.00,5.59,Card,WELCOME10,Delivered
O0000076,C000048,2024-01-10,Marketplace,1,1,FC-North,Swiftline,2024-01-13,2024-01-10,2024-01-13,0.00,8.03,Digital Wallet,SAVE15,Delivered
O0000077,C000049,2024-01-07,Store,1,0,Store Pickup,,,,,0.00,0.00,Card,FLASH25,Collected
O0000078,C000049,2024-05-06,Web,2,1,FC-South,Swiftline,2024-05-10,2024-05-06,2024-05-10,0.00,4.46,Card,SEASON20,Delivered
O0000079,C000049,2024-06-23,Web,3,1,FC-South,Metro Post,2024-06-26,2024-06-23,2024-06-24,0.00,4.61,Card,,Delivered
O0000080,C000049,2024-11-21,Web,4,1,FC-South,Swiftline,2024-11-23,2024-11-21,2024-11-23,0.00,7.01,Card,FLASH25,Delivered
O0000081,C000050,2024-01-08,Marketplace,1,1,FC-South,Regional Freight,2024-01-12,2024-01-08,2024-01-14,0.00,4.84,Card,CLEAR40,Delivered
O0000082,C000051,2024-01-09,Web,1,1,FC-North,Metro Post,2024-01-13,2024-01-09,2024-01-12,0.00,4.68,Card,,Delivered
O0000083,C000052,2024-01-10,Store,1,0,Store Pickup,,,,,0.00,0.00,Buy Now Pay Later,CLEAR40,Collected
O0000084,C000053,2024-01-12,Mobile App,1,1,FC-South,Swiftline,2024-01-16,2024-01-13,2024-01-16,0.00,4.47,Card,SAVE15,Delivered
O0000085,C000054,2024-01-11,Marketplace,1,1,FC-South,Metro Post,2024-01-15,2024-01-11,2024-01-14,0.00,3.70,Card,FLASH25,Delivered
O0000086,C000054,2024-03-09,Marketplace,2,1,FC-South,Regional Freight,2024-03-13,2024-03-09,2024-03-11,0.00,2.46,Card,,Delivered
O0000087,C000054,2024-03-26,Marketplace,3,1,FC-South,Swiftline,2024-03-30,2024-03-26,2024-03-29,0.00,8.34,Card,CLEAR40,Delivered
O0000088,C000054,2024-05-21,Marketplace,4,1,FC-South,Regional Freight,2024-05-25,2024-05-22,2024-05-24,0.00,4.00,Card,FLASH25,Delivered
O0000089,C000055,2024-01-12,Marketplace,1,1,FC-North,Regional Freight,2024-01-15,2024-01-12,2024-01-13,0.00,10.37,Buy Now Pay Later,CLEAR40,Delivered
O0000090,C000056,2024-01-13,Marketplace,1,1,FC-South,Regional Freight,2024-01-18,2024-01-13,2024-01-18,0.00,8.67,Digital Wallet,SEASON20,Delivered
O0000091,C000056,2024-03-22,Store,2,0,Store Pickup,,,,,0.00,0.00,Card,,Collected
O0000092,C000057,2024-01-11,Mobile App,1,1,FC-Central,Metro Post,2024-01-14,2024-01-12,2024-01-14,0.00,15.23,Card,,Delivered
O0000093,C000058,2024-01-12,Mobile App,1,1,FC-South,Metro Post,2024-01-15,2024-01-14,2024-01-15,0.00,3.92,Digital Wallet,CLEAR40,Delivered
O0000094,C000058,2024-04-05,Marketplace,2,1,FC-South,Regional Freight,2024-04-09,2024-04-05,2024-04-10,4.99,2.59,Digital Wallet,FLASH25,Delivered
O0000095,C000058,2024-05-15,Marketplace,3,1,FC-South,Metro Post,2024-05-19,2024-05-15,2024-05-18,0.00,7.13,Card,FLASH25,Delivered
O0000096,C000058,2024-06-04,Store,4,0,Store Pickup,,,,,0.00,0.00,Card,SEASON20,Collected
O0000097,C000059,2024-01-12,Marketplace,1,1,FC-Central,Swiftline,2024-01-17,2024-01-13,2024-01-16,0.00,11.51,Card,CLEAR40,Delivered
O0000098,C000060,2024-01-09,Web,1,1,FC-North,Swiftline,2024-01-14,2024-01-09,2024-01-14,0.00,14.22,Card,SAVE15,Delivered
O0000099,C000061,2024-01-11,Mobile App,1,1,FC-South,Regional Freight,2024-01-14,2024-01-11,2024-01-15,0.00,2.77,Card,SAVE15,Delivered
O0000100,C000062,2024-01-11,Mobile App,1,1,FC-North,Metro Post,2024-01-13,2024-01-11,2024-01-13,0.00,5.24,Card,FLASH25,Delivered
O0000101,C000062,2024-05-05,Web,2,1,FC-North,Swiftline,2024-05-08,2024-05-05,2024-05-08,0.00,4.41,Card,CLEAR40,Delivered
O0000102,C000062,2024-07-05,Web,3,1,FC-North,Regional Freight,2024-07-08,2024-07-05,2024-07-06,0.00,3.71,Card,CLEAR40,Delivered
O0000103,C000063,2024-01-11,Web,1,1,FC-Central,Regional Freight,2024-01-16,2024-01-13,2024-01-16,0.00,10.81,Card,,Delivered
O0000104,C000063,2024-02-29,Web,2,1,FC-Central,Swiftline,2024-03-04,2024-03-01,2024-03-04,0.00,6.09,Card,SEASON20,Delivered
O0000105,C000063,2024-05-11,Web,3,1,FC-Central,Metro Post,2024-05-15,2024-05-12,2024-05-13,0.00,9.97,Gift Card,,Delivered
O0000106,C000063,2024-09-08,Mobile App,4,1,FC-Central,Swiftline,2024-09-11,2024-09-08,2024-09-09,0.00,8.77,Card,SEASON20,Delivered
O0000107,C000063,2024-10-14,Web,5,1,FC-Central,Metro Post,2024-10-16,2024-10-14,2024-10-15,0.00,12.07,Card,,Delivered
O0000108,C000064,2024-01-11,Store,1,0,Store Pickup,,,,,0.00,0.00,Digital Wallet,SEASON20,Collected
O0000109,C000065,2024-01-13,Mobile App,1,1,FC-South,Swiftline,2024-01-17,2024-01-13,2024-01-16,0.00,3.94,Card,FLASH25,Delivered
O0000110,C000066,2024-01-11,Mobile App,1,1,FC-Central,Metro Post,2024-01-15,2024-01-11,2024-01-15,4.99,4.00,Digital Wallet,,Delivered
O0000111,C000066,2024-03-14,Web,2,1,FC-Central,Regional Freight,2024-03-17,2024-03-14,2024-03-21,0.00,8.48,Card,CLEAR40,Delivered
O0000112,C000067,2024-01-12,Web,1,1,FC-Central,Swiftline,2024-01-17,2024-01-13,2024-01-17,0.00,20.21,Card,SEASON20,Delivered
O0000113,C000068,2024-01-13,Mobile App,1,1,FC-North,Metro Post,2024-01-16,2024-01-13,2024-01-15,0.00,3.32,Card,,Delivered
O0000114,C000068,2024-09-11,Web,2,1,FC-North,Regional Freight,2024-09-15,2024-09-11,2024-09-16,0.00,2.82,Card,FLASH25,Delivered
O0000115,C000068,2024-10-12,Web,3,1,FC-North,Swiftline,2024-10-16,2024-10-12,2024-10-16,0.00,5.62,Digital Wallet,,Delivered
O0000116,C000068,2024-11-21,Mobile App,4,1,FC-North,Metro Post,2024-11-24,2024-11-21,2024-11-23,0.00,5.47,Card,SEASON20,Delivered
O0000117,C000069,2024-01-13,Web,1,1,FC-Central,Metro Post,2024-01-16,2024-01-13,2024-01-14,0.00,7.06,Card,CLEAR40,Delivered
O0000118,C000070,2024-01-15,Mobile App,1,1,FC-South,Metro Post,2024-01-20,2024-01-16,2024-01-20,0.00,6.86,Card,,Delivered
O0000119,C000071,2024-01-13,Marketplace,1,1,FC-Central,Swiftline,2024-01-16,2024-01-13,2024-01-14,4.99,4.03,Gift Card,WELCOME10,Delivered
O0000120,C000072,2024-01-13,Marketplace,1,1,FC-Central,Swiftline,2024-01-17,2024-01-14,2024-01-17,0.00,6.07,Digital Wallet,CLEAR40,Delivered
O0000121,C000073,2024-01-13,Store,1,0,Store Pickup,,,,,0.00,0.00,Card,,Collected
O0000122,C000074,2024-01-15,Mobile App,1,1,FC-South,Regional Freight,2024-01-18,2024-01-16,2024-01-17,0.00,2.35,Digital Wallet,WELCOME10,Delivered
O0000123,C000075,2024-01-11,Mobile App,1,1,FC-North,Regional Freight,2024-01-14,2024-01-11,2024-01-15,0.00,4.60,Card,WELCOME10,Delivered
O0000124,C000076,2024-01-11,Mobile App,1,1,FC-Central,Metro Post,2024-01-15,2024-01-12,2024-01-14,0.00,6.78,Digital Wallet,SAVE15,Delivered
O0000125,C000076,2024-04-26,Web,2,1,FC-Central,Swiftline,2024-04-28,2024-04-27,2024-04-28,0.00,16.47,Card,,Delivered
O0000126,C000077,2024-01-12,Marketplace,1,1,FC-South,Metro Post,2024-01-15,2024-01-13,2024-01-14,0.00,9.93,Card,WELCOME10,Delivered
O0000127,C000078,2024-01-16,Web,1,1,FC-North,Metro Post,2024-01-19,2024-01-16,2024-01-19,0.00,6.75,Card,FLASH25,Delivered
O0000128,C000079,2024-01-15,Store,1,0,Store Pickup,,,,,0.00,0.00,Card,CLEAR40,Collected
O0000129,C000080,2024-01-13,Mobile App,1,1,FC-North,Swiftline,2024-01-18,2024-01-13,2024-01-18,0.00,19.83,Card,,Delivered
O0000130,C000080,2024-03-30,Mobile App,2,1,FC-North,Swiftline,2024-04-03,2024-03-30,2024-04-03,0.00,8.91,Card,SAVE15,Delivered
O0000131,C000080,2024-08-03,Web,3,1,FC-North,Swiftline,2024-08-05,2024-08-03,2024-08-05,0.00,8.28,Card,CLEAR40,Delivered
O0000132,C000080,2024-08-28,Web,4,1,FC-North,Swiftline,2024-09-01,2024-08-29,2024-09-01,0.00,8.67,Card,FLASH25,Delivered
O0000133,C000081,2024-01-13,Web,1,1,FC-Central,Swiftline,2024-01-17,2024-01-14,2024-01-16,0.00,14.14,Card,,Delivered
O0000134,C000081,2024-05-23,Web,2,1,FC-Central,Metro Post,2024-05-27,2024-05-23,2024-05-27,0.00,8.40,Card,,Delivered
O0000135,C000081,2024-09-18,Web,3,1,FC-Central,Swiftline,2024-09-21,2024-09-19,2024-09-21,0.00,21.49,Card,WELCOME10,Delivered
O0000136,C000081,2024-10-20,Web,4,1,FC-Central,Metro Post,2024-10-23,2024-10-22,2024-10-23,0.00,4.00,Gift Card,SEASON20,Delivered
O0000137,C000081,2024-11-29,Web,5,1,FC-Central,Regional Freight,2024-12-03,2024-11-30,2024-12-03,0.00,2.35,Card,WELCOME10,Delivered
O0000138,C000081,2025-01-29,Web,6,1,FC-Central,Regional Freight,2025-02-03,2025-01-29,2025-02-02,0.00,6.97,Digital Wallet,,Delivered
O0000139,C000081,2025-02-05,Mobile App,7,1,FC-Central,Swiftline,2025-02-10,2025-02-05,2025-02-10,0.00,9.58,Card,SAVE15,Delivered
O0000140,C000082,2024-01-14,Marketplace,1,1,FC-South,Regional Freight,2024-01-16,2024-01-16,2024-01-17,0.00,3.55,Card,SEASON20,Delivered
O0000141,C000082,2024-03-03,Mobile App,2,1,FC-South,Swiftline,2024-03-07,2024-03-04,2024-03-07,0.00,14.29,Card,WELCOME10,Delivered
O0000142,C000082,2024-04-28,Store,3,0,Store Pickup,,,,,0.00,0.00,Card,CLEAR40,Collected
O0000143,C000082,2024-05-21,Store,4,0,Store Pickup,,,,,0.00,0.00,Card,,Collected
O0000144,C000083,2024-01-16,Web,1,1,FC-Central,Metro Post,2024-01-20,2024-01-16,2024-01-20,0.00,17.39,Card,SAVE15,Delivered
O0000145,C000083,2024-03-04,Web,2,1,FC-Central,Swiftline,2024-03-07,2024-03-05,2024-03-06,4.99,3.85,Digital Wallet,,Delivered
O0000146,C000083,2024-05-13,Web,3,1,FC-Central,Regional Freight,2024-05-18,2024-05-13,2024-05-17,0.00,11.86,Digital Wallet,FLASH25,Delivered
O0000147,C000084,2024-01-14,Store,1,0,Store Pickup,,,,,0.00,0.00,Digital Wallet,,Collected
O0000148,C000084,2024-03-26,Web,2,1,FC-Central,Swiftline,2024-03-28,2024-03-26,2024-03-28,0.00,15.66,Buy Now Pay Later,CLEAR40,Delivered
O0000149,C000084,2024-06-01,Mobile App,3,1,FC-Central,Swiftline,2024-06-05,2024-06-02,2024-06-05,0.00,10.70,Card,FLASH25,Delivered
O0000150,C000084,2024-08-23,Web,4,1,FC-Central,Metro Post,2024-08-26,2024-08-23,2024-08-26,0.00,7.15,Card,SAVE15,Delivered
O0000151,C000084,2024-09-10,Store,5,0,Store Pickup,,,,,0.00,0.00,Card,WELCOME10,Collected
O0000152,C000085,2024-01-14,Marketplace,1,1,FC-North,Swiftline,2024-01-19,2024-01-15,2024-01-17,0.00,25.12,Gift Card,CLEAR40,Delivered
O0000153,C000086,2024-01-13,Mobile App,1,1,FC-South,Metro Post,2024-01-16,2024-01-13,2024-01-16,0.00,8.19,Card,,Delivered
O0000154,C000087,2024-01-18,Marketplace,1,1,FC-North,Swiftline,2024-01-20,2024-01-18,2024-01-19,0.00,23.90,Card,WELCOME10,Delivered
O0000155,C000087,2024-07-26,Web,2,1,FC-North,Swiftline,2024-07-29,2024-07-26,2024-07-29,0.00,4.42,Gift Card,SEASON20,Delivered
O0000156,C000088,2024-01-16,Web,1,1,FC-South,Regional Freight,2024-01-20,2024-01-16,2024-01-21,0.00,4.22,Card,SAVE15,Delivered
O0000157,C000088,2024-03-01,Mobile App,2,1,FC-South,Swiftline,2024-03-04,2024-03-01,2024-03-04,0.00,6.35,Card,,Delivered
O0000158,C000089,2024-01-18,Web,1,1,FC-South,Metro Post,2024-01-21,2024-01-18,2024-01-21,0.00,7.41,Card,SAVE15,Delivered
O0000159,C000090,2024-01-16,Mobile App,1,1,FC-Central,Regional Freight,2024-01-20,2024-01-16,2024-01-20,0.00,2.18,Card,,Delivered
O0000160,C000091,2024-01-18,Web,1,1,FC-North,Swiftline,2024-01-23,2024-01-18,2024-01-23,0.00,11.57,Digital Wallet,,Delivered
O0000161,C000091,2024-06-29,Web,2,1,FC-North,Metro Post,2024-07-02,2024-06-30,2024-07-02,0.00,3.12,Gift Card,SEASON20,Delivered
O0000162,C000091,2024-07-28,Mobile App,3,1,FC-North,Swiftline,2024-08-01,2024-07-29,2024-07-30,0.00,39.37,Card,,Delivered
O0000163,C000091,2024-09-07,Mobile App,4,1,FC-North,Metro Post,2024-09-10,2024-09-07,2024-09-09,0.00,12.52,Digital Wallet,CLEAR40,Delivered
O0000164,C000091,2024-11-08,Mobile App,5,1,FC-North,Swiftline,2024-11-11,2024-11-08,2024-11-14,0.00,8.05,Card,,Delivered
O0000165,C000091,2024-12-22,Web,6,1,FC-North,Metro Post,2024-12-26,2024-12-23,2024-12-24,0.00,10.70,Digital Wallet,WELCOME10,Delivered
O0000166,C000091,2025-02-24,Mobile App,7,1,FC-North,Metro Post,2025-02-28,2025-02-25,2025-02-28,0.00,14.21,Card,SEASON20,Delivered
O0000167,C000092,2024-01-18,Web,1,1,FC-South,Swiftline,2024-01-20,2024-01-18,2024-01-19,0.00,3.84,Card,,Delivered
O0000168,C000093,2024-01-19,Store,1,0,Store Pickup,,,,,0.00,0.00,Card,SAVE15,Collected
O0000169,C000094,2024-01-17,Web,1,1,FC-South,Regional Freight,2024-01-21,2024-01-19,2024-01-21,0.00,24.33,Card,FLASH25,Delivered
O0000170,C000094,2024-03-26,Web,2,1,FC-South,Regional Freight,2024-03-31,2024-03-27,2024-03-30,0.00,6.26,Card,FLASH25,Delivered
O0000171,C000095,2024-01-17,Marketplace,1,1,FC-Central,Metro Post,2024-01-21,2024-01-18,2024-01-21,0.00,7.64,Card,,Delivered
O0000172,C000096,2024-01-15,Marketplace,1,1,FC-South,Metro Post,2024-01-20,2024-01-16,2024-01-19,0.00,3.39,Card,CLEAR40,Delivered
O0000173,C000097,2024-01-19,Web,1,1,FC-South,Metro Post,2024-01-23,2024-01-19,2024-01-23,0.00,5.97,Card,CLEAR40,Delivered
O0000174,C000097,2024-03-21,Mobile App,2,1,FC-South,Regional Freight,2024-03-26,2024-03-23,2024-03-28,0.00,2.18,Card,,Delivered
O0000175,C000098,2024-01-19,Mobile App,1,1,FC-Central,Regional Freight,2024-01-21,2024-01-19,2024-01-23,0.00,6.44,Card,FLASH25,Delivered
O0000176,C000099,2024-01-15,Store,1,0,Store Pickup,,,,,0.00,0.00,Card,SAVE15,Collected
O0000177,C000099,2024-02-23,Web,2,1,FC-North,Metro Post,2024-02-26,2024-02-23,2024-02-26,0.00,7.60,Card,FLASH25,Delivered
O0000178,C000099,2024-04-08,Web,3,1,FC-North,Metro Post,2024-04-11,2024-04-08,2024-04-09,0.00,3.82,Card,CLEAR40,Delivered
