cohort_month,first_order_experience,activity_month,period_index,cohort_customers,active_customers,orders,net_revenue,contribution_margin,active_rate,cumulative_contribution_margin,cumulative_margin_per_customer
2024-09-01,Returned,2025-03-01,6,75,1,1,223.34,64.71,0.0133,4372.36,58.3
2024-09-01,Returned,2025-04-01,7,75,1,1,353.93,168.13,0.0133,4540.49,60.54
2024-09-01,Returned,2025-05-01,8,75,4,4,1033.68,198.59,0.0533,4739.08,63.19
2024-09-01,Returned,2025-06-01,9,75,0,0,0.00,0.0,0.0,4739.08,63.19
2024-09-01,Returned,2025-07-01,10,75,1,1,1149.64,-228.42,0.0133,4510.66,60.14
2024-09-01,Returned,2025-08-01,11,75,0,0,0.00,0.0,0.0,4510.66,60.14
2024-09-01,Returned,2025-09-01,12,75,1,1,410.42,162.48,0.0133,4673.14,62.31
2024-09-01,Returned,2025-10-01,13,75,0,0,0.00,0.0,0.0,4673.14,62.31
2024-09-01,Returned,2025-11-01,14,75,0,0,0.00,0.0,0.0,4673.14,62.31
2024-09-01,Returned,2025-12-01,15,75,0,0,0.00,0.0,0.0,4673.14,62.31
2024-09-01,Returned,2026-01-01,16,75,1,1,59.62,0.0,0.0133,4673.14,62.31
2024-09-01,Returned,2026-02-01,17,75,0,0,0.00,0.0,0.0,4673.14,62.31
2024-09-01,Returned,2026-03-01,18,75,0,0,0.00,0.0,0.0,4673.14,62.31
2024-09-01,Returned,2026-04-01,19,75,0,0,0.00,0.0,0.0,4673.14,62.31
2024-09-01,Returned,2026-05-01,20,75,0,0,0.00,0.0,0.0,4673.14,62.31
2024-09-01,Returned,2026-06-01,21,75,0,0,0.00,0.0,0.0,4673.14,62.31
2025-01-01,Late and returned,2025-01-01,0,11,11,11,2760.66,54.66,1.0,54.66,4.97
2025-01-01,Late and returned,2025-02-01,1,11,1,1,190.46,59.05,0.0909,113.71,10.34
2025-01-01,Late and returned,2025-03-01,2,11,1,1,398.75,72.08,0.0909,185.79,16.89
2025-01-01,Late and returned,2025-04-01,3,11,1,1,109.41,54.3,0.0909,240.09,21.83
2025-01-01,Late and returned,2025-05-01,4,11,0,0,0.00,0.0,0.0,240.09,21.83
2025-01-01,Late and returned,2025-06-01,5,11,1,1,153.89,12.27,0.0909,252.36,22.94
2025-01-01,Late and returned,2025-07-01,6,11,0,0,0.00,0.0,0.0,252.36,22.94
2025-01-01,Late and returned,2025-08-01,7,11,0,0,0.00,0.0,0.0,252.36,22.94
2025-01-01,Late and returned,2025-09-01,8,11,0,0,0.00,0.0,0.0,252.36,22.94
2025-01-01,Late and returned,2025-10-01,9,11,0,0,0.00,0.0,0.0,252.36,22.94
2025-01-01,Late and returned,2025-11-01,10,11,0,0,0.00,0.0,0.0,252.36,22.94
2025-01-01,Late and returned,2025-12-01,11,11,0,0,0.00,0.0,0.0,252.36,22.94
2025-01-01,Late and returned,2026-01-01,12,11,1,1,125.63,41.33,0.0909,293.69,26.7
2025-01-01,Late and returned,2026-02-01,13,11,1,1,59.96,11.76,0.0909,305.45,27.77
2025-01-01,Late and returned,2026-03-01,14,11,0,0,0.00,0.0,0.0,305.45,27.77
2025-01-01,Late and returned,2026-04-01,15,11,0,0,0.00,0.0,0.0,305.45,27.77
2025-01-01,Late and returned,2026-05-01,16,11,0,0,0.00,0.0,0.0,305.45,27.77
2025-01-01,Late and returned,2026-06-01,17,11,0,0,0.00,0.0,0.0,305.45,27.77
2025-03-01,Delivered late,2025-03-01,0,22,22,23,4288.17,1377.16,1.0,1377.16,62.6
2025-03-01,Delivered late,2025-04-01,1,22,1,1,247.52,74.5,0.0455,1451.66,65.98
2025-03-01,Delivered late,2025-05-01,2,22,2,2,734.63,366.48,0.0909,1818.14,82.64
2025-03-01,Delivered late,2025-06-01,3,22,1,1,19.51,4.05,0.0455,1822.19,82.83
2025-03-01,Delivered late,2025-07-01,4,22,3,3,1277.53,111.56,0.1364,1933.75,87.9
2025-03-01,Delivered late,2025-08-01,5,22,2,2,1625.07,350.25,0.0909,2284.0,103.82
2025-03-01,Delivered late,2025-09-01,6,22,0,0,0.00,0.0,0.0,2284.0,103.82
2025-03-01,Delivered late,2025-10-01,7,22,0,0,0.00,0.0,0.0,2284.0,103.82
2025-03-01,Delivered late,2025-11-01,8,22,0,0,0.00,0.0,0.0,2284.0,103.82
2025-03-01,Delivered late,2025-12-01,9,22,0,0,0.00,0.0,0.0,2284.0,103.82
2025-03-01,Delivered late,2026-01-01,10,22,0,0,0.00,0.0,0.0,2284.0,103.82
2025-03-01,Delivered late,2026-02-01,11,22,0,0,0.00,0.0,0.0,2284.0,103.82
2025-03-01,Delivered late,2026-03-01,12,22,0,0,0.00,0.0,0.0,2284.0,103.82
2025-03-01,Delivered late,2026-04-01,13,22,0,0,0.00,0.0,0.0,2284.0,103.82
2025-03-01,Delivered late,2026-05-01,14,22,0,0,0.00,0.0,0.0,2284.0,103.82
2025-03-01,Delivered late,2026-06-01,15,22,0,0,0.00,0.0,0.0,2284.0,103.82
2025-06-01,Delivered late,2025-06-01,0,23,23,23,8137.02,2294.95,1.0,2294.95,99.78
2025-06-01,Delivered late,2025-07-01,1,23,1,1,263.78,100.91,0.0435,2395.86,104.17
2025-06-01,Delivered late,2025-08-01,2,23,2,2,104.24,46.97,0.087,2442.83,106.21
2025-06-01,Delivered late,2025-09-01,3,23,1,1,221.49,59.93,0.0435,2502.76,108.82
2025-06-01,Delivered late,2025-10-01,4,23,1,1,449.91,-196.22,0.0435,2306.54,100.28
2025-06-01,Delivered late,2025-11-01,5,23,1,1,38.02,9.2,0.0435,2315.74,100.68
2025-06-01,Delivered late,2025-12-01,6,23,0,0,0.00,0.0,0.0,2315.74,100.68
2025-06-01,Delivered late,2026-01-01,7,23,0,0,0.00,0.0,0.0,2315.74,100.68
2025-06-01,Delivered late,2026-02-01,8,23,0,0,0.00,0.0,0.0,2315.74,100.68
2025-06-01,Delivered late,2026-03-01,9,23,0,0,0.00,0.0,0.0,2315.74,100.68
2025-06-01,Delivered late,2026-04-01,10,23,1,1,166.79,16.65,0.0435,2332.39,101.41
2025-06-01,Delivered late,2026-05-01,11,23,0,0,0.00,0.0,0.0,2332.39,101.41
2025-06-01,Delivered late,2026-06-01,12,23,0,0,0.00,0.0,0.0,2332.39,101.41
2025-07-01,Returned,2025-07-01,0,66,66,67,23665.87,3992.4,1.0,3992.4,60.49
2025-07-01,Returned,2025-08-01,1,66,8,9,4040.88,1053.24,0.1212,5045.64,76.45
2025-07-01,Returned,2025-09-01,2,66,9,9,3859.34,765.81,0.1364,5811.45,88.05
2025-07-01,Returned,2025-10-01,3,66,9,9,2032.84,517.91,0.1364,6329.36,95.9
2025-07-01,Returned,2025-11-01,4,66,7,7,1529.09,395.36,0.1061,6724.72,101.89
2025-07-01,Returned,2025-12-01,5,66,3,3,659.32,195.95,0.0455,6920.67,104.86
2025-07-01,Returned,2026-01-01,6,66,5,5,1026.80,393.32,0.0758,7313.99,110.82
2025-07-01,Returned,2026-02-01,7,66,3,3,455.60,89.34,0.0455,7403.33,112.17
2025-07-01,Returned,2026-03-01,8,66,1,1,216.91,127.38,0.0152,7530.71,114.1
2025-07-01,Returned,2026-04-01,9,66,0,0,0.00,0.0,0.0,7530.71,114.1
2025-07-01,Returned,2026-05-01,10,66,1,1,129.93,56.08,0.0152,7586.79,114.95
2025-07-01,Returned,2026-06-01,11,66,0,0,0.00,0.0,0.0,7586.79,114.95
2025-08-01,Late and returned,2025-08-01,0,21,21,21,6394.32,770.4,1.0,770.4,36.69
2025-08-01,Late and returned,2025-09-01,1,21,1,1,70.58,41.7,0.0476,812.1,38.67
2025-08-01,Late and returned,2025-10-01,2,21,1,1,195.36,87.05,0.0476,899.15,42.82
2025-08-01,Late and returned,2025-11-01,3,21,1,1,95.97,-2.81,0.0476,896.34,42.68
2025-08-01,Late and returned,2025-12-01,4,21,2,2,135.47,75.13,0.0952,971.47,46.26
2025-08-01,Late and returned,2026-01-01,5,21,1,1,133.75,45.62,0.0476,1017.09,48.43
2025-08-01,Late and returned,2026-02-01,6,21,0,0,0.00,0.0,0.0,1017.09,48.43
2025-08-01,Late and returned,2026-03-01,7,21,0,0,0.00,0.0,0.0,1017.09,48.43
2025-08-01,Late and returned,2026-04-01,8,21,1,1,177.44,62.92,0.0476,1080.01,51.43
2025-08-01,Late and returned,2026-05-01,9,21,0,0,0.00,0.0,0.0,1080.01,51.43
2025-08-01,Late and returned,2026-06-01,10,21,0,0,0.00,0.0,0.0,1080.01,51.43
2026-01-01,Clean,2026-01-01,0,169,169,171,43465.61,11339.31,1.0,11339.31,67.1
2026-01-01,Clean,2026-02-01,1,169,15,15,3059.38,1148.99,0.0888,12488.3,73.9
2026-01-01,Clean,2026-03-01,2,169,34,35,9488.17,2151.7,0.2012,14640.0,86.63
2026-01-01,Clean,2026-04-01,3,169,20,20,6077.96,1520.39,0.1183,16160.39,95.62
2026-01-01,Clean,2026-05-01,4,169,16,16,4846.27,1668.54,0.0947,17828.93,105.5
2026-01-01,Clean,2026-06-01,5,169,9,9,1549.36,451.75,0.0533,18280.68,108.17
2026-04-01,Returned,2026-04-01,0,71,71,74,25312.02,2179.34,1.0,2179.34,30.69
2026-04-01,Returned,2026-05-01,1,71,7,7,1410.82,237.96,0.0986,2417.3,34.05
2026-04-01,Returned,2026-06-01,2,71,9,9,2996.82,260.52,0.1268,2677.82,37.72
2024-03-01,Delivered late,2024-03-01,0,19,19,19,4565.77,1151.12,1.0,1151.12,60.59
2024-03-01,Delivered late,2024-04-01,1,19,1,1,327.09,30.31,0.0526,1181.43,62.18
2024-03-01,Delivered late,2024-05-01,2,19,1,1,171.16,21.13,0.0526,1202.56,63.29
2024-03-01,Delivered late,2024-06-01,3,19,2,2,65.80,21.04,0.1053,1223.6,64.4
2024-03-01,Delivered late,2024-07-01,4,19,1,1,134.64,8.7,0.0526,1232.3,64.86
2024-03-01,Delivered late,2024-08-01,5,19,0,0,0.00,0.0,0.0,1232.3,64.86
2024-03-01,Delivered late,2024-09-01,6,19,1,1,793.51,129.79,0.0526,1362.09,71.69
2024-03-01,Delivered late,2024-10-01,7,19,0,0,0.00,0.0,0.0,1362.09,71.69
2024-03-01,Delivered late,2024-11-01,8,19,0,0,0.00,0.0,0.0,1362.09,71.69
2024-03-01,Delivered late,2024-12-01,9,19,0,0,0.00,0.0,0.0,1362.09,71.69
2024-03-01,Delivered late,2025-01-01,10,19,0,0,0.00,0.0,0.0,1362.09,71.69
2024-03-01,Delivered late,2025-02-01,11,19,0,0,0.00,0.0,0.0,1362.09,71.69
2024-03-01,Delivered late,2025-03-01,12,19,0,0,0.00,0.0,0.0,1362.09,71.69
2024-03-01,Delivered late,2025-04-01,13,19,0,0,0.00,0.0,0.0,1362.09,71.69
2024-03-01,Delivered late,2025-05-01,14,19,0,0,0.00,0.0,0.0,1362.09,71.69
2024-03-01,Delivered late,2025-06-01,15,19,0,0,0.00,0.0,0.0,1362.09,71.69
2024-03-01,Delivered late,2025-07-01,16,19,0,0,0.00,0.0,0.0,1362.09,71.69
2024-03-01,Delivered late,2025-08-01,17,19,0,0,0.00,0.0,0.0,1362.09,71.69
2024-03-01,Delivered late,2025-09-01,18,19,0,0,0.00,0.0,0.0,1362.09,71.69
2024-03-01,Delivered late,2025-10-01,19,19,0,0,0.00,0.0,0.0,1362.09,71.69
2024-03-01,Delivered late,2025-11-01,20,19,0,0,0.00,0.0,0.0,1362.09,71.69
2024-03-01,Delivered late,2025-12-01,21,19,0,0,0.00,0.0,0.0,1362.09,71.69
2024-03-01,Delivered late,2026-01-01,22,19,0,0,0.00,0.0,0.0,1362.09,71.69
2024-03-01,Delivered late,2026-02-01,23,19,0,0,0.00,0.0,0.0,1362.09,71.69
2024-03-01,Delivered late,2026-03-01,24,19,0,0,0.00,0.0,0.0,1362.09,71.69
2024-03-01,Delivered late,2026-04-01,25,19,0,0,0.00,0.0,0.0,1362.09,71.69
2024-03-01,Delivered late,2026-05-01,26,19,0,0,0.00,0.0,0.0,1362.09,71.69
2024-03-01,Delivered late,2026-06-01,27,19,0,0,0.00,0.0,0.0,1362.09,71.69
2024-07-01,Delivered late,2024-07-01,0,15,15,15,3078.47,815.89,1.0,815.89,54.39
2024-07-01,Delivered late,2024-08-01,1,15,2,2,1110.86,239.76,0.1333,1055.65,70.38
2024-07-01,Delivered late,2024-09-01,2,15,3,3,730.56,185.88,0.2,1241.53,82.77
2024-07-01,Delivered late,2024-10-01,3,15,1,1,128.01,80.76,0.0667,1322.29,88.15
2024-07-01,Delivered late,2024-11-01,4,15,0,0,0.00,0.0,0.0,1322.29,88.15
2024-07-01,Delivered late,2024-12-01,5,15,1,1,95.89,46.62,0.0667,1368.91,91.26
2024-07-01,Delivered late,2025-01-01,6,15,1,1,243.15,100.54,0.0667,1469.45,97.96
2024-07-01,Delivered late,2025-02-01,7,15,0,0,0.00,0.0,0.0,1469.45,97.96
2024-07-01,Delivered late,2025-03-01,8,15,1,1,1550.37,279.41,0.0667,1748.86,116.59
2024-07-01,Delivered late,2025-04-01,9,15,1,1,523.62,158.73,0.0667,1907.59,127.17
2024-07-01,Delivered late,2025-05-01,10,15,0,0,0.00,0.0,0.0,1907.59,127.17
2024-07-01,Delivered late,2025-06-01,11,15,0,0,0.00,0.0,0.0,1907.59,127.17
2024-07-01,Delivered late,2025-07-01,12,15,0,0,0.00,0.0,0.0,1907.59,127.17
2024-07-01,Delivered late,2025-08-01,13,15,0,0,0.00,0.0,0.0,1907.59,127.17
2024-07-01,Delivered late,2025-09-01,14,15,0,0,0.00,0.0,0.0,1907.59,127.17
2024-07-01,Delivered late,2025-10-01,15,15,0,0,0.00,0.0,0.0,1907.59,127.17
2024-07-01,Delivered late,2025-11-01,16,15,0,0,0.00,0.0,0.0,1907.59,127.17
2024-07-01,Delivered late,2025-12-01,17,15,0,0,0.00,0.0,0.0,1907.59,127.17
2024-07-01,Delivered late,2026-01-01,18,15,0,0,0.00,0.0,0.0,1907.59,127.17
2024-07-01,Delivered late,2026-02-01,19,15,0,0,0.00,0.0,0.0,1907.59,127.17
2024-07-01,Delivered late,2026-03-01,20,15,0,0,0.00,0.0,0.0,1907.59,127.17
2024-07-01,Delivered late,2026-04-01,21,15,0,0,0.00,0.0,0.0,1907.59,127.17
2024-07-01,Delivered late,2026-05-01,22,15,0,0,0.00,0.0,0.0,1907.59,127.17
2024-07-01,Delivered late,2026-06-01,23,15,0,0,0.00,0.0,0.0,1907.59,127.17
2024-08-01,Delivered late,2024-08-01,0,22,22,23,5694.73,1582.9,1.0,1582.9,71.95
2024-08-01,Delivered late,2024-09-01,1,22,2,2,862.12,386.99,0.0909,1969.89,89.54
2024-08-01,Delivered late,2024-10-01,2,22,1,1,59.18,4.46,0.0455,1974.35,89.74
2024-08-01,Delivered late,2024-11-01,3,22,3,4,643.79,120.22,0.1364,2094.57,95.21
2024-08-01,Delivered late,2024-12-01,4,22,1,1,194.44,45.71,0.0455,2140.28,97.29
2024-08-01,Delivered late,2025-01-01,5,22,0,0,0.00,0.0,0.0,2140.28,97.29
2024-08-01,Delivered late,2025-02-01,6,22,0,0,0.00,0.0,0.0,2140.28,97.29
2024-08-01,Delivered late,2025-03-01,7,22,0,0,0.00,0.0,0.0,2140.28,97.29
2024-08-01,Delivered late,2025-04-01,8,22,0,0,0.00,0.0,0.0,2140.28,97.29
2024-08-01,Delivered late,2025-05-01,9,22,0,0,0.00,0.0,0.0,2140.28,97.29
2024-08-01,Delivered late,2025-06-01,10,22,0,0,0.00,0.0,0.0,2140.28,97.29
2024-08-01,Delivered late,2025-07-01,11,22,0,0,0.00,0.0,0.0,2140.28,97.29
2024-08-01,Delivered late,2025-08-01,12,22,0,0,0.00,0.0,0.0,2140.28,97.29
2024-08-01,Delivered late,2025-09-01,13,22,0,0,0.00,0.0,0.0,2140.28,97.29
2024-08-01,Delivered late,2025-10-01,14,22,0,0,0.00,0.0,0.0,2140.28,97.29
2024-08-01,Delivered late,2025-11-01,15,22,0,0,0.00,0.0,0.0,2140.28,97.29
2024-08-01,Delivered late,2025-12-01,16,22,0,0,0.00,0.0,0.0,2140.28,97.29
2024-08-01,Delivered late,2026-01-01,17,22,0,0,0.00,0.0,0.0,2140.28,97.29
2024-08-01,Delivered late,2026-02-01,18,22,0,0,0.00,0.0,0.0,2140.28,97.29
2024-08-01,Delivered late,2026-03-01,19,22,0,0,0.00,0.0,0.0,2140.28,97.29
2024-08-01,Delivered late,2026-04-01,20,22,0,0,0.00,0.0,0.0,2140.28,97.29
2024-08-01,Delivered late,2026-05-01,21,22,0,0,0.00,0.0,0.0,2140.28,97.29
2024-08-01,Delivered late,2026-06-01,22,22,0,0,0.00,0.0,0.0,2140.28,97.29
2024-12-01,Delivered late,2024-12-01,0,50,50,51,9137.81,2427.4,1.0,2427.4,48.55
2024-12-01,Delivered late,2025-01-01,1,50,8,8,2319.09,691.32,0.16,3118.72,62.37
2024-12-01,Delivered late,2025-02-01,2,50,2,2,1087.12,362.92,0.04,3481.64,69.63
2024-12-01,Delivered late,2025-03-01,3,50,3,3,742.35,137.03,0.06,3618.67,72.37
2024-12-01,Delivered late,2025-04-01,4,50,4,4,420.92,134.94,0.08,3753.61,75.07
2024-12-01,Delivered late,2025-05-01,5,50,1,1,125.23,65.8,0.02,3819.41,76.39
2024-12-01,Delivered late,2025-06-01,6,50,1,1,1051.03,175.94,0.02,3995.35,79.91
2024-12-01,Delivered late,2025-07-01,7,50,1,1,448.18,-2.99,0.02,3992.36,79.85
2024-12-01,Delivered late,2025-08-01,8,50,0,0,0.00,0.0,0.0,3992.36,79.85
2024-12-01,Delivered late,2025-09-01,9,50,0,0,0.00,0.0,0.0,3992.36,79.85
2024-12-01,Delivered late,2025-10-01,10,50,0,0,0.00,0.0,0.0,3992.36,79.85
2024-12-01,Delivered late,2025-11-01,11,50,0,0,0.00,0.0,0.0,3992.36,79.85
2024-12-01,Delivered late,2025-12-01,12,50,0,0,0.00,0.0,0.0,3992.36,79.85
2024-12-01,Delivered late,2026-01-01,13,50,0,0,0.00,0.0,0.0,3992.36,79.85
2024-12-01,Delivered late,2026-02-01,14,50,0,0,0.00,0.0,0.0,3992.36,79.85
2024-12-01,Delivered late,2026-03-01,15,50,0,0,0.00,0.0,0.0,3992.36,79.85
2024-12-01,Delivered late,2026-04-01,16,50,0,0,0.00,0.0,0.0,3992.36,79.85
2024-12-01,Delivered late,2026-05-01,17,50,0,0,0.00,0.0,0.0,3992.36,79.85
2024-12-01,Delivered late,2026-06-01,18,50,0,0,0.00,0.0,0.0,3992.36,79.85
2025-05-01,Clean,2025-05-01,0,212,212,215,56578.46,15526.9,1.0,15526.9,73.24
2025-05-01,Clean,2025-06-01,1,212,24,24,6702.63,1914.93,0.1132,17441.83,82.27
2025-05-01,Clean,2025-07-01,2,212,33,33,8801.43,2324.31,0.1557,19766.14,93.24
2025-05-01,Clean,2025-08-01,3,212,19,19,5116.25,886.4,0.0896,20652.54,97.42
2025-05-01,Clean,2025-09-01,4,212,21,21,6113.74,1522.78,0.0991,22175.32,104.6
2025-05-01,Clean,2025-10-01,5,212,16,16,3037.66,458.36,0.0755,22633.68,106.76
2025-05-01,Clean,2025-11-01,6,212,8,8,1484.19,100.43,0.0377,22734.11,107.24
2025-05-01,Clean,2025-12-01,7,212,6,6,1342.43,356.58,0.0283,23090.69,108.92
2025-05-01,Clean,2026-01-01,8,212,6,6,826.21,161.74,0.0283,23252.43,109.68
2025-05-01,Clean,2026-02-01,9,212,1,1,59.96,7.02,0.0047,23259.45,109.71
2025-05-01,Clean,2026-03-01,10,212,6,6,1966.33,544.14,0.0283,23803.59,112.28
2025-05-01,Clean,2026-04-01,11,212,6,6,2319.56,394.02,0.0283,24197.61,114.14
2025-05-01,Clean,2026-05-01,12,212,5,5,2430.89,521.4,0.0236,24719.01,116.6
2025-05-01,Clean,2026-06-01,13,212,2,2,341.59,174.88,0.0094,24893.89,117.42
2025-09-01,Delivered late,2025-09-01,0,18,18,18,3989.89,1292.96,1.0,1292.96,71.83
2025-09-01,Delivered late,2025-10-01,1,18,3,3,623.73,227.44,0.1667,1520.4,84.47
2025-09-01,Delivered late,2025-11-01,2,18,1,1,82.08,42.16,0.0556,1562.56,86.81
2025-09-01,Delivered late,2025-12-01,3,18,3,3,734.32,-124.28,0.1667,1438.28,79.9
2025-09-01,Delivered late,2026-01-01,4,18,0,0,0.00,0.0,0.0,1438.28,79.9
2025-09-01,Delivered late,2026-02-01,5,18,0,0,0.00,0.0,0.0,1438.28,79.9
2025-09-01,Delivered late,2026-03-01,6,18,0,0,0.00,0.0,0.0,1438.28,79.9
2025-09-01,Delivered late,2026-04-01,7,18,0,0,0.00,0.0,0.0,1438.28,79.9
2025-09-01,Delivered late,2026-05-01,8,18,0,0,0.00,0.0,0.0,1438.28,79.9
2025-09-01,Delivered late,2026-06-01,9,18,0,0,0.00,0.0,0.0,1438.28,79.9
2025-11-01,Delivered late,2025-11-01,0,63,63,65,18483.91,5026.03,1.0,5026.03,79.78
2025-11-01,Delivered late,2025-12-01,1,63,3,3,540.81,212.9,0.0476,5238.93,83.16
2025-11-01,Delivered late,2026-01-01,2,63,6,6,1418.81,212.74,0.0952,5451.67,86.53
2025-11-01,Delivered late,2026-02-01,3,63,6,6,1938.52,769.57,0.0952,6221.24,98.75
2025-11-01,Delivered late,2026-03-01,4,63,3,3,542.61,103.81,0.0476,6325.05,100.4
2025-11-01,Delivered late,2026-04-01,5,63,0,0,0.00,0.0,0.0,6325.05,100.4
2025-11-01,Delivered late,2026-05-01,6,63,1,1,260.56,34.8,0.0159,6359.85,100.95
2025-11-01,Delivered late,2026-06-01,7,63,1,1,116.69,-71.48,0.0159,6288.37,99.82
2024-05-01,Delivered late,2024-05-01,0,25,25,25,4772.61,1541.66,1.0,1541.66,61.67
