order_month,category,discount_band,discount_band_rank,order_lines,orders,units,units_per_line,gross_revenue,discount_given,net_revenue,contribution_margin,avg_discount_rate,net_revenue_per_unit,margin_per_unit,contribution_margin_rate,returned_lines,return_line_rate
2025-09-01,Sports & Outdoors,0%,0,90,82,108,1.2,19016.57,0.00,19016.57,6657.0,0.0,176.08,61.64,0.3501,9,0.1
2025-06-01,Beauty,0%,0,81,70,96,1.185,4994.04,0.00,4994.04,2959.73,0.0,52.02,30.83,0.5927,1,0.0123
2026-01-01,Sports & Outdoors,10-20%,2,16,15,20,1.25,3052.00,412.37,2639.63,427.03,0.1398,131.98,21.35,0.1618,5,0.3125
2025-11-01,Beauty,20-30%,3,22,20,25,1.136,1454.53,345.91,1108.62,531.51,0.2401,44.34,21.26,0.4794,0,0.0
2025-10-01,Sports & Outdoors,10-20%,2,16,16,16,1.0,2396.05,385.05,2011.00,152.6,0.1549,125.69,9.54,0.0759,4,0.25
2026-04-01,Apparel,10-20%,2,28,28,42,1.5,2636.18,405.41,2230.77,567.45,0.155,53.11,13.51,0.2544,10,0.3571
2026-02-01,Footwear,20-30%,3,14,14,15,1.071,1550.97,386.56,1164.41,296.24,0.2499,77.63,19.75,0.2544,4,0.2857
2026-04-01,Beauty,20-30%,3,14,14,18,1.286,1019.82,267.89,751.93,350.49,0.2528,41.77,19.47,0.4661,0,0.0
2026-03-01,Beauty,30%+,4,14,14,17,1.214,846.81,326.53,520.28,206.25,0.3792,30.6,12.13,0.3964,0,0.0
2026-03-01,Apparel,30%+,4,24,23,38,1.583,3149.35,1314.92,1834.43,335.77,0.3992,48.27,8.84,0.183,5,0.2083
2026-05-01,Footwear,30%+,4,15,14,17,1.133,1599.65,577.95,1021.70,148.54,0.3591,60.1,8.74,0.1454,5,0.3333
2024-07-01,Home & Kitchen,20-30%,3,17,14,22,1.294,2667.26,660.03,2007.23,95.1,0.2452,91.24,4.32,0.0474,2,0.1176
2024-09-01,Home & Kitchen,1-10%,1,12,11,16,1.333,1171.50,40.60,1130.90,180.6,0.0428,70.68,11.29,0.1597,4,0.3333
2024-01-01,Sports & Outdoors,20-30%,3,1,1,1,1.0,272.93,62.80,210.13,67.34,0.2301,210.13,67.34,0.3205,0,0.0
2024-06-01,Beauty,10-20%,2,6,6,10,1.667,626.83,84.97,541.86,275.11,0.1326,54.19,27.51,0.5077,0,0.0
2025-02-01,Sports & Outdoors,10-20%,2,8,8,11,1.375,2113.93,361.07,1752.86,440.44,0.1644,159.35,40.04,0.2513,1,0.125
2025-12-01,Beauty,20-30%,3,17,16,20,1.176,1038.24,261.40,776.84,356.0,0.2531,38.84,17.8,0.4583,0,0.0
2026-01-01,Electronics,10-20%,2,20,19,23,1.15,6634.63,956.61,5678.02,157.16,0.142,246.87,6.83,0.0277,2,0.1
2026-05-01,Sports & Outdoors,10-20%,2,16,15,18,1.125,3606.15,548.56,3057.59,942.34,0.1443,169.87,52.35,0.3082,1,0.0625
2024-01-01,Home & Kitchen,20-30%,3,8,7,9,1.125,944.80,245.06,699.74,65.47,0.2603,77.75,7.27,0.0936,1,0.125
2026-05-01,Electronics,1-10%,1,11,11,13,1.182,2963.44,178.28,2785.16,200.24,0.0588,214.24,15.4,0.0719,1,0.0909
2024-02-01,Beauty,20-30%,3,7,7,7,1.0,337.83,78.42,259.41,126.65,0.2302,37.06,18.09,0.4882,0,0.0
2024-09-01,Beauty,20-30%,3,6,6,9,1.5,493.31,114.14,379.17,196.58,0.2358,42.13,21.84,0.5184,0,0.0
2026-06-01,Beauty,20-30%,3,10,9,12,1.2,525.44,128.26,397.18,157.53,0.2492,33.1,13.13,0.3966,1,0.1
2025-01-01,Electronics,1-10%,1,9,9,11,1.222,3542.94,207.45,3335.49,359.19,0.0612,303.23,32.65,0.1077,0,0.0
2024-04-01,Beauty,20-30%,3,4,4,5,1.25,289.30,73.77,215.53,92.75,0.2572,43.11,18.55,0.4303,0,0.0
2024-03-01,Footwear,1-10%,1,2,2,3,1.5,138.33,4.79,133.54,43.68,0.0354,44.51,14.56,0.3271,1,0.5
2024-11-01,Footwear,10-20%,2,17,17,20,1.176,1617.73,243.55,1374.18,399.84,0.15,68.71,19.99,0.291,5,0.2941
2024-04-01,Apparel,0%,0,128,108,154,1.203,11366.56,0.00,11366.56,5327.85,0.0,73.81,34.6,0.4687,28,0.2188
2024-12-01,Apparel,0%,0,228,194,282,1.237,19850.33,0.00,19850.33,8358.68,0.0,70.39,29.64,0.4211,52,0.2281
2024-10-01,Electronics,0%,0,114,91,140,1.228,38397.71,0.00,38397.71,4448.47,0.0,274.27,31.77,0.1159,9,0.0789
2025-05-01,Footwear,30%+,4,10,10,15,1.5,1706.86,715.32,991.54,82.13,0.3916,66.1,5.48,0.0828,5,0.5
2024-12-01,Sports & Outdoors,0%,0,94,80,111,1.181,19519.74,0.00,19519.74,6863.37,0.0,175.85,61.83,0.3516,11,0.117
2025-10-01,Electronics,0%,0,147,115,180,1.224,48379.47,0.00,48379.47,4360.8,0.0,268.77,24.23,0.0901,15,0.102
2025-09-01,Apparel,0%,0,213,174,283,1.329,19688.98,0.00,19688.98,7651.98,0.0,69.57,27.04,0.3886,56,0.2629
2026-05-01,Electronics,20-30%,3,21,20,28,1.333,7048.82,1718.83,5329.99,-531.75,0.2479,190.36,-18.99,-0.0998,4,0.1905
2026-05-01,Electronics,0%,0,137,112,169,1.234,47678.79,0.00,47678.79,5418.33,0.0,282.12,32.06,0.1136,12,0.0876
2024-01-01,Sports & Outdoors,30%+,4,18,13,23,1.278,4734.20,2051.24,2682.96,12.73,0.4302,116.65,0.55,0.0047,2,0.1111
2024-03-01,Sports & Outdoors,0%,0,43,38,51,1.186,8223.12,0.00,8223.12,2793.31,0.0,161.24,54.77,0.3397,5,0.1163
2024-06-01,Apparel,30%+,4,26,25,33,1.269,2073.08,821.18,1251.90,273.58,0.4028,37.94,8.29,0.2185,4,0.1538
2024-02-01,Sports & Outdoors,0%,0,33,31,44,1.333,7182.64,0.00,7182.64,2421.4,0.0,163.24,55.03,0.3371,6,0.1818
2024-08-01,Apparel,0%,0,158,123,195,1.234,14852.52,0.00,14852.52,6878.33,0.0,76.17,35.27,0.4631,31,0.1962
2024-10-01,Home & Kitchen,0%,0,161,134,213,1.323,21859.17,0.00,21859.17,6609.23,0.0,102.63,31.03,0.3024,11,0.0683
2024-10-01,Home & Kitchen,20-30%,3,20,20,24,1.2,2368.46,584.94,1783.52,181.39,0.2468,74.31,7.56,0.1017,2,0.1
2024-12-01,Beauty,20-30%,3,19,19,24,1.263,1123.53,281.18,842.35,372.91,0.2498,35.1,15.54,0.4427,1,0.0526
2024-11-01,Beauty,0%,0,81,71,93,1.148,4726.63,0.00,4726.63,2682.6,0.0,50.82,28.85,0.5676,2,0.0247
2025-03-01,Sports & Outdoors,0%,0,67,60,86,1.284,15099.68,0.00,15099.68,5544.18,0.0,175.58,64.47,0.3672,5,0.0746
2025-03-01,Apparel,20-30%,3,23,23,26,1.13,1534.63,386.17,1148.46,434.28,0.2475,44.17,16.7,0.3781,3,0.1304
2025-04-01,Electronics,30%+,4,9,9,13,1.444,3737.79,1465.39,2272.40,-709.6,0.3688,174.8,-54.58,-0.3123,1,0.1111
2024-11-01,Electronics,1-10%,1,9,9,10,1.111,3528.84,210.38,3318.46,302.97,0.0613,331.85,30.3,0.0913,0,0.0
2025-02-01,Home & Kitchen,10-20%,2,12,11,15,1.25,1696.70,249.99,1446.71,146.71,0.145,96.45,9.78,0.1014,2,0.1667
2025-03-01,Sports & Outdoors,10-20%,2,15,15,17,1.133,3415.78,532.62,2883.16,946.73,0.1542,169.6,55.69,0.3284,0,0.0
2025-04-01,Beauty,10-20%,2,13,13,14,1.077,662.45,99.82,562.63,219.14,0.154,40.19,15.65,0.3895,3,0.2308
2025-05-01,Sports & Outdoors,1-10%,1,9,8,11,1.222,2123.14,120.34,2002.80,664.39,0.0522,182.07,60.4,0.3317,1,0.1111
2025-06-01,Footwear,0%,0,100,81,117,1.17,10902.69,0.00,10902.69,4012.32,0.0,93.19,34.29,0.368,23,0.23
2025-06-01,Beauty,30%+,4,24,21,28,1.167,1576.43,670.96,905.47,280.61,0.4228,32.34,10.02,0.3099,0,0.0
2025-06-01,Electronics,1-10%,1,10,10,14,1.4,4121.62,174.76,3946.86,272.77,0.0496,281.92,19.48,0.0691,1,0.1
2025-09-01,Sports & Outdoors,20-30%,3,11,10,12,1.091,2091.40,544.07,1547.33,248.07,0.259,128.94,20.67,0.1603,1,0.0909
2026-03-01,Electronics,20-30%,3,25,25,29,1.16,7759.43,1907.77,5851.66,-948.7,0.2476,201.78,-32.71,-0.1621,0,0.0
2026-04-01,Sports & Outdoors,0%,0,94,80,105,1.117,18599.94,0.00,18599.94,5801.4,0.0,177.14,55.25,0.3119,15,0.1596
2026-03-01,Electronics,30%+,4,18,18,23,1.278,6649.41,2891.43,3757.98,-1809.82,0.4171,163.39,-78.69,-0.4816,0,0.0
2026-05-01,Beauty,0%,0,113,94,136,1.204,7228.32,0.00,7228.32,4179.41,0.0,53.15,30.73,0.5782,4,0.0354
2026-02-01,Electronics,1-10%,1,14,14,14,1.0,2899.13,148.01,2751.12,282.52,0.0522,196.51,20.18,0.1027,1,0.0714
2026-02-01,Footwear,10-20%,2,11,11,11,1.0,1153.15,165.62,987.53,211.23,0.1461,89.78,19.2,0.2139,3,0.2727
2026-03-01,Beauty,1-10%,1,14,14,15,1.071,751.83,26.39,725.44,418.29,0.0375,48.36,27.89,0.5766,1,0.0714
2026-06-01,Apparel,10-20%,2,15,14,18,1.2,1363.37,206.59,1156.78,366.56,0.1554,64.27,20.36,0.3169,4,0.2667
2024-11-01,Apparel,10-20%,2,17,17,22,1.294,1395.97,220.00,1175.97,347.45,0.1614,53.45,15.79,0.2955,5,0.2941
2025-12-01,Footwear,10-20%,2,27,25,35,1.296,3463.40,521.65,2941.75,895.53,0.1533,84.05,25.59,0.3044,8,0.2963
2025-08-01,Apparel,1-10%,1,28,27,36,1.286,2116.81,125.39,1991.42,739.82,0.058,55.32,20.55,0.3715,8,0.2857
2024-02-01,Footwear,10-20%,2,9,9,15,1.667,1286.98,190.91,1096.07,430.63,0.153,73.07,28.71,0.3929,1,0.1111
2024-10-01,Sports & Outdoors,20-30%,3,11,11,12,1.091,2236.25,584.80,1651.45,350.3,0.2581,137.62,29.19,0.2121,0,0.0
2025-07-01,Sports & Outdoors,20-30%,3,11,10,12,1.091,1702.16,405.75,1296.41,55.26,0.2384,108.03,4.6,0.0426,3,0.2727
2025-01-01,Home & Kitchen,1-10%,1,11,11,12,1.091,1298.61,74.24,1224.37,323.5,0.0513,102.03,26.96,0.2642,1,0.0909
2025-03-01,Beauty,10-20%,2,12,12,19,1.583,872.31,120.45,751.86,399.4,0.1468,39.57,21.02,0.5312,0,0.0
2024-10-01,Apparel,1-10%,1,19,19,21,1.105,1387.09,70.79,1316.30,567.69,0.0471,62.68,27.03,0.4313,4,0.2105
2024-12-01,Home & Kitchen,30%+,4,27,26,34,1.259,3230.80,1268.72,1962.08,-124.43,0.3944,57.71,-3.66,-0.0634,5,0.1852
2025-03-01,Footwear,30%+,4,12,12,15,1.25,1083.81,383.48,700.33,144.54,0.353,46.69,9.64,0.2064,2,0.1667
2025-05-01,Beauty,1-10%,1,7,6,9,1.286,505.98,16.07,489.91,286.7,0.0347,54.43,31.86,0.5852,0,0.0
2025-06-01,Sports & Outdoors,30%+,4,18,17,22,1.222,4525.00,1851.35,2673.65,90.84,0.4265,121.53,4.13,0.034,3,0.1667
2026-06-01,Sports & Outdoors,30%+,4,8,7,9,1.125,1425.74,661.85,763.89,-22.74,0.4504,84.88,-2.53,-0.0298,0,0.0
2024-09-01,Sports & Outdoors,20-30%,3,10,10,14,1.4,1893.36,450.65,1442.71,203.21,0.2378,103.05,14.52,0.1409,1,0.1
2024-03-01,Home & Kitchen,20-30%,3,8,8,8,1.0,964.86,224.94,739.92,111.37,0.2341,92.49,13.92,0.1505,0,0.0
2024-06-01,Beauty,1-10%,1,4,4,4,1.0,177.81,8.55,169.26,106.8,0.0494,42.32,26.7,0.631,0,0.0
2025-08-01,Apparel,30%+,4,10,10,15,1.5,1135.19,467.99,667.20,128.24,0.3994,44.48,8.55,0.1922,1,0.1
2024-03-01,Electronics,10-20%,2,6,6,7,1.167,2118.33,359.34,1758.99,-65.1,0.167,251.28,-9.3,-0.037,0,0.0
2024-03-01,Home & Kitchen,1-10%,1,4,4,4,1.0,401.73,7.45,394.28,145.74,0.0307,98.57,36.43,0.3696,0,0.0
2024-01-01,Home & Kitchen,30%+,4,10,10,13,1.3,1346.27,487.50,858.77,-34.21,0.4068,66.06,-2.63,-0.0398,1,0.1
2024-02-01,Electronics,1-10%,1,5,5,5,1.0,1578.98,94.97,1484.01,146.92,0.0592,296.8,29.38,0.099,1,0.2
2025-10-01,Beauty,1-10%,1,9,9,9,1.0,470.33,24.58,445.75,249.26,0.0541,49.53,27.7,0.5592,1,0.1111
2024-05-01,Sports & Outdoors,0%,0,55,46,64,1.164,12360.16,0.00,12360.16,4316.58,0.0,193.13,67.45,0.3492,7,0.1273
2024-07-01,Home & Kitchen,0%,0,97,81,125,1.289,12418.13,0.00,12418.13,3729.24,0.0,99.35,29.83,0.3003,9,0.0928
2024-11-01,Footwear,30%+,4,20,18,21,1.05,2009.69,867.28,1142.41,134.5,0.4316,54.4,6.4,0.1177,3,0.15
2024-10-01,Apparel,10-20%,2,35,33,38,1.086,2530.93,380.51,2150.42,830.25,0.1494,56.59,21.85,0.3861,8,0.2286
2024-12-01,Footwear,0%,0,114,94,146,1.281,12931.44,0.00,12931.44,4560.18,0.0,88.57,31.23,0.3526,25,0.2193
2025-05-01,Apparel,0%,0,210,160,267,1.271,19660.20,0.00,19660.20,8551.13,0.0,73.63,32.03,0.4349,42,0.2
2025-07-01,Home & Kitchen,0%,0,136,120,170,1.25,17690.87,0.00,17690.87,5205.97,0.0,104.06,30.62,0.2943,13,0.0956
2025-06-01,Apparel,30%+,4,54,51,70,1.296,5089.34,2115.19,2974.15,595.88,0.4146,42.49,8.51,0.2004,16,0.2963
2025-10-01,Footwear,30%+,4,23,22,32,1.391,2750.64,1047.59,1703.05,200.88,0.3812,53.22,6.28,0.118,8,0.3478
2025-12-01,Home & Kitchen,0%,0,145,129,176,1.214,17895.93,0.00,17895.93,5542.08,0.0,101.68,31.49,0.3097,14,0.0966
2026-05-01,Apparel,30%+,4,24,24,29,1.208,2039.40,724.23,1315.17,259.26,0.3579,45.35,8.94,0.1971,5,0.2083
2024-01-01,Beauty,30%+,4,7,7,9,1.286,527.01,196.33,330.68,112.42,0.387,36.74,12.49,0.34,0,0.0
2024-01-01,Electronics,0%,0,34,29,42,1.235,12260.90,0.00,12260.90,1897.89,0.0,291.93,45.19,0.1548,1,0.0294
2024-08-01,Apparel,20-30%,3,19,19,26,1.368,2137.03,515.43,1621.60,471.94,0.2441,62.37,18.15,0.291,4,0.2105
2024-06-01,Sports & Outdoors,10-20%,2,7,7,9,1.286,1325.45,183.97,1141.48,336.87,0.1421,126.83,37.43,0.2951,1,0.1429
2024-09-01,Footwear,1-10%,1,12,11,15,1.25,1648.96,86.33,1562.63,557.82,0.0566,104.18,37.19,0.357,3,0.25
2024-10-01,Electronics,20-30%,3,13,13,16,1.231,6415.82,1602.90,4812.92,-625.64,0.2464,300.81,-39.1,-0.13,0,0.0
2024-10-01,Sports & Outdoors,30%+,4,7,6,10,1.429,1858.32,736.56,1121.76,22.68,0.3901,112.18,2.27,0.0202,1,0.1429
2024-10-01,Sports & Outdoors,10-20%,2,7,7,9,1.286,1560.73,222.66,1338.07,404.26,0.1447,148.67,44.92,0.3021,0,0.0
2025-06-01,Footwear,10-20%,2,21,20,26,1.238,2052.31,354.61,1697.70,370.38,0.1695,65.3,14.25,0.2182,6,0.2857
2025-04-01,Footwear,10-20%,2,20,20,24,1.2,1817.10,293.69,1523.41,446.82,0.1563,63.48,18.62,0.2933,4,0.2
2024-12-01,Beauty,10-20%,2,18,18,21,1.167,1030.10,159.57,870.53,474.88,0.1519,41.45,22.61,0.5455,0,0.0
2025-04-01,Beauty,0%,0,88,75,98,1.114,4812.74,0.00,4812.74,2798.28,0.0,49.11,28.55,0.5814,3,0.0341
2025-03-01,Home & Kitchen,1-10%,1,14,14,20,1.429,2022.20,110.45,1911.75,586.23,0.0605,95.59,29.31,0.3066,2,0.1429
2025-11-01,Beauty,30%+,4,37,35,49,1.324,2587.21,1012.49,1574.72,554.22,0.4079,32.14,11.31,0.3519,1,0.027
2026-01-01,Footwear,0%,0,98,88,123,1.255,11166.24,0.00,11166.24,3987.85,0.0,90.78,32.42,0.3571,25,0.2551
2025-12-01,Electronics,10-20%,2,29,27,31,1.069,10069.91,1532.11,8537.80,-50.06,0.1509,275.41,-1.61,-0.0059,2,0.069
2026-04-01,Beauty,0%,0,98,88,120,1.224,6477.44,0.00,6477.44,3663.03,0.0,53.98,30.53,0.5655,4,0.0408
2026-02-01,Home & Kitchen,30%+,4,14,14,18,1.286,1910.95,824.18,1086.77,-238.23,0.4326,60.38,-13.24,-0.2192,2,0.1429
2026-05-01,Beauty,20-30%,3,23,22,26,1.13,1270.91,316.88,954.03,435.71,0.2483,36.69,16.76,0.4567,0,0.0
2024-05-01,Home & Kitchen,10-20%,2,15,14,17,1.133,1537.95,249.98,1287.97,222.83,0.1512,75.76,13.11,0.173,2,0.1333
2024-03-01,Apparel,20-30%,3,16,16,18,1.125,982.85,230.02,752.83,229.46,0.2359,41.82,12.75,0.3048,4,0.25
2024-06-01,Beauty,20-30%,3,11,11,15,1.364,831.34,217.35,613.99,261.87,0.2543,40.93,17.46,0.4265,1,0.0909
2025-01-01,Sports & Outdoors,20-30%,3,8,8,8,1.0,1195.08,300.77,894.31,201.83,0.2483,111.79,25.23,0.2257,1,0.125
2024-10-01,Electronics,10-20%,2,20,19,28,1.4,7927.90,1289.50,6638.40,-584.1,0.1615,237.09,-20.86,-0.088,1,0.05
2025-04-01,Electronics,10-20%,2,21,21,28,1.333,7698.61,1152.67,6545.94,64.75,0.1553,233.78,2.31,0.0099,1,0.0476
2025-06-01,Sports & Outdoors,10-20%,2,11,11,15,1.364,2974.82,457.17,2517.65,732.51,0.1677,167.84,48.83,0.2909,0,0.0
2025-09-01,Footwear,1-10%,1,11,11,16,1.455,1614.75,69.08,1545.67,611.16,0.0531,96.6,38.2,0.3954,3,0.2727
2025-12-01,Home & Kitchen,30%+,4,46,45,51,1.109,4987.04,2123.55,2863.49,-440.65,0.4211,56.15,-8.64,-0.1539,4,0.087
2025-08-01,Home & Kitchen,30%+,4,11,11,12,1.091,1271.93,509.27,762.66,-67.76,0.3916,63.56,-5.65,-0.0888,0,0.0
2026-06-01,Sports & Outdoors,10-20%,2,5,5,5,1.0,980.19,156.45,823.74,212.59,0.16,164.75,42.52,0.2581,2,0.4
2026-04-01,Footwear,30%+,4,22,22,27,1.227,2625.79,1064.64,1561.15,257.9,0.3965,57.82,9.55,0.1652,8,0.3636
2024-01-01,Electronics,10-20%,2,9,8,10,1.111,2987.42,448.06,2539.36,53.6,0.1558,253.94,5.36,0.0211,0,0.0
2025-12-01,Sports & Outdoors,1-10%,1,15,15,21,1.4,4062.02,198.72,3863.30,1483.8,0.0542,183.97,70.66,0.3841,0,0.0
2024-08-01,Beauty,1-10%,1,8,7,10,1.25,579.52,35.38,544.14,325.19,0.0623,54.41,32.52,0.5976,0,0.0
2025-06-01,Beauty,1-10%,1,13,13,16,1.231,899.65,32.96,866.69,500.94,0.0437,54.17,31.31,0.578,0,0.0
2024-02-01,Sports & Outdoors,1-10%,1,2,2,3,1.5,551.01,18.21,532.80,222.68,0.0384,177.6,74.23,0.4179,0,0.0
2024-06-01,Apparel,1-10%,1,20,18,24,1.2,1344.04,57.56,1286.48,553.36,0.0446,53.6,23.06,0.4301,5,0.25
2024-04-01,Apparel,10-20%,2,24,20,31,1.292,2080.25,318.12,1762.13,611.04,0.1456,56.84,19.71,0.3468,7,0.2917
2025-04-01,Apparel,0%,0,200,164,261,1.305,20259.03,0.00,20259.03,6899.77,0.0,77.62,26.44,0.3406,59,0.295
2024-07-01,Home & Kitchen,1-10%,1,15,15,19,1.267,2430.07,141.39,2288.68,705.26,0.0532,120.46,37.12,0.3082,1,0.0667
2025-05-01,Sports & Outdoors,0%,0,76,66,89,1.171,14816.79,0.00,14816.79,4677.38,0.0,166.48,52.55,0.3157,12,0.1579
2025-05-01,Footwear,10-20%,2,18,18,23,1.278,2157.29,316.17,1841.12,621.37,0.1501,80.05,27.02,0.3375,4,0.2222
2025-05-01,Electronics,0%,0,106,98,128,1.208,35798.54,0.00,35798.54,4128.17,0.0,279.68,32.25,0.1153,9,0.0849
2025-07-01,Apparel,10-20%,2,37,35,52,1.405,3729.72,567.16,3162.56,1229.96,0.1497,60.82,23.65,0.3889,6,0.1622
2025-12-01,Apparel,0%,0,275,214,338,1.229,23607.42,0.00,23607.42,9115.1,0.0,69.84,26.97,0.3861,71,0.2582
2026-01-01,Footwear,10-20%,2,16,15,22,1.375,2050.47,278.57,1771.90,606.42,0.1419,80.54,27.56,0.3422,5,0.3125
2026-04-01,Electronics,0%,0,125,111,155,1.24,44177.33,0.00,44177.33,3713.74,0.0,285.02,23.96,0.0841,11,0.088
2024-02-01,Footwear,30%+,4,4,4,8,2.0,707.75,311.44,396.31,42.21,0.4562,49.54,5.28,0.1065,1,0.25
2024-11-01,Beauty,1-10%,1,9,9,11,1.222,645.62,38.03,607.59,338.88,0.059,55.24,30.81,0.5577,0,0.0
2024-04-01,Home & Kitchen,10-20%,2,14,14,21,1.5,2872.73,441.20,2431.53,491.26,0.1445,115.79,23.39,0.202,0,0.0
2025-02-01,Home & Kitchen,20-30%,3,16,16,20,1.25,2071.43,499.07,1572.36,118.45,0.2423,78.62,5.92,0.0753,2,0.125
2025-11-01,Sports & Outdoors,1-10%,1,12,12,17,1.417,2504.03,140.56,2363.47,781.85,0.0505,139.03,45.99,0.3308,2,0.1667
2025-04-01,Home & Kitchen,1-10%,1,19,19,23,1.211,2245.79,94.82,2150.97,512.49,0.0517,93.52,22.28,0.2383,3,0.1579
2025-06-01,Electronics,30%+,4,27,26,33,1.222,9471.83,3934.54,5537.29,-2384.99,0.4151,167.8,-72.27,-0.4307,2,0.0741
2025-10-01,Electronics,20-30%,3,25,23,34,1.36,9342.18,2403.98,6938.20,-976.02,0.2546,204.06,-28.71,-0.1407,1,0.04
2025-09-01,Home & Kitchen,30%+,4,20,19,23,1.15,2409.15,973.35,1435.80,-143.96,0.3973,62.43,-6.26,-0.1003,2,0.1
2025-10-01,Home & Kitchen,20-30%,3,21,21,26,1.238,2797.26,679.75,2117.51,302.98,0.2467,81.44,11.65,0.1431,0,0.0
2026-03-01,Home & Kitchen,20-30%,3,20,20,24,1.2,2439.97,555.90,1884.07,298.21,0.2412,78.5,12.43,0.1583,1,0.05
2025-11-01,Electronics,20-30%,3,25,25,28,1.12,7757.54,1821.44,5936.10,-633.67,0.2417,212.0,-22.63,-0.1067,3,0.12
2025-12-01,Electronics,20-30%,3,18,17,23,1.278,6512.78,1597.72,4915.06,-854.99,0.2463,213.7,-37.17,-0.174,2,0.1111
2026-05-01,Apparel,1-10%,1,22,22,27,1.227,1949.25,96.34,1852.91,820.22,0.0471,68.63,30.38,0.4427,5,0.2273
2026-02-01,Beauty,10-20%,2,12,12,17,1.417,1011.87,150.11,861.76,432.33,0.1531,50.69,25.43,0.5017,1,0.0833
2026-04-01,Beauty,30%+,4,13,13,18,1.385,866.12,347.14,518.98,178.55,0.3913,28.83,9.92,0.344,1,0.0769
2026-03-01,Apparel,10-20%,2,28,28,32,1.143,2231.44,329.40,1902.04,607.19,0.1472,59.44,18.97,0.3192,10,0.3571
2024-02-01,Sports & Outdoors,20-30%,3,6,6,6,1.0,1230.88,327.56,903.32,209.62,0.2655,150.55,34.94,0.2321,0,0.0
2024-05-01,Apparel,20-30%,3,16,16,23,1.438,2121.37,522.48,1598.89,394.16,0.2483,69.52,17.14,0.2465,6,0.375
2024-09-01,Footwear,20-30%,3,10,10,12,1.2,1143.78,290.04,853.74,219.25,0.2537,71.15,18.27,0.2568,3,0.3
