month,segment,starting_mrr,ending_mrr,new_mrr,expansion_mrr,reactivation_mrr,contraction_mrr,churned_mrr,retention_base_mrr,retention_base_ending_mrr,active_customers,starting_customers,new_customers,churned_customers,reactivated_customers,expanded_customers,contracted_customers
2025-08-01,Mid-Market,646257.37,669945.78,24845.91,9075.25,3086.33,7033.42,6285.66,646257.37,642013.54,170,165,6,2,1,17,5
2023-09-01,Enterprise,385902.63,380723.83,12597.3,1922.8,0.0,19698.9,0.0,385902.63,368126.53,23,20,3,0,0,1,2
2025-01-01,Enterprise,1630694.49,1703183.06,80883.89,12556.6,0.0,12942.82,8009.1,1630694.49,1622299.17,77,74,4,1,0,5,4
2025-08-01,Enterprise,2455883.22,2464757.79,31215.68,41986.94,0.0,59816.05,4512.0,2455883.22,2433542.11,103,101,3,1,0,10,7
2025-05-01,SMB,160780.7,164720.04,11327.05,2105.26,887.0,1284.07,9095.9,160780.7,152505.99,277,262,23,10,2,15,8
2023-03-01,Mid-Market,49692.45,64042.19,14349.74,0.0,0.0,0.0,0.0,49692.45,49692.45,13,9,4,0,0,0,0
2023-03-01,Enterprise,88824.23,166705.11,60414.2,17466.68,0.0,0.0,0.0,88824.23,106290.91,5,3,2,0,0,1,0
2023-07-01,SMB,40894.0,41363.16,1841.2,176.54,0.0,70.5,1478.08,40894.0,39521.96,58,56,4,2,0,2,1
2024-02-01,SMB,67863.47,77936.49,12515.94,1252.77,0.0,652.67,3043.02,67863.47,65420.55,121,109,17,5,0,10,6
2024-05-01,Mid-Market,286255.61,290351.27,21021.98,3900.45,0.0,5753.43,15073.34,286255.61,269329.29,84,80,8,4,0,9,5
2024-09-01,Mid-Market,343702.71,344356.02,23604.06,5062.26,0.0,9603.77,18409.24,343702.71,320751.96,99,96,9,6,0,7,4
2025-07-01,Mid-Market,582103.33,646257.37,63897.73,9521.04,0.0,7438.18,1826.55,582103.33,582359.64,165,153,13,1,0,14,5
2026-04-01,Mid-Market,945369.57,973682.7,56317.24,24311.67,0.0,13417.6,38898.18,945369.57,917365.46,251,245,11,5,0,26,13
2026-01-01,SMB,209636.61,222160.48,19739.55,2603.18,99.7,750.69,9167.87,209636.61,202321.23,378,362,33,18,1,22,6
2024-05-01,Enterprise,773461.83,815437.72,53538.57,26075.86,0.0,29372.64,8265.9,773461.83,761899.15,42,40,3,1,0,5,3
2024-09-01,Enterprise,1302818.95,1357693.39,55549.26,26196.38,0.0,26871.2,0.0,1302818.95,1302144.13,60,55,5,0,0,8,3
2025-07-01,Enterprise,2346696.21,2455883.22,26533.13,85401.8,0.0,2747.92,0.0,2346696.21,2429350.09,101,98,3,0,0,9,2
2026-04-01,Enterprise,3699827.91,3904064.9,137365.18,155358.94,0.0,39080.41,49406.72,3699827.91,3766699.72,138,135,4,1,0,17,4
2023-10-01,SMB,52224.97,54832.51,5121.79,301.52,0.0,50.0,2765.77,52224.97,49710.72,81,73,14,6,0,3,2
2025-10-01,SMB,188428.93,196294.95,14726.18,2820.16,0.0,2510.36,7169.96,188428.93,181568.77,328,320,25,17,0,17,10
2026-08-01,SMB,268165.97,273708.38,12700.11,4726.32,0.0,2455.07,9428.95,268165.97,261008.27,468,460,27,19,0,31,16
2024-06-01,Mid-Market,290351.27,331826.58,38137.01,6638.01,0.0,1143.31,2156.4,290351.27,293689.57,92,84,10,2,0,6,2
2025-04-01,Mid-Market,502496.22,512444.25,13680.64,4269.72,0.0,4907.68,3094.65,502496.22,498763.61,141,137,5,1,0,10,5
2024-06-01,Enterprise,815437.72,1017271.27,155757.01,46076.54,0.0,0.0,0.0,815437.72,861514.26,47,42,5,0,0,8,0
2025-04-01,Enterprise,1955576.26,2110797.26,123637.1,41031.34,0.0,1479.06,7968.38,1955576.26,1987160.16,93,89,5,1,0,9,1
2025-03-01,SMB,140489.49,143682.43,14439.23,3050.54,0.0,802.31,13494.52,140489.49,129243.2,244,235,29,20,0,18,6
2025-06-01,SMB,164720.04,174850.24,11397.65,3051.74,0.0,1156.7,3162.49,164720.04,163452.59,293,277,25,9,0,12,7
2023-06-01,Mid-Market,88152.61,111401.47,26435.19,1415.37,0.0,814.5,3787.2,88152.61,84966.28,26,21,6,1,0,3,1
2023-06-01,Enterprise,246619.76,278174.53,31665.92,3650.85,0.0,3762.0,0.0,246619.76,246508.61,14,13,1,0,0,1,1
2025-12-01,SMB,200219.94,209636.61,16186.86,1812.04,50.0,1964.08,6668.15,200219.94,193399.75,362,344,33,16,1,17,8
2026-07-01,SMB,252779.11,268165.97,11488.08,10948.31,998.42,2192.88,5855.07,252779.11,255679.47,460,454,27,24,3,29,18
2023-02-01,Mid-Market,17441.25,49692.45,32251.2,0.0,0.0,0.0,0.0,17441.25,17441.25,9,2,7,0,0,0,0
2026-02-01,Mid-Market,816203.41,853699.49,35144.99,20490.82,0.0,7840.01,10299.72,816203.41,818554.5,225,214,15,4,0,21,7
2026-06-01,Mid-Market,1057326.99,1114950.61,72674.13,28685.97,0.0,12473.1,31263.38,1057326.99,1042276.48,275,259,20,4,0,29,11
2026-02-01,Enterprise,3585423.08,3563221.44,112475.51,56519.33,0.0,34672.24,156524.24,3585423.08,3450745.93,132,129,5,2,0,14,3
2026-06-01,Enterprise,4323164.44,4556963.84,244908.32,57755.55,0.0,41774.55,27089.92,4323164.44,4312055.52,155,147,9,1,0,13,7
2023-02-01,Enterprise,41689.34,88824.23,47134.89,0.0,0.0,0.0,0.0,41689.34,41689.34,3,1,2,0,0,0,0
2023-08-01,SMB,41363.16,44916.1,5048.76,25.0,0.0,0.0,1520.82,41363.16,39867.34,64,58,7,1,0,1,0
2024-01-01,SMB,63711.27,67863.47,8106.12,913.09,0.0,2374.01,2493.0,63711.27,59757.35,109,98,18,7,0,6,5
2026-05-01,SMB,250768.71,262903.54,12895.24,10188.34,0.0,2853.9,8094.85,250768.71,250008.3,447,441,30,24,0,26,17
2023-01-01,SMB,0.0,11046.74,11046.74,0.0,0.0,0.0,0.0,0.0,0.0,12,0,12,0,0,0,0
2023-11-01,SMB,54832.51,60671.22,9647.18,1358.2,1080.0,48.25,6198.42,54832.51,49944.04,89,81,17,10,1,7,1
2024-10-01,SMB,114582.78,115223.06,7816.44,2191.06,524.34,1128.25,8763.31,114582.78,106882.28,198,196,18,17,1,18,3
2025-02-01,SMB,132301.34,140489.49,9580.56,6510.14,957.38,308.8,8551.13,132301.34,129951.55,235,224,20,10,1,15,6
2024-04-01,Mid-Market,279293.12,286255.61,9946.57,8970.5,0.0,2671.38,9283.2,279293.12,276309.04,80,73,8,1,0,10,3
2024-11-01,Mid-Market,363524.98,381195.91,24715.73,8618.91,0.0,1425.33,14238.38,363524.98,356480.18,106,101,6,1,0,8,3
2026-03-01,Mid-Market,853699.49,945369.57,67696.15,35611.26,0.0,6928.44,4708.89,853699.49,877673.42,245,225,22,2,0,25,11
2024-04-01,Enterprise,677194.24,773461.83,78702.84,24764.75,0.0,748.8,6451.2,677194.24,694758.99,40,37,4,1,0,4,1
2024-11-01,Enterprise,1481684.87,1608098.48,133310.03,16224.26,0.0,23120.68,0.0,1481684.87,1474788.45,70,64,6,0,0,7,3
2026-03-01,Enterprise,3563221.44,3699827.91,76880.07,116734.64,0.0,35482.64,21525.6,3563221.44,3622947.84,135,132,6,3,0,17,5
2023-08-01,Mid-Market,147133.24,163735.91,11993.7,5841.9,0.0,1232.93,0.0,147133.24,151742.21,38,33,5,0,0,3,1
2024-01-01,Mid-Market,232107.55,240681.19,14360.69,806.85,0.0,5092.87,1501.03,232107.55,226320.5,68,62,8,2,0,3,3
2026-05-01,Mid-Market,973682.7,1057326.99,64649.33,43543.12,0.0,1736.1,22812.06,973682.7,992677.66,259,251,14,6,0,17,2
2023-08-01,Enterprise,367789.9,385902.63,16842.53,3172.05,0.0,1901.85,0.0,367789.9,369060.1,20,18,2,0,0,1,1
2024-01-01,Enterprise,609788.51,608149.11,5036.02,6393.13,0.0,13068.55,0.0,609788.51,603113.09,30,29,1,0,0,3,2
2026-05-01,Enterprise,3904064.9,4323164.44,198430.5,134595.45,116818.24,30744.65,0.0,3904064.9,4007915.7,147,138,8,0,1,20,8
2024-05-01,SMB,86109.16,91987.01,7623.89,1434.7,0.0,991.36,2189.38,86109.16,84363.12,151,142,14,5,0,5,5
2024-09-01,SMB,112139.38,114582.78,8958.97,2203.27,99.7,912.36,7906.18,112139.38,105524.11,196,180,23,8,1,13,5
2025-07-01,SMB,174850.24,173811.33,5518.36,4077.64,93.1,1542.58,9185.43,174850.24,168199.87,294,293,15,15,1,24,8
2026-04-01,SMB,241610.46,250768.71,16488.05,6110.53,2536.2,825.26,15151.27,241610.46,231744.46,441,422,35,18,2,19,5
2023-07-01,Mid-Market,111401.47,147133.24,39894.95,3588.97,0.0,0.0,7752.15,111401.47,107238.29,33,26,8,1,0,2,0
2024-02-01,Mid-Market,240681.19,258603.83,23436.41,5448.61,0.0,2266.88,8695.5,240681.19,235167.42,69,68,5,4,0,7,1
2026-01-01,Mid-Market,757780.8,816203.41,53906.01,19640.32,0.0,8796.03,6327.69,757780.8,762297.4,214,205,15,6,0,21,7
2023-07-01,Enterprise,278174.53,367789.9,87883.97,1731.4,0.0,0.0,0.0,278174.53,279905.93,18,14,4,0,0,1,0
2024-02-01,Enterprise,608149.11,621305.37,5914.95,8495.31,0.0,1254.0,0.0,608149.11,615390.42,31,30,1,0,0,3,1
2026-01-01,Enterprise,3415138.24,3585423.08,116017.09,143791.0,0.0,89523.25,0.0,3415138.24,3469405.99,129,123,6,0,0,17,4
2024-06-01,SMB,91987.01,96065.48,8884.81,2851.6,630.0,459.37,7828.57,91987.01,86550.67,158,151,16,10,1,12,6
2025-04-01,SMB,143682.43,160780.7,19737.09,1460.63,0.0,346.41,3753.04,143682.43,141043.61,262,244,27,9,0,15,4
2023-10-01,Mid-Market,158091.15,171966.85,10381.55,4845.72,0.0,1351.57,0.0,158091.15,161585.3,46,39,7,0,0,3,2
2025-10-01,Mid-Market,670121.94,694020.95,38213.74,16419.84,0.0,6659.73,24074.84,670121.94,655807.21,184,177,13,6,0,18,3
2026-08-01,Mid-Market,1186997.69,1214203.27,30637.74,14040.49,0.0,16018.92,1453.73,1186997.69,1183565.53,304,292,14,2,0,17,16
2023-10-01,Enterprise,380723.83,532622.14,136765.94,17901.07,0.0,0.0,2768.7,380723.83,395856.2,26,23,4,1,0,3,0
2025-10-01,Enterprise,2730666.42,2886379.42,125765.59,107058.89,0.0,28944.09,48167.39,2730666.42,2760613.83,114,111,6,3,0,8,4
2026-08-01,Enterprise,4680887.59,4875574.39,200057.05,92735.85,0.0,39432.1,58674.0,4680887.59,4675517.34,166,157,10,1,0,13,6
