invoice_id,customer_id,company_name,segment,region,subscription_id,plan_name,invoice_date,invoice_month,period_start,period_end,billing_period,amount,status,paid_date,payment_method,attempts,collected_amount,at_risk_amount,days_to_pay,is_failed,is_dunning_recovered
INV-000015,CUS-00004,Ridge Stone Networks,SMB,North America,SUB-00004-01,Starter,2023-05-01,2023-05-01,2023-05-01,2023-06-01,monthly,124.12,paid,2023-05-04,ACH / bank transfer,1,124.12,0.00,3,0,0
INV-000016,CUS-00004,Ridge Stone Networks,SMB,North America,SUB-00004-01,Starter,2023-06-01,2023-06-01,2023-06-01,2023-07-01,monthly,124.12,paid,2023-06-03,Credit card,1,124.12,0.00,2,0,0
INV-000017,CUS-00004,Ridge Stone Networks,SMB,North America,SUB-00004-01,Starter,2023-07-01,2023-07-01,2023-07-01,2023-08-01,monthly,124.12,paid,2023-07-02,Credit card,1,124.12,0.00,1,0,0
INV-000018,CUS-00004,Ridge Stone Networks,SMB,North America,SUB-00004-01,Starter,2023-08-01,2023-08-01,2023-08-01,2023-09-01,monthly,124.12,paid,2023-08-02,Credit card,1,124.12,0.00,1,0,0
INV-000019,CUS-00004,Ridge Stone Networks,SMB,North America,SUB-00004-01,Starter,2023-09-01,2023-09-01,2023-09-01,2023-10-01,monthly,124.12,paid,2023-09-03,Credit card,1,124.12,0.00,2,0,0
INV-000020,CUS-00004,Ridge Stone Networks,SMB,North America,SUB-00004-01,Starter,2023-10-01,2023-10-01,2023-10-01,2023-11-01,monthly,124.12,paid,2023-10-02,ACH / bank transfer,1,124.12,0.00,1,0,0
INV-000021,CUS-00004,Ridge Stone Networks,SMB,North America,SUB-00004-01,Starter,2023-11-01,2023-11-01,2023-11-01,2023-12-01,monthly,124.12,paid,2023-11-01,Credit card,1,124.12,0.00,0,0,0
INV-000022,CUS-00004,Ridge Stone Networks,SMB,North America,SUB-00004-01,Starter,2023-12-01,2023-12-01,2023-12-01,2024-01-01,monthly,124.12,paid,2023-12-04,ACH / bank transfer,1,124.12,0.00,3,0,0
INV-000023,CUS-00004,Ridge Stone Networks,SMB,North America,SUB-00004-01,Starter,2024-01-01,2024-01-01,2024-01-01,2024-02-01,monthly,124.12,paid,2024-01-04,Credit card,1,124.12,0.00,3,0,0
INV-000024,CUS-00004,Ridge Stone Networks,SMB,North America,SUB-00004-01,Starter,2024-02-01,2024-02-01,2024-02-01,2024-03-01,monthly,124.12,paid,2024-02-02,Credit card,1,124.12,0.00,1,0,0
INV-000025,CUS-00005,Lyra Watch Retail,SMB,North America,SUB-00005-00,Starter,2023-01-01,2023-01-01,2023-01-01,2023-02-01,monthly,49.80,paid,2023-01-03,Credit card,1,49.80,0.00,2,0,0
INV-000026,CUS-00006,Nimbus Stone Financial,SMB,EMEA,SUB-00006-00,Growth,2023-01-01,2023-01-01,2023-01-01,2023-02-01,monthly,630.00,paid,2023-01-03,ACH / bank transfer,1,630.00,0.00,2,0,0
INV-000027,CUS-00006,Nimbus Stone Financial,SMB,EMEA,SUB-00006-00,Growth,2023-02-01,2023-02-01,2023-02-01,2023-03-01,monthly,630.00,paid,2023-02-01,Credit card,1,630.00,0.00,0,0,0
INV-000028,CUS-00006,Nimbus Stone Financial,SMB,EMEA,SUB-00006-00,Growth,2023-03-01,2023-03-01,2023-03-01,2023-04-01,monthly,630.00,paid,2023-03-01,Credit card,1,630.00,0.00,0,0,0
INV-000029,CUS-00006,Nimbus Stone Financial,SMB,EMEA,SUB-00006-00,Growth,2023-04-01,2023-04-01,2023-04-01,2023-05-01,monthly,630.00,paid,2023-04-04,Credit card,1,630.00,0.00,3,0,0
INV-000030,CUS-00006,Nimbus Stone Financial,SMB,EMEA,SUB-00006-00,Growth,2023-05-01,2023-05-01,2023-05-01,2023-06-01,monthly,630.00,paid,2023-05-02,Invoice / wire,1,630.00,0.00,1,0,0
INV-000031,CUS-00006,Nimbus Stone Financial,SMB,EMEA,SUB-00006-00,Growth,2023-06-01,2023-06-01,2023-06-01,2023-07-01,monthly,630.00,paid,2023-06-04,Credit card,1,630.00,0.00,3,0,0
INV-000032,CUS-00006,Nimbus Stone Financial,SMB,EMEA,SUB-00006-00,Growth,2023-07-01,2023-07-01,2023-07-01,2023-08-01,monthly,630.00,paid,2023-07-02,ACH / bank transfer,1,630.00,0.00,1,0,0
INV-000033,CUS-00006,Nimbus Stone Financial,SMB,EMEA,SUB-00006-00,Growth,2023-08-01,2023-08-01,2023-08-01,2023-09-01,monthly,630.00,paid,2023-08-02,ACH / bank transfer,1,630.00,0.00,1,0,0
INV-000034,CUS-00006,Nimbus Stone Financial,SMB,EMEA,SUB-00006-00,Growth,2023-09-01,2023-09-01,2023-09-01,2023-10-01,monthly,630.00,paid,2023-09-04,Credit card,1,630.00,0.00,3,0,0
INV-000035,CUS-00006,Nimbus Stone Financial,SMB,EMEA,SUB-00006-00,Growth,2023-10-01,2023-10-01,2023-10-01,2023-11-01,monthly,630.00,paid,2023-10-03,Credit card,1,630.00,0.00,2,0,0
INV-000036,CUS-00006,Nimbus Stone Financial,SMB,EMEA,SUB-00006-00,Growth,2023-11-01,2023-11-01,2023-11-01,2023-12-01,monthly,630.00,paid,2023-11-04,Invoice / wire,1,630.00,0.00,3,0,0
INV-000037,CUS-00006,Nimbus Stone Financial,SMB,EMEA,SUB-00006-00,Growth,2023-12-01,2023-12-01,2023-12-01,2024-01-01,monthly,630.00,paid,2023-12-02,Credit card,1,630.00,0.00,1,0,0
INV-000038,CUS-00006,Nimbus Stone Financial,SMB,EMEA,SUB-00006-01,Starter,2024-01-01,2024-01-01,2024-01-01,2024-02-01,monthly,200.00,paid,2024-01-04,ACH / bank transfer,1,200.00,0.00,3,0,0
INV-000039,CUS-00006,Nimbus Stone Financial,SMB,EMEA,SUB-00006-01,Starter,2024-02-01,2024-02-01,2024-02-01,2024-03-01,monthly,200.00,paid,2024-02-03,Credit card,1,200.00,0.00,2,0,0
INV-000040,CUS-00006,Nimbus Stone Financial,SMB,EMEA,SUB-00006-01,Starter,2024-03-01,2024-03-01,2024-03-01,2024-04-01,monthly,200.00,paid,2024-03-02,ACH / bank transfer,1,200.00,0.00,1,0,0
INV-000041,CUS-00006,Nimbus Stone Financial,SMB,EMEA,SUB-00006-01,Starter,2024-04-01,2024-04-01,2024-04-01,2024-05-01,monthly,200.00,paid,2024-04-02,Credit card,1,200.00,0.00,1,0,0
INV-000042,CUS-00006,Nimbus Stone Financial,SMB,EMEA,SUB-00006-01,Starter,2024-05-01,2024-05-01,2024-05-01,2024-06-01,monthly,200.00,paid,2024-05-04,Credit card,1,200.00,0.00,3,0,0
INV-000043,CUS-00006,Nimbus Stone Financial,SMB,EMEA,SUB-00006-01,Starter,2024-06-01,2024-06-01,2024-06-01,2024-07-01,monthly,200.00,paid,2024-06-01,Credit card,1,200.00,0.00,0,0,0
INV-000044,CUS-00006,Nimbus Stone Financial,SMB,EMEA,SUB-00006-01,Starter,2024-07-01,2024-07-01,2024-07-01,2024-08-01,monthly,200.00,paid,2024-07-02,Credit card,1,200.00,0.00,1,0,0
INV-000045,CUS-00006,Nimbus Stone Financial,SMB,EMEA,SUB-00006-01,Starter,2024-08-01,2024-08-01,2024-08-01,2024-09-01,monthly,200.00,paid,2024-08-02,ACH / bank transfer,1,200.00,0.00,1,0,0
INV-000046,CUS-00006,Nimbus Stone Financial,SMB,EMEA,SUB-00006-01,Starter,2024-09-01,2024-09-01,2024-09-01,2024-10-01,monthly,200.00,paid,2024-09-04,Credit card,1,200.00,0.00,3,0,0
INV-000047,CUS-00006,Nimbus Stone Financial,SMB,EMEA,SUB-00006-01,Starter,2024-10-01,2024-10-01,2024-10-01,2024-11-01,monthly,200.00,paid,2024-10-03,ACH / bank transfer,1,200.00,0.00,2,0,0
INV-000048,CUS-00006,Nimbus Stone Financial,SMB,EMEA,SUB-00006-01,Starter,2024-11-01,2024-11-01,2024-11-01,2024-12-01,monthly,200.00,paid,2024-11-02,Invoice / wire,1,200.00,0.00,1,0,0
INV-000049,CUS-00006,Nimbus Stone Financial,SMB,EMEA,SUB-00006-01,Starter,2024-12-01,2024-12-01,2024-12-01,2025-01-01,monthly,200.00,paid,2024-12-01,Credit card,1,200.00,0.00,0,0,0
INV-000050,CUS-00006,Nimbus Stone Financial,SMB,EMEA,SUB-00006-01,Starter,2025-01-01,2025-01-01,2025-01-01,2025-02-01,monthly,200.00,paid,2025-01-03,Credit card,1,200.00,0.00,2,0,0
INV-000051,CUS-00006,Nimbus Stone Financial,SMB,EMEA,SUB-00006-01,Starter,2025-02-01,2025-02-01,2025-02-01,2025-03-01,monthly,200.00,paid,2025-02-01,Credit card,1,200.00,0.00,0,0,0
INV-000052,CUS-00006,Nimbus Stone Financial,SMB,EMEA,SUB-00006-01,Starter,2025-03-01,2025-03-01,2025-03-01,2025-04-01,monthly,200.00,paid,2025-03-03,Invoice / wire,1,200.00,0.00,2,0,0
INV-000053,CUS-00006,Nimbus Stone Financial,SMB,EMEA,SUB-00006-01,Starter,2025-04-01,2025-04-01,2025-04-01,2025-05-01,monthly,200.00,paid,2025-04-02,Credit card,1,200.00,0.00,1,0,0
INV-000054,CUS-00006,Nimbus Stone Financial,SMB,EMEA,SUB-00006-01,Starter,2025-05-01,2025-05-01,2025-05-01,2025-06-01,monthly,200.00,paid,2025-05-04,ACH / bank transfer,1,200.00,0.00,3,0,0
INV-000055,CUS-00006,Nimbus Stone Financial,SMB,EMEA,SUB-00006-01,Starter,2025-06-01,2025-06-01,2025-06-01,2025-07-01,monthly,200.00,paid,2025-06-04,Credit card,1,200.00,0.00,3,0,0
INV-000056,CUS-00006,Nimbus Stone Financial,SMB,EMEA,SUB-00006-01,Starter,2025-07-01,2025-07-01,2025-07-01,2025-08-01,monthly,200.00,paid,2025-07-01,Credit card,1,200.00,0.00,0,0,0
INV-000057,CUS-00006,Nimbus Stone Financial,SMB,EMEA,SUB-00006-01,Starter,2025-08-01,2025-08-01,2025-08-01,2025-09-01,monthly,200.00,paid,2025-08-02,ACH / bank transfer,1,200.00,0.00,1,0,0
INV-000058,CUS-00006,Nimbus Stone Financial,SMB,EMEA,SUB-00006-01,Starter,2025-09-01,2025-09-01,2025-09-01,2025-10-01,monthly,200.00,paid,2025-09-03,Credit card,1,200.00,0.00,2,0,0
INV-000059,CUS-00006,Nimbus Stone Financial,SMB,EMEA,SUB-00006-01,Starter,2025-10-01,2025-10-01,2025-10-01,2025-11-01,monthly,200.00,paid,2025-10-02,Credit card,1,200.00,0.00,1,0,0
INV-000060,CUS-00006,Nimbus Stone Financial,SMB,EMEA,SUB-00006-01,Starter,2025-11-01,2025-11-01,2025-11-01,2025-12-01,monthly,200.00,paid,2025-11-13,Credit card,2,200.00,0.00,12,0,1
INV-000061,CUS-00006,Nimbus Stone Financial,SMB,EMEA,SUB-00006-01,Starter,2025-12-01,2025-12-01,2025-12-01,2026-01-01,monthly,200.00,paid,2025-12-01,Credit card,1,200.00,0.00,0,0,0
INV-000062,CUS-00006,Nimbus Stone Financial,SMB,EMEA,SUB-00006-01,Starter,2026-01-01,2026-01-01,2026-01-01,2026-02-01,monthly,200.00,paid,2026-01-03,Credit card,1,200.00,0.00,2,0,0
INV-000063,CUS-00006,Nimbus Stone Financial,SMB,EMEA,SUB-00006-01,Starter,2026-02-01,2026-02-01,2026-02-01,2026-03-01,monthly,200.00,paid,2026-02-02,Credit card,1,200.00,0.00,1,0,0
INV-000064,CUS-00006,Nimbus Stone Financial,SMB,EMEA,SUB-00006-01,Starter,2026-03-01,2026-03-01,2026-03-01,2026-04-01,monthly,200.00,paid,2026-03-03,Credit card,1,200.00,0.00,2,0,0
INV-000065,CUS-00006,Nimbus Stone Financial,SMB,EMEA,SUB-00006-01,Starter,2026-04-01,2026-04-01,2026-04-01,2026-05-01,monthly,200.00,paid,2026-04-04,Credit card,1,200.00,0.00,3,0,0
INV-000066,CUS-00006,Nimbus Stone Financial,SMB,EMEA,SUB-00006-01,Starter,2026-05-01,2026-05-01,2026-05-01,2026-06-01,monthly,200.00,paid,2026-05-04,Credit card,1,200.00,0.00,3,0,0
INV-000067,CUS-00006,Nimbus Stone Financial,SMB,EMEA,SUB-00006-01,Starter,2026-06-01,2026-06-01,2026-06-01,2026-07-01,monthly,200.00,paid,2026-06-02,ACH / bank transfer,1,200.00,0.00,1,0,0
INV-000068,CUS-00006,Nimbus Stone Financial,SMB,EMEA,SUB-00006-01,Starter,2026-07-01,2026-07-01,2026-07-01,2026-08-01,monthly,200.00,paid,2026-07-02,Credit card,1,200.00,0.00,1,0,0
INV-000069,CUS-00006,Nimbus Stone Financial,SMB,EMEA,SUB-00006-01,Starter,2026-08-01,2026-08-01,2026-08-01,2026-09-01,monthly,200.00,paid,2026-08-02,Credit card,1,200.00,0.00,1,0,0
INV-000070,CUS-00007,Pioneer Stone Energy,Mid-Market,North America,SUB-00007-00,Scale,2023-01-01,2023-01-01,2023-01-01,2023-02-01,monthly,11707.80,paid,2023-01-03,Credit card,1,11707.80,0.00,2,0,0
INV-000071,CUS-00007,Pioneer Stone Energy,Mid-Market,North America,SUB-00007-00,Scale,2023-02-01,2023-02-01,2023-02-01,2023-03-01,monthly,11707.80,paid,2023-02-04,ACH / bank transfer,1,11707.80,0.00,3,0,0
INV-000072,CUS-00007,Pioneer Stone Energy,Mid-Market,North America,SUB-00007-00,Scale,2023-03-01,2023-03-01,2023-03-01,2023-04-01,monthly,11707.80,paid,2023-03-03,Credit card,1,11707.80,0.00,2,0,0
INV-000073,CUS-00007,Pioneer Stone Energy,Mid-Market,North America,SUB-00007-00,Scale,2023-04-01,2023-04-01,2023-04-01,2023-05-01,monthly,11707.80,paid,2023-04-04,Credit card,1,11707.80,0.00,3,0,0
INV-000074,CUS-00007,Pioneer Stone Energy,Mid-Market,North America,SUB-00007-01,Scale,2023-05-01,2023-05-01,2023-05-01,2023-06-01,monthly,9484.80,paid,2023-05-04,Credit card,1,9484.80,0.00,3,0,0
INV-000075,CUS-00007,Pioneer Stone Energy,Mid-Market,North America,SUB-00007-01,Scale,2023-06-01,2023-06-01,2023-06-01,2023-07-01,monthly,9484.80,paid,2023-06-03,ACH / bank transfer,1,9484.80,0.00,2,0,0
INV-000076,CUS-00007,Pioneer Stone Energy,Mid-Market,North America,SUB-00007-01,Scale,2023-07-01,2023-07-01,2023-07-01,2023-08-01,monthly,9484.80,paid,2023-07-02,Invoice / wire,1,9484.80,0.00,1,0,0
INV-000077,CUS-00007,Pioneer Stone Energy,Mid-Market,North America,SUB-00007-02,Scale,2023-08-01,2023-08-01,2023-08-01,2023-09-01,monthly,12300.60,paid,2023-08-03,Credit card,1,12300.60,0.00,2,0,0
INV-000078,CUS-00007,Pioneer Stone Energy,Mid-Market,North America,SUB-00007-02,Scale,2023-09-01,2023-09-01,2023-09-01,2023-10-01,monthly,12300.60,paid,2023-09-02,Credit card,1,12300.60,0.00,1,0,0
INV-000079,CUS-00007,Pioneer Stone Energy,Mid-Market,North America,SUB-00007-02,Scale,2023-10-01,2023-10-01,2023-10-01,2023-11-01,monthly,12300.60,paid,2023-10-03,ACH / bank transfer,1,12300.60,0.00,2,0,0
INV-000080,CUS-00007,Pioneer Stone Energy,Mid-Market,North America,SUB-00007-02,Scale,2023-11-01,2023-11-01,2023-11-01,2023-12-01,monthly,12300.60,paid,2023-11-01,Credit card,1,12300.60,0.00,0,0,0
INV-000081,CUS-00007,Pioneer Stone Energy,Mid-Market,North America,SUB-00007-02,Scale,2023-12-01,2023-12-01,2023-12-01,2024-01-01,monthly,12300.60,paid,2023-12-02,Credit card,1,12300.60,0.00,1,0,0
INV-000082,CUS-00007,Pioneer Stone Energy,Mid-Market,North America,SUB-00007-02,Scale,2024-01-01,2024-01-01,2024-01-01,2024-02-01,monthly,12300.60,paid,2024-01-02,Credit card,1,12300.60,0.00,1,0,0
INV-000083,CUS-00007,Pioneer Stone Energy,Mid-Market,North America,SUB-00007-02,Scale,2024-02-01,2024-02-01,2024-02-01,2024-03-01,monthly,12300.60,paid,2024-02-04,Credit card,1,12300.60,0.00,3,0,0
INV-000084,CUS-00007,Pioneer Stone Energy,Mid-Market,North America,SUB-00007-02,Scale,2024-03-01,2024-03-01,2024-03-01,2024-04-01,monthly,12300.60,paid,2024-03-04,ACH / bank transfer,1,12300.60,0.00,3,0,0
INV-000085,CUS-00007,Pioneer Stone Energy,Mid-Market,North America,SUB-00007-02,Scale,2024-04-01,2024-04-01,2024-04-01,2024-05-01,monthly,12300.60,paid,2024-04-02,Invoice / wire,1,12300.60,0.00,1,0,0
INV-000086,CUS-00007,Pioneer Stone Energy,Mid-Market,North America,SUB-00007-02,Scale,2024-05-01,2024-05-01,2024-05-01,2024-06-01,monthly,12300.60,paid,2024-05-03,Credit card,1,12300.60,0.00,2,0,0
INV-000087,CUS-00007,Pioneer Stone Energy,Mid-Market,North America,SUB-00007-02,Scale,2024-06-01,2024-06-01,2024-06-01,2024-07-01,monthly,12300.60,paid,2024-06-01,ACH / bank transfer,1,12300.60,0.00,0,0,0
INV-000088,CUS-00007,Pioneer Stone Energy,Mid-Market,North America,SUB-00007-02,Scale,2024-07-01,2024-07-01,2024-07-01,2024-08-01,monthly,12300.60,paid,2024-07-03,Credit card,1,12300.60,0.00,2,0,0
INV-000089,CUS-00007,Pioneer Stone Energy,Mid-Market,North America,SUB-00007-02,Scale,2024-08-01,2024-08-01,2024-08-01,2024-09-01,monthly,12300.60,paid,2024-08-04,Invoice / wire,1,12300.60,0.00,3,0,0
INV-000090,CUS-00007,Pioneer Stone Energy,Mid-Market,North America,SUB-00007-02,Scale,2024-09-01,2024-09-01,2024-09-01,2024-10-01,monthly,12300.60,paid,2024-09-04,Credit card,1,12300.60,0.00,3,0,0
INV-000091,CUS-00007,Pioneer Stone Energy,Mid-Market,North America,SUB-00007-02,Scale,2024-10-01,2024-10-01,2024-10-01,2024-11-01,monthly,12300.60,paid,2024-10-04,Invoice / wire,1,12300.60,0.00,3,0,0
INV-000092,CUS-00007,Pioneer Stone Energy,Mid-Market,North America,SUB-00007-02,Scale,2024-11-01,2024-11-01,2024-11-01,2024-12-01,monthly,12300.60,paid,2024-11-02,ACH / bank transfer,1,12300.60,0.00,1,0,0
INV-000093,CUS-00007,Pioneer Stone Energy,Mid-Market,North America,SUB-00007-02,Scale,2024-12-01,2024-12-01,2024-12-01,2025-01-01,monthly,12300.60,paid,2024-12-03,Credit card,1,12300.60,0.00,2,0,0
INV-000094,CUS-00007,Pioneer Stone Energy,Mid-Market,North America,SUB-00007-03,Scale,2025-01-01,2025-01-01,2025-01-01,2025-02-01,monthly,10966.80,paid,2025-01-01,Credit card,1,10966.80,0.00,0,0,0
INV-000095,CUS-00007,Pioneer Stone Energy,Mid-Market,North America,SUB-00007-03,Scale,2025-02-01,2025-02-01,2025-02-01,2025-03-01,monthly,10966.80,paid,2025-02-02,Credit card,1,10966.80,0.00,1,0,0
INV-000096,CUS-00007,Pioneer Stone Energy,Mid-Market,North America,SUB-00007-03,Scale,2025-03-01,2025-03-01,2025-03-01,2025-04-01,monthly,10966.80,paid,2025-03-02,Invoice / wire,1,10966.80,0.00,1,0,0
INV-000097,CUS-00007,Pioneer Stone Energy,Mid-Market,North America,SUB-00007-03,Scale,2025-04-01,2025-04-01,2025-04-01,2025-05-01,monthly,10966.80,paid,2025-04-03,Credit card,1,10966.80,0.00,2,0,0
INV-000098,CUS-00007,Pioneer Stone Energy,Mid-Market,North America,SUB-00007-03,Scale,2025-05-01,2025-05-01,2025-05-01,2025-06-01,monthly,10966.80,paid,2025-05-01,Invoice / wire,1,10966.80,0.00,0,0,0
INV-000099,CUS-00007,Pioneer Stone Energy,Mid-Market,North America,SUB-00007-04,Scale,2025-06-01,2025-06-01,2025-06-01,2025-07-01,monthly,12522.90,paid,2025-06-01,ACH / bank transfer,1,12522.90,0.00,0,0,0
INV-000100,CUS-00007,Pioneer Stone Energy,Mid-Market,North America,SUB-00007-04,Scale,2025-07-01,2025-07-01,2025-07-01,2025-08-01,monthly,12522.90,paid,2025-07-02,Credit card,1,12522.90,0.00,1,0,0
INV-000101,CUS-00007,Pioneer Stone Energy,Mid-Market,North America,SUB-00007-05,Scale,2025-08-01,2025-08-01,2025-08-01,2025-09-01,monthly,10077.60,paid,2025-08-03,Invoice / wire,1,10077.60,0.00,2,0,0
INV-000102,CUS-00007,Pioneer Stone Energy,Mid-Market,North America,SUB-00007-05,Scale,2025-09-01,2025-09-01,2025-09-01,2025-10-01,monthly,10077.60,paid,2025-09-03,Credit card,1,10077.60,0.00,2,0,0
INV-000103,CUS-00007,Pioneer Stone Energy,Mid-Market,North America,SUB-00007-05,Scale,2025-10-01,2025-10-01,2025-10-01,2025-11-01,monthly,10077.60,paid,2025-10-04,Credit card,1,10077.60,0.00,3,0,0
INV-000104,CUS-00007,Pioneer Stone Energy,Mid-Market,North America,SUB-00007-05,Scale,2025-11-01,2025-11-01,2025-11-01,2025-12-01,monthly,10077.60,paid,2025-11-04,Credit card,1,10077.60,0.00,3,0,0
INV-000105,CUS-00007,Pioneer Stone Energy,Mid-Market,North America,SUB-00007-05,Scale,2025-12-01,2025-12-01,2025-12-01,2026-01-01,monthly,10077.60,paid,2025-12-04,ACH / bank transfer,1,10077.60,0.00,3,0,0
INV-000106,CUS-00007,Pioneer Stone Energy,Mid-Market,North America,SUB-00007-05,Scale,2026-01-01,2026-01-01,2026-01-01,2026-02-01,monthly,10077.60,paid,2026-01-04,Credit card,1,10077.60,0.00,3,0,0
INV-000107,CUS-00007,Pioneer Stone Energy,Mid-Market,North America,SUB-00007-05,Scale,2026-02-01,2026-02-01,2026-02-01,2026-03-01,monthly,10077.60,paid,2026-02-04,Credit card,1,10077.60,0.00,3,0,0
INV-000108,CUS-00007,Pioneer Stone Energy,Mid-Market,North America,SUB-00007-05,Scale,2026-03-01,2026-03-01,2026-03-01,2026-04-01,monthly,10077.60,paid,2026-03-03,ACH / bank transfer,1,10077.60,0.00,2,0,0
INV-000109,CUS-00007,Pioneer Stone Energy,Mid-Market,North America,SUB-00007-05,Scale,2026-04-01,2026-04-01,2026-04-01,2026-05-01,monthly,10077.60,paid,2026-04-02,ACH / bank transfer,1,10077.60,0.00,1,0,0
INV-000110,CUS-00007,Pioneer Stone Energy,Mid-Market,North America,SUB-00007-05,Scale,2026-05-01,2026-05-01,2026-05-01,2026-06-01,monthly,10077.60,paid,2026-05-02,Credit card,1,10077.60,0.00,1,0,0
INV-000111,CUS-00007,Pioneer Stone Energy,Mid-Market,North America,SUB-00007-05,Scale,2026-06-01,2026-06-01,2026-06-01,2026-07-01,monthly,10077.60,paid,2026-06-03,ACH / bank transfer,1,10077.60,0.00,2,0,0
INV-000112,CUS-00007,Pioneer Stone Energy,Mid-Market,North America,SUB-00007-05,Scale,2026-07-01,2026-07-01,2026-07-01,2026-08-01,monthly,10077.60,paid,2026-07-02,Credit card,1,10077.60,0.00,1,0,0
INV-000113,CUS-00007,Pioneer Stone Energy,Mid-Market,North America,SUB-00007-05,Scale,2026-08-01,2026-08-01,2026-08-01,2026-09-01,monthly,10077.60,paid,2026-08-02,ACH / bank transfer,1,10077.60,0.00,1,0,0
INV-000114,CUS-00008,Tidal Court Group,SMB,North America,SUB-00008-00,Growth,2023-01-01,2023-01-01,2023-01-01,2023-02-01,monthly,480.64,paid,2023-01-01,Credit card,1,480.64,0.00,0,0,0
INV-000115,CUS-00008,Tidal Court Group,SMB,North America,SUB-00008-00,Growth,2023-02-01,2023-02-01,2023-02-01,2023-03-01,monthly,480.64,paid,2023-02-03,ACH / bank transfer,1,480.64,0.00,2,0,0
INV-000116,CUS-00008,Tidal Court Group,SMB,North America,SUB-00008-00,Growth,2023-03-01,2023-03-01,2023-03-01,2023-04-01,monthly,480.64,paid,2023-03-02,Credit card,1,480.64,0.00,1,0,0
INV-000117,CUS-00008,Tidal Court Group,SMB,North America,SUB-00008-00,Growth,2023-04-01,2023-04-01,2023-04-01,2023-05-01,monthly,480.64,paid,2023-04-04,ACH / bank transfer,1,480.64,0.00,3,0,0
INV-000118,CUS-00008,Tidal Court Group,SMB,North America,SUB-00008-01,Growth,2023-05-01,2023-05-01,2023-05-01,2023-06-01,monthly,655.42,paid,2023-05-02,Credit card,1,655.42,0.00,1,0,0
