month,customer_id,company_name,segment,industry,region,country,acquisition_channel,sales_rep,cohort_month,tenure_months,plan_name,billing_period,seats,seat_change,mrr,prior_mrr,net_change_mrr,movement_type,new_mrr,reactivation_mrr,expansion_mrr,contraction_mrr,churned_mrr,is_active,churn_type,churn_reason
2023-05-01,CUS-00072,Basalt Vale Logistics,Mid-Market,Retail & E-commerce,North America,Canada,Partner,H. Kowalski,2023-05-01,0,Growth,monthly,20,20,883.8,0.0,883.8,New,883.8,0.0,0.0,0.0,0.0,1,,
2023-06-01,CUS-00072,Basalt Vale Logistics,Mid-Market,Retail & E-commerce,North America,Canada,Partner,H. Kowalski,2023-05-01,1,Growth,monthly,23,3,1016.37,883.8,132.57,Expansion,0.0,0.0,132.57,0.0,0.0,1,,
2023-07-01,CUS-00072,Basalt Vale Logistics,Mid-Market,Retail & E-commerce,North America,Canada,Partner,H. Kowalski,2023-05-01,2,Growth,monthly,23,0,1016.37,1016.37,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2023-08-01,CUS-00072,Basalt Vale Logistics,Mid-Market,Retail & E-commerce,North America,Canada,Partner,H. Kowalski,2023-05-01,3,Growth,monthly,23,0,1016.37,1016.37,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2023-09-01,CUS-00072,Basalt Vale Logistics,Mid-Market,Retail & E-commerce,North America,Canada,Partner,H. Kowalski,2023-05-01,4,Growth,monthly,23,0,1016.37,1016.37,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2023-10-01,CUS-00072,Basalt Vale Logistics,Mid-Market,Retail & E-commerce,North America,Canada,Partner,H. Kowalski,2023-05-01,5,Growth,monthly,23,0,1016.37,1016.37,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2023-11-01,CUS-00072,Basalt Vale Logistics,Mid-Market,Retail & E-commerce,North America,Canada,Partner,H. Kowalski,2023-05-01,6,Growth,monthly,23,0,1016.37,1016.37,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2023-12-01,CUS-00072,Basalt Vale Logistics,Mid-Market,Retail & E-commerce,North America,Canada,Partner,H. Kowalski,2023-05-01,7,Growth,monthly,23,0,1016.37,1016.37,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2024-01-01,CUS-00072,Basalt Vale Logistics,Mid-Market,Retail & E-commerce,North America,Canada,Partner,H. Kowalski,2023-05-01,8,Growth,monthly,27,4,1193.13,1016.37,176.76,Expansion,0.0,0.0,176.76,0.0,0.0,1,,
2024-02-01,CUS-00072,Basalt Vale Logistics,Mid-Market,Retail & E-commerce,North America,Canada,Partner,H. Kowalski,2023-05-01,9,Growth,monthly,31,4,1369.89,1193.13,176.76,Expansion,0.0,0.0,176.76,0.0,0.0,1,,
2024-03-01,CUS-00072,Basalt Vale Logistics,Mid-Market,Retail & E-commerce,North America,Canada,Partner,H. Kowalski,2023-05-01,10,Growth,monthly,31,0,1369.89,1369.89,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2024-04-01,CUS-00072,Basalt Vale Logistics,Mid-Market,Retail & E-commerce,North America,Canada,Partner,H. Kowalski,2023-05-01,11,Growth,monthly,34,3,1502.46,1369.89,132.57,Expansion,0.0,0.0,132.57,0.0,0.0,1,,
2024-05-01,CUS-00072,Basalt Vale Logistics,Mid-Market,Retail & E-commerce,North America,Canada,Partner,H. Kowalski,2023-05-01,12,Growth,monthly,34,0,1502.46,1502.46,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2024-06-01,CUS-00072,Basalt Vale Logistics,Mid-Market,Retail & E-commerce,North America,Canada,Partner,H. Kowalski,2023-05-01,13,Growth,monthly,34,0,1502.46,1502.46,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2024-07-01,CUS-00072,Basalt Vale Logistics,Mid-Market,Retail & E-commerce,North America,Canada,Partner,H. Kowalski,2023-05-01,14,Growth,monthly,34,0,1502.46,1502.46,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2024-08-01,CUS-00072,Basalt Vale Logistics,Mid-Market,Retail & E-commerce,North America,Canada,Partner,H. Kowalski,2023-05-01,15,Growth,monthly,34,0,1502.46,1502.46,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2024-09-01,CUS-00072,Basalt Vale Logistics,Mid-Market,Retail & E-commerce,North America,Canada,Partner,H. Kowalski,2023-05-01,16,Growth,monthly,34,0,1502.46,1502.46,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2024-10-01,CUS-00072,Basalt Vale Logistics,Mid-Market,Retail & E-commerce,North America,Canada,Partner,H. Kowalski,2023-05-01,17,Growth,monthly,34,0,1502.46,1502.46,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2024-11-01,CUS-00072,Basalt Vale Logistics,Mid-Market,Retail & E-commerce,North America,Canada,Partner,H. Kowalski,2023-05-01,18,Growth,monthly,34,0,1502.46,1502.46,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2024-12-01,CUS-00072,Basalt Vale Logistics,Mid-Market,Retail & E-commerce,North America,Canada,Partner,H. Kowalski,2023-05-01,19,Growth,monthly,34,0,1502.46,1502.46,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2025-01-01,CUS-00072,Basalt Vale Logistics,Mid-Market,Retail & E-commerce,North America,Canada,Partner,H. Kowalski,2023-05-01,20,Growth,monthly,34,0,1502.46,1502.46,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2025-02-01,CUS-00072,Basalt Vale Logistics,Mid-Market,Retail & E-commerce,North America,Canada,Partner,H. Kowalski,2023-05-01,21,Growth,monthly,34,0,1502.46,1502.46,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2025-03-01,CUS-00072,Basalt Vale Logistics,Mid-Market,Retail & E-commerce,North America,Canada,Partner,H. Kowalski,2023-05-01,22,Growth,monthly,45,11,1988.55,1502.46,486.09,Expansion,0.0,0.0,486.09,0.0,0.0,1,,
2025-04-01,CUS-00072,Basalt Vale Logistics,Mid-Market,Retail & E-commerce,North America,Canada,Partner,H. Kowalski,2023-05-01,23,Growth,monthly,45,0,1988.55,1988.55,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2025-05-01,CUS-00072,Basalt Vale Logistics,Mid-Market,Retail & E-commerce,North America,Canada,Partner,H. Kowalski,2023-05-01,24,Growth,monthly,45,0,1988.55,1988.55,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2025-06-01,CUS-00072,Basalt Vale Logistics,Mid-Market,Retail & E-commerce,North America,Canada,Partner,H. Kowalski,2023-05-01,25,Growth,monthly,45,0,1988.55,1988.55,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2025-07-01,CUS-00072,Basalt Vale Logistics,Mid-Market,Retail & E-commerce,North America,Canada,Partner,H. Kowalski,2023-05-01,26,Growth,monthly,45,0,1988.55,1988.55,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2025-08-01,CUS-00072,Basalt Vale Logistics,Mid-Market,Retail & E-commerce,North America,Canada,Partner,H. Kowalski,2023-05-01,27,Growth,monthly,45,0,1988.55,1988.55,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2025-09-01,CUS-00072,Basalt Vale Logistics,Mid-Market,Retail & E-commerce,North America,Canada,Partner,H. Kowalski,2023-05-01,28,Growth,monthly,45,0,1988.55,1988.55,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2025-10-01,CUS-00072,Basalt Vale Logistics,Mid-Market,Retail & E-commerce,North America,Canada,Partner,H. Kowalski,2023-05-01,29,Growth,monthly,45,0,1988.55,1988.55,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2025-11-01,CUS-00072,Basalt Vale Logistics,Mid-Market,Retail & E-commerce,North America,Canada,Partner,H. Kowalski,2023-05-01,30,Growth,monthly,45,0,1988.55,1988.55,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2025-12-01,CUS-00072,Basalt Vale Logistics,Mid-Market,Retail & E-commerce,North America,Canada,Partner,H. Kowalski,2023-05-01,31,Growth,monthly,45,0,1988.55,1988.55,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2026-01-01,CUS-00072,Basalt Vale Logistics,Mid-Market,Retail & E-commerce,North America,Canada,Partner,H. Kowalski,2023-05-01,32,Growth,monthly,45,0,1988.55,1988.55,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2026-02-01,CUS-00072,Basalt Vale Logistics,Mid-Market,Retail & E-commerce,North America,Canada,Partner,H. Kowalski,2023-05-01,33,Growth,monthly,63,18,2783.97,1988.55,795.42,Expansion,0.0,0.0,795.42,0.0,0.0,1,,
2026-03-01,CUS-00072,Basalt Vale Logistics,Mid-Market,Retail & E-commerce,North America,Canada,Partner,H. Kowalski,2023-05-01,34,Growth,monthly,63,0,2783.97,2783.97,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2026-04-01,CUS-00072,Basalt Vale Logistics,Mid-Market,Retail & E-commerce,North America,Canada,Partner,H. Kowalski,2023-05-01,35,Growth,monthly,90,27,3977.1,2783.97,1193.13,Expansion,0.0,0.0,1193.13,0.0,0.0,1,,
2026-05-01,CUS-00072,Basalt Vale Logistics,Mid-Market,Retail & E-commerce,North America,Canada,Partner,H. Kowalski,2023-05-01,36,Growth,monthly,90,0,3977.1,3977.1,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2026-06-01,CUS-00072,Basalt Vale Logistics,Mid-Market,Retail & E-commerce,North America,Canada,Partner,H. Kowalski,2023-05-01,37,Growth,monthly,90,0,3977.1,3977.1,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2026-07-01,CUS-00072,Basalt Vale Logistics,Mid-Market,Retail & E-commerce,North America,Canada,Partner,H. Kowalski,2023-05-01,38,Growth,monthly,90,0,3977.1,3977.1,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2026-08-01,CUS-00072,Basalt Vale Logistics,Mid-Market,Retail & E-commerce,North America,Canada,Partner,H. Kowalski,2023-05-01,39,Growth,monthly,90,0,3977.1,3977.1,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2023-05-01,CUS-00074,Aster Bridge Analytics,SMB,Manufacturing,North America,United States,Partner,E. Nakamura,2023-05-01,0,Growth,annual,34,34,1418.31,0.0,1418.31,New,1418.31,0.0,0.0,0.0,0.0,1,,
2023-06-01,CUS-00074,Aster Bridge Analytics,SMB,Manufacturing,North America,United States,Partner,E. Nakamura,2023-05-01,1,Growth,annual,34,0,1418.31,1418.31,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2023-07-01,CUS-00074,Aster Bridge Analytics,SMB,Manufacturing,North America,United States,Partner,E. Nakamura,2023-05-01,2,Growth,annual,34,0,1418.31,1418.31,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2023-08-01,CUS-00074,Aster Bridge Analytics,SMB,Manufacturing,North America,United States,Partner,E. Nakamura,2023-05-01,3,Growth,annual,34,0,1418.31,1418.31,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2023-09-01,CUS-00074,Aster Bridge Analytics,SMB,Manufacturing,North America,United States,Partner,E. Nakamura,2023-05-01,4,Growth,annual,34,0,1418.31,1418.31,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2023-10-01,CUS-00074,Aster Bridge Analytics,SMB,Manufacturing,North America,United States,Partner,E. Nakamura,2023-05-01,5,Growth,annual,34,0,1418.31,1418.31,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2023-11-01,CUS-00074,Aster Bridge Analytics,SMB,Manufacturing,North America,United States,Partner,E. Nakamura,2023-05-01,6,Growth,annual,34,0,1418.31,1418.31,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2023-12-01,CUS-00074,Aster Bridge Analytics,SMB,Manufacturing,North America,United States,Partner,E. Nakamura,2023-05-01,7,Growth,annual,34,0,1418.31,1418.31,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2024-01-01,CUS-00074,Aster Bridge Analytics,SMB,Manufacturing,North America,United States,Partner,E. Nakamura,2023-05-01,8,Growth,annual,34,0,1418.31,1418.31,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2024-02-01,CUS-00074,Aster Bridge Analytics,SMB,Manufacturing,North America,United States,Partner,E. Nakamura,2023-05-01,9,Growth,annual,34,0,1418.31,1418.31,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2024-03-01,CUS-00074,Aster Bridge Analytics,SMB,Manufacturing,North America,United States,Partner,E. Nakamura,2023-05-01,10,Growth,annual,34,0,1418.31,1418.31,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2024-04-01,CUS-00074,Aster Bridge Analytics,SMB,Manufacturing,North America,United States,Partner,E. Nakamura,2023-05-01,11,Growth,annual,34,0,1418.31,1418.31,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2024-05-01,CUS-00074,Aster Bridge Analytics,SMB,Manufacturing,North America,United States,Partner,E. Nakamura,2023-05-01,12,Growth,annual,34,0,1418.31,1418.31,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2024-06-01,CUS-00074,Aster Bridge Analytics,SMB,Manufacturing,North America,United States,Partner,E. Nakamura,2023-05-01,13,Growth,annual,34,0,1418.31,1418.31,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2024-07-01,CUS-00074,Aster Bridge Analytics,SMB,Manufacturing,North America,United States,Partner,E. Nakamura,2023-05-01,14,Growth,annual,34,0,1418.31,1418.31,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2024-08-01,CUS-00074,Aster Bridge Analytics,SMB,Manufacturing,North America,United States,Partner,E. Nakamura,2023-05-01,15,Growth,annual,34,0,1418.31,1418.31,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2024-09-01,CUS-00074,Aster Bridge Analytics,SMB,Manufacturing,North America,United States,Partner,E. Nakamura,2023-05-01,16,Growth,annual,34,0,1418.31,1418.31,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2024-10-01,CUS-00074,Aster Bridge Analytics,SMB,Manufacturing,North America,United States,Partner,E. Nakamura,2023-05-01,17,Growth,annual,34,0,1418.31,1418.31,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2024-11-01,CUS-00074,Aster Bridge Analytics,SMB,Manufacturing,North America,United States,Partner,E. Nakamura,2023-05-01,18,Growth,annual,34,0,1418.31,1418.31,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2024-12-01,CUS-00074,Aster Bridge Analytics,SMB,Manufacturing,North America,United States,Partner,E. Nakamura,2023-05-01,19,Growth,annual,38,4,1585.17,1418.31,166.86,Expansion,0.0,0.0,166.86,0.0,0.0,1,,
