month,segment,base_mrr,retained_mrr,retained_mrr_capped,base_customers,retained_customers
2025-03-01,Enterprise,677194.24,815703.86,622136.18,37,35
2025-03-01,Mid-Market,279293.12,230554.29,181292.15,73,54
2025-03-01,SMB,84767.48,57309.67,42553.03,130,76
2025-04-01,Enterprise,773461.83,923437.0,713528.09,40,37
2025-04-01,Mid-Market,286255.61,239775.62,189605.4,80,61
2025-04-01,SMB,86109.16,61102.78,45611.06,142,84
2025-05-01,Enterprise,815437.72,950601.39,741287.71,42,38
2025-05-01,Mid-Market,290351.27,235161.88,195268.47,84,63
2025-05-01,SMB,91987.01,64425.36,48791.27,151,88
2025-06-01,Enterprise,1017271.27,1054237.5,815490.57,47,40
2025-06-01,Mid-Market,331826.58,252286.79,210563.77,92,68
2025-06-01,SMB,96065.48,70624.42,54253.33,158,93
2025-07-01,Enterprise,1076185.22,1221075.89,918651.89,50,44
2025-07-01,Mid-Market,331563.32,255981.63,219455.0,94,70
2025-07-01,SMB,101864.16,78529.64,59458.06,170,106
2025-08-01,Enterprise,1302818.95,1408042.31,1122412.22,55,48
2025-08-01,Mid-Market,343702.71,251345.91,223717.9,96,71
2025-08-01,SMB,112139.38,84971.54,66837.17,180,113
2025-09-01,Enterprise,1357693.39,1517041.38,1178979.51,60,53
2025-09-01,Mid-Market,344356.02,267506.97,237319.03,99,77
2025-09-01,SMB,114582.78,83777.43,67176.3,196,122
2025-10-01,Enterprise,1481684.87,1670258.85,1240139.32,64,56
2025-10-01,Mid-Market,363524.98,295815.11,259807.87,101,80
2025-10-01,SMB,115223.06,86592.35,68087.63,198,124
2025-11-01,Enterprise,1608098.48,1758702.81,1243358.5,70,59
2025-11-01,Mid-Market,381195.91,326119.97,285398.85,106,84
2025-11-01,SMB,126447.39,89594.59,69358.93,207,125
2025-12-01,Enterprise,1630694.49,1841343.43,1291288.18,74,62
2025-12-01,Mid-Market,401107.98,353334.09,308967.56,112,92
2025-12-01,SMB,127049.23,92292.14,72934.89,215,133
2026-01-01,Enterprise,1703183.06,1884625.55,1355057.84,77,65
2026-01-01,Mid-Market,438811.52,390521.35,330228.58,122,99
2026-01-01,SMB,132301.34,92777.28,72361.03,224,139
2026-02-01,Enterprise,1808608.27,1829775.37,1363664.4,81,68
2026-02-01,Mid-Market,457591.45,423714.3,356555.92,128,106
2026-02-01,SMB,140489.49,99436.49,82655.14,235,150
2026-03-01,Enterprise,1955576.26,1945011.06,1442889.22,89,72
2026-03-01,Mid-Market,502496.22,496709.47,403242.36,137,112
2026-03-01,SMB,143682.43,103887.59,86257.56,244,157
2026-04-01,Enterprise,2110797.26,2158117.72,1569282.08,93,77
2026-04-01,Mid-Market,512444.25,500615.87,404564.04,141,115
2026-04-01,SMB,160780.7,117648.05,96080.73,262,169
2026-05-01,Enterprise,2255882.95,2434308.21,1764049.15,97,82
2026-05-01,Mid-Market,536339.5,527520.63,398688.51,144,114
2026-05-01,SMB,164720.04,129957.02,101824.77,277,177
2026-06-01,Enterprise,2346696.21,2602240.87,1946921.18,98,85
2026-06-01,Mid-Market,582103.33,546008.05,412873.74,153,119
2026-06-01,SMB,174850.24,125782.28,97657.68,293,182
2026-07-01,Enterprise,2455883.22,2634745.73,2042390.08,101,87
2026-07-01,Mid-Market,646257.37,621648.24,460933.78,165,130
2026-07-01,SMB,173811.33,135054.55,101875.9,294,181
2026-08-01,Enterprise,2464757.79,2690425.51,2075587.64,103,89
2026-08-01,Mid-Market,669945.78,635178.11,476273.9,170,133
2026-08-01,SMB,182549.61,142526.77,107202.22,309,186
