cohort_month,cohort_quarter,segment,period_index,activity_month,cohort_customers,cohort_initial_mrr,active_customers,retained_mrr
2023-01-01,2023-01-01,Mid-Market,38,2026-03-01,2,17441.25,2,17044.05
2023-01-01,2023-01-01,Mid-Market,39,2026-04-01,2,17441.25,2,17044.05
2023-01-01,2023-01-01,Mid-Market,40,2026-05-01,2,17441.25,2,17044.05
2023-01-01,2023-01-01,Mid-Market,41,2026-06-01,2,17441.25,2,17044.05
2023-01-01,2023-01-01,Mid-Market,42,2026-07-01,2,17441.25,2,17044.05
2023-01-01,2023-01-01,Mid-Market,43,2026-08-01,2,17441.25,2,17044.05
2023-01-01,2023-01-01,SMB,0,2023-01-01,12,11046.74,12,11046.74
2023-01-01,2023-01-01,SMB,1,2023-02-01,12,11046.74,11,10996.94
2023-01-01,2023-01-01,SMB,2,2023-03-01,12,11046.74,10,9927.85
2023-01-01,2023-01-01,SMB,3,2023-04-01,12,11046.74,8,7677.85
2023-01-01,2023-01-01,SMB,4,2023-05-01,12,11046.74,7,7092.04
2023-01-01,2023-01-01,SMB,5,2023-06-01,12,11046.74,7,7092.04
2023-01-01,2023-01-01,SMB,6,2023-07-01,12,11046.74,6,6992.04
2023-01-01,2023-01-01,SMB,7,2023-08-01,12,11046.74,6,6992.04
2023-01-01,2023-01-01,SMB,8,2023-09-01,12,11046.74,6,7809.46
2023-01-01,2023-01-01,SMB,9,2023-10-01,12,11046.74,6,7809.46
2023-01-01,2023-01-01,SMB,10,2023-11-01,12,11046.74,7,8889.46
2023-01-01,2023-01-01,SMB,11,2023-12-01,12,11046.74,7,8889.46
2023-01-01,2023-01-01,SMB,12,2024-01-01,12,11046.74,6,6289.56
2023-01-01,2023-01-01,SMB,13,2024-02-01,12,11046.74,5,6037.11
2023-01-01,2023-01-01,SMB,14,2024-03-01,12,11046.74,4,5912.98
2023-01-01,2023-01-01,SMB,15,2024-04-01,12,11046.74,4,5912.98
2023-01-01,2023-01-01,SMB,16,2024-05-01,12,11046.74,4,6078.58
2023-01-01,2023-01-01,SMB,17,2024-06-01,12,11046.74,4,6347.23
2023-01-01,2023-01-01,SMB,18,2024-07-01,12,11046.74,4,6347.23
2023-01-01,2023-01-01,SMB,19,2024-08-01,12,11046.74,4,6347.23
2023-01-01,2023-01-01,SMB,20,2024-09-01,12,11046.74,4,6347.23
2023-01-01,2023-01-01,SMB,21,2024-10-01,12,11046.74,5,6871.57
2023-01-01,2023-01-01,SMB,22,2024-11-01,12,11046.74,5,6871.57
2023-01-01,2023-01-01,SMB,23,2024-12-01,12,11046.74,5,6871.57
2023-01-01,2023-01-01,SMB,24,2025-01-01,12,11046.74,5,6927.37
2023-01-01,2023-01-01,SMB,25,2025-02-01,12,11046.74,5,6927.37
2023-01-01,2023-01-01,SMB,26,2025-03-01,12,11046.74,5,7355.55
2023-01-01,2023-01-01,SMB,27,2025-04-01,12,11046.74,5,7355.55
2023-01-01,2023-01-01,SMB,28,2025-05-01,12,11046.74,5,7355.55
2023-01-01,2023-01-01,SMB,29,2025-06-01,12,11046.74,5,8071.95
2023-01-01,2023-01-01,SMB,30,2025-07-01,12,11046.74,5,9057.0
2023-01-01,2023-01-01,SMB,31,2025-08-01,12,11046.74,5,8063.4
2023-01-01,2023-01-01,SMB,32,2025-09-01,12,11046.74,5,8107.1
2023-01-01,2023-01-01,SMB,33,2025-10-01,12,11046.74,5,8107.1
2023-01-01,2023-01-01,SMB,34,2025-11-01,12,11046.74,5,7250.75
2023-01-01,2023-01-01,SMB,35,2025-12-01,12,11046.74,5,7250.75
2023-01-01,2023-01-01,SMB,36,2026-01-01,12,11046.74,4,5511.95
2023-01-01,2023-01-01,SMB,37,2026-02-01,12,11046.74,4,5686.73
2023-01-01,2023-01-01,SMB,38,2026-03-01,12,11046.74,4,5686.73
2023-01-01,2023-01-01,SMB,39,2026-04-01,12,11046.74,5,7052.93
2023-01-01,2023-01-01,SMB,40,2026-05-01,12,11046.74,5,7052.93
2023-01-01,2023-01-01,SMB,41,2026-06-01,12,11046.74,5,7052.93
2023-01-01,2023-01-01,SMB,42,2026-07-01,12,11046.74,5,12022.95
2023-01-01,2023-01-01,SMB,43,2026-08-01,12,11046.74,5,13382.33
2023-02-01,2023-01-01,Enterprise,0,2023-02-01,2,47134.89,2,47134.89
2023-02-01,2023-01-01,Enterprise,1,2023-03-01,2,47134.89,2,47134.89
2023-02-01,2023-01-01,Enterprise,2,2023-04-01,2,47134.89,2,47134.89
2023-02-01,2023-01-01,Enterprise,3,2023-05-01,2,47134.89,2,47134.89
2023-02-01,2023-01-01,Enterprise,4,2023-06-01,2,47134.89,2,47134.89
2023-02-01,2023-01-01,Enterprise,5,2023-07-01,2,47134.89,2,47134.89
2023-02-01,2023-01-01,Enterprise,6,2023-08-01,2,47134.89,2,47134.89
2023-02-01,2023-01-01,Enterprise,7,2023-09-01,2,47134.89,2,27932.19
2023-02-01,2023-01-01,Enterprise,8,2023-10-01,2,47134.89,2,27932.19
2023-02-01,2023-01-01,Enterprise,9,2023-11-01,2,47134.89,2,27932.19
2023-02-01,2023-01-01,Enterprise,10,2023-12-01,2,47134.89,2,29123.49
2023-02-01,2023-01-01,Enterprise,11,2024-01-01,2,47134.89,2,29123.49
2023-02-01,2023-01-01,Enterprise,12,2024-02-01,2,47134.89,2,31543.05
2023-02-01,2023-01-01,Enterprise,13,2024-03-01,2,47134.89,2,31543.05
2023-02-01,2023-01-01,Enterprise,14,2024-04-01,2,47134.89,2,31543.05
2023-02-01,2023-01-01,Enterprise,15,2024-05-01,2,47134.89,2,31543.05
2023-02-01,2023-01-01,Enterprise,16,2024-06-01,2,47134.89,2,31543.05
2023-02-01,2023-01-01,Enterprise,17,2024-07-01,2,47134.89,2,35216.61
2023-02-01,2023-01-01,Enterprise,18,2024-08-01,2,47134.89,2,35216.61
2023-02-01,2023-01-01,Enterprise,19,2024-09-01,2,47134.89,2,35216.61
2023-02-01,2023-01-01,Enterprise,20,2024-10-01,2,47134.89,2,35216.61
2023-02-01,2023-01-01,Enterprise,21,2024-11-01,2,47134.89,2,35216.61
2023-02-01,2023-01-01,Enterprise,22,2024-12-01,2,47134.89,2,35216.61
2023-02-01,2023-01-01,Enterprise,23,2025-01-01,2,47134.89,2,35216.61
2023-02-01,2023-01-01,Enterprise,24,2025-02-01,2,47134.89,2,35216.61
2023-02-01,2023-01-01,Enterprise,25,2025-03-01,2,47134.89,2,35216.61
2023-02-01,2023-01-01,Enterprise,26,2025-04-01,2,47134.89,2,35216.61
2023-02-01,2023-01-01,Enterprise,27,2025-05-01,2,47134.89,2,35216.61
2023-02-01,2023-01-01,Enterprise,28,2025-06-01,2,47134.89,2,35216.61
2023-02-01,2023-01-01,Enterprise,29,2025-07-01,2,47134.89,2,35216.61
2023-02-01,2023-01-01,Enterprise,30,2025-08-01,2,47134.89,2,35592.81
2023-02-01,2023-01-01,Enterprise,31,2025-09-01,2,47134.89,2,36658.71
2023-02-01,2023-01-01,Enterprise,32,2025-10-01,2,47134.89,2,42920.46
2023-02-01,2023-01-01,Enterprise,33,2025-11-01,2,47134.89,2,37159.65
2023-02-01,2023-01-01,Enterprise,34,2025-12-01,2,47134.89,2,37598.55
2023-02-01,2023-01-01,Enterprise,35,2026-01-01,2,47134.89,2,37598.55
2023-02-01,2023-01-01,Enterprise,36,2026-02-01,2,47134.89,2,50646.75
2023-02-01,2023-01-01,Enterprise,37,2026-03-01,2,47134.89,2,50646.75
2023-02-01,2023-01-01,Enterprise,38,2026-04-01,2,47134.89,2,50646.75
2023-02-01,2023-01-01,Enterprise,39,2026-05-01,2,47134.89,2,52151.55
2023-02-01,2023-01-01,Enterprise,40,2026-06-01,2,47134.89,2,52151.55
2023-02-01,2023-01-01,Enterprise,41,2026-07-01,2,47134.89,2,52151.55
2023-02-01,2023-01-01,Enterprise,42,2026-08-01,2,47134.89,2,68933.04
2023-02-01,2023-01-01,Mid-Market,0,2023-02-01,7,32251.2,7,32251.2
2023-02-01,2023-01-01,Mid-Market,1,2023-03-01,7,32251.2,7,32251.2
2023-02-01,2023-01-01,Mid-Market,2,2023-04-01,7,32251.2,6,28922.37
2023-02-01,2023-01-01,Mid-Market,3,2023-05-01,7,32251.2,6,30046.69
2023-02-01,2023-01-01,Mid-Market,4,2023-06-01,7,32251.2,5,25859.44
2023-02-01,2023-01-01,Mid-Market,5,2023-07-01,7,32251.2,5,27003.11
2023-02-01,2023-01-01,Mid-Market,6,2023-08-01,7,32251.2,5,25770.18
2023-02-01,2023-01-01,Mid-Market,7,2023-09-01,7,32251.2,4,18716.66
2023-02-01,2023-01-01,Mid-Market,8,2023-10-01,7,32251.2,4,18716.66
2023-02-01,2023-01-01,Mid-Market,9,2023-11-01,7,32251.2,4,18716.66
2023-02-01,2023-01-01,Mid-Market,10,2023-12-01,7,32251.2,4,18716.66
2023-02-01,2023-01-01,Mid-Market,11,2024-01-01,7,32251.2,4,18716.66
2023-02-01,2023-01-01,Mid-Market,12,2024-02-01,7,32251.2,4,18716.66
2023-02-01,2023-01-01,Mid-Market,13,2024-03-01,7,32251.2,4,18716.66
2023-02-01,2023-01-01,Mid-Market,14,2024-04-01,7,32251.2,4,20398.53
2023-02-01,2023-01-01,Mid-Market,15,2024-05-01,7,32251.2,4,20398.53
2023-02-01,2023-01-01,Mid-Market,16,2024-06-01,7,32251.2,4,20398.53
2023-02-01,2023-01-01,Mid-Market,17,2024-07-01,7,32251.2,4,20398.53
2023-02-01,2023-01-01,Mid-Market,18,2024-08-01,7,32251.2,4,20398.53
2023-02-01,2023-01-01,Mid-Market,19,2024-09-01,7,32251.2,3,18989.4
2023-02-01,2023-01-01,Mid-Market,20,2024-10-01,7,32251.2,3,20200.35
2023-02-01,2023-01-01,Mid-Market,21,2024-11-01,7,32251.2,3,22376.1
2023-02-01,2023-01-01,Mid-Market,22,2024-12-01,7,32251.2,3,22783.35
2023-02-01,2023-01-01,Mid-Market,23,2025-01-01,7,32251.2,3,22045.65
2023-02-01,2023-01-01,Mid-Market,24,2025-02-01,7,32251.2,3,22045.65
2023-02-01,2023-01-01,Mid-Market,25,2025-03-01,7,32251.2,3,22045.65
2023-02-01,2023-01-01,Mid-Market,26,2025-04-01,7,32251.2,3,22045.65
2023-02-01,2023-01-01,Mid-Market,27,2025-05-01,7,32251.2,3,20416.65
2023-02-01,2023-01-01,Mid-Market,28,2025-06-01,7,32251.2,3,20416.65
2023-02-01,2023-01-01,Mid-Market,29,2025-07-01,7,32251.2,3,20416.65
2023-02-01,2023-01-01,Mid-Market,30,2025-08-01,7,32251.2,3,18624.75
2023-02-01,2023-01-01,Mid-Market,31,2025-09-01,7,32251.2,2,17158.65
2023-02-01,2023-01-01,Mid-Market,32,2025-10-01,7,32251.2,2,17158.65
2023-02-01,2023-01-01,Mid-Market,33,2025-11-01,7,32251.2,2,23419.13
2023-02-01,2023-01-01,Mid-Market,34,2025-12-01,7,32251.2,2,23419.13
2023-02-01,2023-01-01,Mid-Market,35,2026-01-01,7,32251.2,2,23419.13
2023-02-01,2023-01-01,Mid-Market,36,2026-02-01,7,32251.2,2,25773.75
2023-02-01,2023-01-01,Mid-Market,37,2026-03-01,7,32251.2,2,25773.75
2023-02-01,2023-01-01,Mid-Market,38,2026-04-01,7,32251.2,2,25773.75
2023-02-01,2023-01-01,Mid-Market,39,2026-05-01,7,32251.2,2,31140.6
2023-02-01,2023-01-01,Mid-Market,40,2026-06-01,7,32251.2,2,33226.13
2023-02-01,2023-01-01,Mid-Market,41,2026-07-01,7,32251.2,2,33226.13
2023-02-01,2023-01-01,Mid-Market,42,2026-08-01,7,32251.2,2,33226.13
2023-02-01,2023-01-01,SMB,0,2023-02-01,9,5971.74,9,5971.74
2023-02-01,2023-01-01,SMB,1,2023-03-01,9,5971.74,9,5971.74
2023-02-01,2023-01-01,SMB,2,2023-04-01,9,5971.74,9,5971.74
2023-02-01,2023-01-01,SMB,3,2023-05-01,9,5971.74,9,6012.84
2023-02-01,2023-01-01,SMB,4,2023-06-01,9,5971.74,8,6075.69
2023-02-01,2023-01-01,SMB,5,2023-07-01,9,5971.74,8,6075.69
2023-02-01,2023-01-01,SMB,6,2023-08-01,9,5971.74,8,6075.69
2023-02-01,2023-01-01,SMB,7,2023-09-01,9,5971.74,7,5637.39
2023-02-01,2023-01-01,SMB,8,2023-10-01,9,5971.74,7,5661.19
2023-02-01,2023-01-01,SMB,9,2023-11-01,9,5971.74,7,5661.19
2023-02-01,2023-01-01,SMB,10,2023-12-01,9,5971.74,5,4902.8
2023-02-01,2023-01-01,SMB,11,2024-01-01,9,5971.74,5,4902.8
2023-02-01,2023-01-01,SMB,12,2024-02-01,9,5971.74,5,4902.8
2023-02-01,2023-01-01,SMB,13,2024-03-01,9,5971.74,5,4902.8
2023-02-01,2023-01-01,SMB,14,2024-04-01,9,5971.74,5,4902.8
2023-02-01,2023-01-01,SMB,15,2024-05-01,9,5971.74,5,5250.29
2023-02-01,2023-01-01,SMB,16,2024-06-01,9,5971.74,5,5250.29
2023-02-01,2023-01-01,SMB,17,2024-07-01,9,5971.74,5,5144.29
2023-02-01,2023-01-01,SMB,18,2024-08-01,9,5971.74,5,5144.29
2023-02-01,2023-01-01,SMB,19,2024-09-01,9,5971.74,5,5144.29
2023-02-01,2023-01-01,SMB,20,2024-10-01,9,5971.74,5,4064.29
2023-02-01,2023-01-01,SMB,21,2024-11-01,9,5971.74,5,4496.29
2023-02-01,2023-01-01,SMB,22,2024-12-01,9,5971.74,5,4496.29
2023-02-01,2023-01-01,SMB,23,2025-01-01,9,5971.74,5,4882.39
2023-02-01,2023-01-01,SMB,24,2025-02-01,9,5971.74,4,2411.35
2023-02-01,2023-01-01,SMB,25,2025-03-01,9,5971.74,4,2434.4
2023-02-01,2023-01-01,SMB,26,2025-04-01,9,5971.74,4,2434.4
2023-02-01,2023-01-01,SMB,27,2025-05-01,9,5971.74,4,3125.6
2023-02-01,2023-01-01,SMB,28,2025-06-01,9,5971.74,4,3125.6
2023-02-01,2023-01-01,SMB,29,2025-07-01,9,5971.74,4,3125.6
2023-02-01,2023-01-01,SMB,30,2025-08-01,9,5971.74,4,3125.6
2023-02-01,2023-01-01,SMB,31,2025-09-01,9,5971.74,4,3125.6
2023-02-01,2023-01-01,SMB,32,2025-10-01,9,5971.74,4,3125.6
2023-02-01,2023-01-01,SMB,33,2025-11-01,9,5971.74,4,3125.6
2023-02-01,2023-01-01,SMB,34,2025-12-01,9,5971.74,4,3125.6
2023-02-01,2023-01-01,SMB,35,2026-01-01,9,5971.74,4,3125.6
2023-02-01,2023-01-01,SMB,36,2026-02-01,9,5971.74,4,3149.4
2023-02-01,2023-01-01,SMB,37,2026-03-01,9,5971.74,4,3149.4
2023-02-01,2023-01-01,SMB,38,2026-04-01,9,5971.74,4,3149.4
2023-02-01,2023-01-01,SMB,39,2026-05-01,9,5971.74,4,3108.3
2023-02-01,2023-01-01,SMB,40,2026-06-01,9,5971.74,4,3108.3
2023-02-01,2023-01-01,SMB,41,2026-07-01,9,5971.74,4,3084.5
2023-02-01,2023-01-01,SMB,42,2026-08-01,9,5971.74,4,3084.5
2023-03-01,2023-01-01,Enterprise,0,2023-03-01,2,60414.2,2,60414.2
2023-03-01,2023-01-01,Enterprise,1,2023-04-01,2,60414.2,2,60414.2
2023-03-01,2023-01-01,Enterprise,2,2023-05-01,2,60414.2,2,60414.2
2023-03-01,2023-01-01,Enterprise,3,2023-06-01,2,60414.2,2,60414.2
2023-03-01,2023-01-01,Enterprise,4,2023-07-01,2,60414.2,2,62145.6
2023-03-01,2023-01-01,Enterprise,5,2023-08-01,2,60414.2,2,62145.6
2023-03-01,2023-01-01,Enterprise,6,2023-09-01,2,60414.2,2,62145.6
2023-03-01,2023-01-01,Enterprise,7,2023-10-01,2,60414.2,2,62145.6
2023-03-01,2023-01-01,Enterprise,8,2023-11-01,2,60414.2,2,64742.7
2023-03-01,2023-01-01,Enterprise,9,2023-12-01,2,60414.2,2,64742.7
2023-03-01,2023-01-01,Enterprise,10,2024-01-01,2,60414.2,2,62578.45
2023-03-01,2023-01-01,Enterprise,11,2024-02-01,2,60414.2,2,62578.45
2023-03-01,2023-01-01,Enterprise,12,2024-03-01,2,60414.2,2,62578.45
2023-03-01,2023-01-01,Enterprise,13,2024-04-01,2,60414.2,2,62578.45
2023-03-01,2023-01-01,Enterprise,14,2024-05-01,2,60414.2,2,52694.29
2023-03-01,2023-01-01,Enterprise,15,2024-06-01,2,60414.2,2,66855.25
2023-03-01,2023-01-01,Enterprise,16,2024-07-01,2,60414.2,2,66855.25
2023-03-01,2023-01-01,Enterprise,17,2024-08-01,2,60414.2,2,66855.25
2023-03-01,2023-01-01,Enterprise,18,2024-09-01,2,60414.2,2,57769.34
2023-03-01,2023-01-01,Enterprise,19,2024-10-01,2,60414.2,2,57769.34
2023-03-01,2023-01-01,Enterprise,20,2024-11-01,2,60414.2,2,57769.34
2023-03-01,2023-01-01,Enterprise,21,2024-12-01,2,60414.2,2,57769.34
2023-03-01,2023-01-01,Enterprise,22,2025-01-01,2,60414.2,2,57769.34
2023-03-01,2023-01-01,Enterprise,23,2025-02-01,2,60414.2,2,57769.34
2023-03-01,2023-01-01,Enterprise,24,2025-03-01,2,60414.2,2,57769.34
2023-03-01,2023-01-01,Enterprise,25,2025-04-01,2,60414.2,1,49800.96
2023-03-01,2023-01-01,Enterprise,26,2025-05-01,2,60414.2,1,49800.96
2023-03-01,2023-01-01,Enterprise,27,2025-06-01,2,60414.2,0,0.0
2023-03-01,2023-01-01,Mid-Market,0,2023-03-01,4,14349.74,4,14349.74
2023-03-01,2023-01-01,Mid-Market,1,2023-04-01,4,14349.74,4,14349.74
2023-03-01,2023-01-01,Mid-Market,2,2023-05-01,4,14349.74,4,14349.74
2023-03-01,2023-01-01,Mid-Market,3,2023-06-01,4,14349.74,4,14349.74
2023-03-01,2023-01-01,Mid-Market,4,2023-07-01,4,14349.74,4,14349.74
2023-03-01,2023-01-01,Mid-Market,5,2023-08-01,4,14349.74,4,14349.74
2023-03-01,2023-01-01,Mid-Market,6,2023-09-01,4,14349.74,4,14349.74
2023-03-01,2023-01-01,Mid-Market,7,2023-10-01,4,14349.74,4,14349.74
2023-03-01,2023-01-01,Mid-Market,8,2023-11-01,4,14349.74,4,16087.19
2023-03-01,2023-01-01,Mid-Market,9,2023-12-01,4,14349.74,4,16261.43
2023-03-01,2023-01-01,Mid-Market,10,2024-01-01,4,14349.74,3,15475.68
2023-03-01,2023-01-01,Mid-Market,11,2024-02-01,4,14349.74,3,15475.68
2023-03-01,2023-01-01,Mid-Market,12,2024-03-01,4,14349.74,2,14520.33
2023-03-01,2023-01-01,Mid-Market,13,2024-04-01,4,14349.74,2,14868.81
2023-03-01,2023-01-01,Mid-Market,14,2024-05-01,4,14349.74,2,14171.85
2023-03-01,2023-01-01,Mid-Market,15,2024-06-01,4,14349.74,2,14171.85
2023-03-01,2023-01-01,Mid-Market,16,2024-07-01,4,14349.74,1,1742.4
2023-03-01,2023-01-01,Mid-Market,17,2024-08-01,4,14349.74,1,1742.4
2023-03-01,2023-01-01,Mid-Market,18,2024-09-01,4,14349.74,1,1742.4
2023-03-01,2023-01-01,Mid-Market,19,2024-10-01,4,14349.74,1,1742.4
2023-03-01,2023-01-01,Mid-Market,20,2024-11-01,4,14349.74,1,1742.4
2023-03-01,2023-01-01,Mid-Market,21,2024-12-01,4,14349.74,1,1742.4
2023-03-01,2023-01-01,Mid-Market,22,2025-01-01,4,14349.74,1,1742.4
2023-03-01,2023-01-01,Mid-Market,23,2025-02-01,4,14349.74,1,1742.4
2023-03-01,2023-01-01,Mid-Market,24,2025-03-01,4,14349.74,1,1742.4
2023-03-01,2023-01-01,Mid-Market,25,2025-04-01,4,14349.74,1,1742.4
2023-03-01,2023-01-01,Mid-Market,26,2025-05-01,4,14349.74,1,1742.4
2023-03-01,2023-01-01,Mid-Market,27,2025-06-01,4,14349.74,1,1742.4
2023-03-01,2023-01-01,Mid-Market,28,2025-07-01,4,14349.74,1,1742.4
2023-03-01,2023-01-01,Mid-Market,29,2025-08-01,4,14349.74,1,1742.4
2023-03-01,2023-01-01,Mid-Market,30,2025-09-01,4,14349.74,1,1742.4
2023-03-01,2023-01-01,Mid-Market,31,2025-10-01,4,14349.74,1,1742.4
2023-03-01,2023-01-01,Mid-Market,32,2025-11-01,4,14349.74,1,1742.4
2023-03-01,2023-01-01,Mid-Market,33,2025-12-01,4,14349.74,1,1742.4
2023-03-01,2023-01-01,Mid-Market,34,2026-01-01,4,14349.74,0,0.0
