acquisition_channel,signup_month,activity_month,period_index,cohort_customers,acquisition_spend,cac,active_customers,net_revenue,contribution_margin,cumulative_contribution_margin,cumulative_margin_net_of_cac,payback_ratio
Affiliate,2024-11-01,2026-03-01,16,30,1223.67,40.79,0,0.00,0.0,3477.03,2253.36,2.8415
Affiliate,2024-11-01,2026-04-01,17,30,1223.67,40.79,0,0.00,0.0,3477.03,2253.36,2.8415
Affiliate,2024-11-01,2026-05-01,18,30,1223.67,40.79,0,0.00,0.0,3477.03,2253.36,2.8415
Affiliate,2024-11-01,2026-06-01,19,30,1223.67,40.79,0,0.00,0.0,3477.03,2253.36,2.8415
Affiliate,2026-03-01,2026-03-01,0,17,734.11,43.18,15,4651.39,1357.04,1357.04,622.93,1.8486
Affiliate,2026-03-01,2026-04-01,1,17,734.11,43.18,2,74.54,31.14,1388.18,654.07,1.891
Affiliate,2026-03-01,2026-05-01,2,17,734.11,43.18,5,1100.24,79.8,1467.98,733.87,1.9997
Affiliate,2026-03-01,2026-06-01,3,17,734.11,43.18,3,1325.77,-393.31,1074.67,340.56,1.4639
Affiliate,2026-05-01,2026-05-01,0,12,496.30,41.36,12,3203.72,844.37,844.37,348.07,1.7013
Affiliate,2026-05-01,2026-06-01,1,12,496.30,41.36,1,253.55,85.1,929.47,433.17,1.8728
Marketplace,2024-06-01,2024-06-01,0,44,1064.00,24.18,38,9722.41,2536.13,2536.13,1472.13,2.3836
Marketplace,2024-06-01,2024-07-01,1,44,1064.00,24.18,11,3794.23,1060.84,3596.97,2532.97,3.3806
Marketplace,2024-06-01,2024-08-01,2,44,1064.00,24.18,7,1852.08,621.96,4218.93,3154.93,3.9652
Marketplace,2024-06-01,2024-09-01,3,44,1064.00,24.18,3,977.31,397.49,4616.42,3552.42,4.3387
Marketplace,2024-06-01,2024-10-01,4,44,1064.00,24.18,3,611.06,165.32,4781.74,3717.74,4.4941
Marketplace,2024-06-01,2024-11-01,5,44,1064.00,24.18,1,715.20,125.54,4907.28,3843.28,4.6121
Marketplace,2024-06-01,2024-12-01,6,44,1064.00,24.18,0,0.00,0.0,4907.28,3843.28,4.6121
Marketplace,2024-06-01,2025-01-01,7,44,1064.00,24.18,0,0.00,0.0,4907.28,3843.28,4.6121
Marketplace,2024-06-01,2025-02-01,8,44,1064.00,24.18,0,0.00,0.0,4907.28,3843.28,4.6121
Marketplace,2024-06-01,2025-03-01,9,44,1064.00,24.18,0,0.00,0.0,4907.28,3843.28,4.6121
Marketplace,2024-06-01,2025-04-01,10,44,1064.00,24.18,1,669.70,121.13,5028.41,3964.41,4.7259
Marketplace,2024-06-01,2025-05-01,11,44,1064.00,24.18,0,0.00,0.0,5028.41,3964.41,4.7259
Marketplace,2024-06-01,2025-06-01,12,44,1064.00,24.18,0,0.00,0.0,5028.41,3964.41,4.7259
Marketplace,2024-06-01,2025-07-01,13,44,1064.00,24.18,0,0.00,0.0,5028.41,3964.41,4.7259
Marketplace,2024-06-01,2025-08-01,14,44,1064.00,24.18,0,0.00,0.0,5028.41,3964.41,4.7259
Marketplace,2024-06-01,2025-09-01,15,44,1064.00,24.18,0,0.00,0.0,5028.41,3964.41,4.7259
Marketplace,2024-06-01,2025-10-01,16,44,1064.00,24.18,0,0.00,0.0,5028.41,3964.41,4.7259
Marketplace,2024-06-01,2025-11-01,17,44,1064.00,24.18,0,0.00,0.0,5028.41,3964.41,4.7259
Marketplace,2024-06-01,2025-12-01,18,44,1064.00,24.18,0,0.00,0.0,5028.41,3964.41,4.7259
Marketplace,2024-06-01,2026-01-01,19,44,1064.00,24.18,0,0.00,0.0,5028.41,3964.41,4.7259
Marketplace,2024-06-01,2026-02-01,20,44,1064.00,24.18,0,0.00,0.0,5028.41,3964.41,4.7259
Marketplace,2024-06-01,2026-03-01,21,44,1064.00,24.18,0,0.00,0.0,5028.41,3964.41,4.7259
Marketplace,2024-06-01,2026-04-01,22,44,1064.00,24.18,0,0.00,0.0,5028.41,3964.41,4.7259
Marketplace,2024-06-01,2026-05-01,23,44,1064.00,24.18,0,0.00,0.0,5028.41,3964.41,4.7259
Marketplace,2024-06-01,2026-06-01,24,44,1064.00,24.18,0,0.00,0.0,5028.41,3964.41,4.7259
Marketplace,2026-04-01,2026-04-01,0,46,1074.58,23.36,46,13917.04,3739.82,3739.82,2665.24,3.4803
Marketplace,2026-04-01,2026-05-01,1,46,1074.58,23.36,3,518.37,198.62,3938.44,2863.86,3.6651
Marketplace,2026-04-01,2026-06-01,2,46,1074.58,23.36,2,241.26,127.29,4065.73,2991.15,3.7836
Paid Search,2024-06-01,2024-06-01,0,59,2098.40,35.57,54,14884.15,3450.44,3450.44,1352.04,1.6443
Paid Search,2024-06-01,2024-07-01,1,59,2098.40,35.57,12,4812.82,914.37,4364.81,2266.41,2.0801
Paid Search,2024-06-01,2024-08-01,2,59,2098.40,35.57,10,6165.42,1742.45,6107.26,4008.86,2.9104
Paid Search,2024-06-01,2024-09-01,3,59,2098.40,35.57,12,3396.82,776.81,6884.07,4785.67,3.2806
Paid Search,2024-06-01,2024-10-01,4,59,2098.40,35.57,9,4947.79,744.06,7628.13,5529.73,3.6352
Paid Search,2024-06-01,2024-11-01,5,59,2098.40,35.57,5,792.89,349.01,7977.14,5878.74,3.8015
Paid Search,2024-06-01,2024-12-01,6,59,2098.40,35.57,4,887.34,345.84,8322.98,6224.58,3.9663
Paid Search,2024-06-01,2025-01-01,7,59,2098.40,35.57,2,586.21,274.01,8596.99,6498.59,4.0969
Paid Search,2024-06-01,2025-02-01,8,59,2098.40,35.57,4,478.75,189.45,8786.44,6688.04,4.1872
Paid Search,2024-06-01,2025-03-01,9,59,2098.40,35.57,2,258.57,46.09,8832.53,6734.13,4.2092
Paid Search,2024-06-01,2025-04-01,10,59,2098.40,35.57,1,170.11,98.45,8930.98,6832.58,4.2561
Paid Search,2024-06-01,2025-05-01,11,59,2098.40,35.57,1,120.56,60.7,8991.68,6893.28,4.285
Paid Search,2024-06-01,2025-06-01,12,59,2098.40,35.57,2,607.80,236.56,9228.24,7129.84,4.3978
Paid Search,2024-06-01,2025-07-01,13,59,2098.40,35.57,2,791.82,-16.55,9211.69,7113.29,4.3899
Paid Search,2024-06-01,2025-08-01,14,59,2098.40,35.57,1,448.18,40.21,9251.9,7153.5,4.409
Paid Search,2024-06-01,2025-09-01,15,59,2098.40,35.57,1,383.56,194.39,9446.29,7347.89,4.5017
Paid Search,2024-06-01,2025-10-01,16,59,2098.40,35.57,0,0.00,0.0,9446.29,7347.89,4.5017
Paid Search,2024-06-01,2025-11-01,17,59,2098.40,35.57,0,0.00,0.0,9446.29,7347.89,4.5017
Paid Search,2024-06-01,2025-12-01,18,59,2098.40,35.57,1,251.69,10.1,9456.39,7357.99,4.5065
Paid Search,2024-06-01,2026-01-01,19,59,2098.40,35.57,0,0.00,0.0,9456.39,7357.99,4.5065
Paid Search,2024-06-01,2026-02-01,20,59,2098.40,35.57,0,0.00,0.0,9456.39,7357.99,4.5065
Paid Search,2024-06-01,2026-03-01,21,59,2098.40,35.57,1,105.21,-44.48,9411.91,7313.51,4.4853
Paid Search,2024-06-01,2026-04-01,22,59,2098.40,35.57,0,0.00,0.0,9411.91,7313.51,4.4853
Paid Search,2024-06-01,2026-05-01,23,59,2098.40,35.57,0,0.00,0.0,9411.91,7313.51,4.4853
Paid Search,2024-06-01,2026-06-01,24,59,2098.40,35.57,0,0.00,0.0,9411.91,7313.51,4.4853
Paid Search,2026-04-01,2026-04-01,0,75,2394.90,31.93,70,18548.88,4682.52,4682.52,2287.62,1.9552
Paid Search,2026-04-01,2026-05-01,1,75,2394.90,31.93,19,5954.53,1156.79,5839.31,3444.41,2.4382
Paid Search,2026-04-01,2026-06-01,2,75,2394.90,31.93,11,2667.93,811.27,6650.58,4255.68,2.777
Paid Social,2024-01-01,2024-01-01,0,38,1044.10,27.48,35,7086.69,1038.15,1038.15,-5.95,0.9943
Paid Social,2024-01-01,2024-02-01,1,38,1044.10,27.48,4,1870.44,-100.27,937.88,-106.22,0.8983
Paid Social,2024-01-01,2024-03-01,2,38,1044.10,27.48,5,1557.50,142.95,1080.83,36.73,1.0352
Paid Social,2024-01-01,2024-04-01,3,38,1044.10,27.48,2,107.20,50.33,1131.16,87.06,1.0834
Paid Social,2024-01-01,2024-05-01,4,38,1044.10,27.48,2,311.44,150.02,1281.18,237.08,1.2271
Paid Social,2024-01-01,2024-06-01,5,38,1044.10,27.48,2,137.34,-1.67,1279.51,235.41,1.2255
Paid Social,2024-01-01,2024-07-01,6,38,1044.10,27.48,0,0.00,0.0,1279.51,235.41,1.2255
Paid Social,2024-01-01,2024-08-01,7,38,1044.10,27.48,0,0.00,0.0,1279.51,235.41,1.2255
Paid Social,2024-01-01,2024-09-01,8,38,1044.10,27.48,0,0.00,0.0,1279.51,235.41,1.2255
Paid Social,2024-01-01,2024-10-01,9,38,1044.10,27.48,0,0.00,0.0,1279.51,235.41,1.2255
Paid Social,2024-01-01,2024-11-01,10,38,1044.10,27.48,0,0.00,0.0,1279.51,235.41,1.2255
Paid Social,2024-01-01,2024-12-01,11,38,1044.10,27.48,0,0.00,0.0,1279.51,235.41,1.2255
Paid Social,2024-01-01,2025-01-01,12,38,1044.10,27.48,0,0.00,0.0,1279.51,235.41,1.2255
Paid Social,2024-01-01,2025-02-01,13,38,1044.10,27.48,0,0.00,0.0,1279.51,235.41,1.2255
Paid Social,2024-01-01,2025-03-01,14,38,1044.10,27.48,0,0.00,0.0,1279.51,235.41,1.2255
Paid Social,2024-01-01,2025-04-01,15,38,1044.10,27.48,0,0.00,0.0,1279.51,235.41,1.2255
Paid Social,2024-01-01,2025-05-01,16,38,1044.10,27.48,0,0.00,0.0,1279.51,235.41,1.2255
Paid Social,2024-01-01,2025-06-01,17,38,1044.10,27.48,0,0.00,0.0,1279.51,235.41,1.2255
Paid Social,2024-01-01,2025-07-01,18,38,1044.10,27.48,0,0.00,0.0,1279.51,235.41,1.2255
Paid Social,2024-01-01,2025-08-01,19,38,1044.10,27.48,0,0.00,0.0,1279.51,235.41,1.2255
Paid Social,2024-01-01,2025-09-01,20,38,1044.10,27.48,0,0.00,0.0,1279.51,235.41,1.2255
Paid Social,2024-01-01,2025-10-01,21,38,1044.10,27.48,0,0.00,0.0,1279.51,235.41,1.2255
Paid Social,2024-01-01,2025-11-01,22,38,1044.10,27.48,0,0.00,0.0,1279.51,235.41,1.2255
Paid Social,2024-01-01,2025-12-01,23,38,1044.10,27.48,0,0.00,0.0,1279.51,235.41,1.2255
Paid Social,2024-01-01,2026-01-01,24,38,1044.10,27.48,0,0.00,0.0,1279.51,235.41,1.2255
Paid Social,2024-01-01,2026-02-01,25,38,1044.10,27.48,0,0.00,0.0,1279.51,235.41,1.2255
Paid Social,2024-01-01,2026-03-01,26,38,1044.10,27.48,0,0.00,0.0,1279.51,235.41,1.2255
Paid Social,2024-01-01,2026-04-01,27,38,1044.10,27.48,0,0.00,0.0,1279.51,235.41,1.2255
Paid Social,2024-01-01,2026-05-01,28,38,1044.10,27.48,0,0.00,0.0,1279.51,235.41,1.2255
Paid Social,2024-01-01,2026-06-01,29,38,1044.10,27.48,0,0.00,0.0,1279.51,235.41,1.2255
Paid Social,2024-02-01,2024-02-01,0,30,883.87,29.46,26,6556.14,973.49,973.49,89.62,1.1014
Paid Social,2024-02-01,2024-03-01,1,30,883.87,29.46,6,1298.41,68.87,1042.36,158.49,1.1793
Paid Social,2024-02-01,2024-04-01,2,30,883.87,29.46,7,2441.79,491.75,1534.11,650.24,1.7357
Paid Social,2024-02-01,2024-05-01,3,30,883.87,29.46,3,324.71,73.48,1607.59,723.72,1.8188
Paid Social,2024-02-01,2024-06-01,4,30,883.87,29.46,1,213.32,126.83,1734.42,850.55,1.9623
Paid Social,2024-02-01,2024-07-01,5,30,883.87,29.46,1,462.94,89.7,1824.12,940.25,2.0638
Paid Social,2024-02-01,2024-08-01,6,30,883.87,29.46,1,16.17,-0.57,1823.55,939.68,2.0631
Paid Social,2024-02-01,2024-09-01,7,30,883.87,29.46,1,20.84,1.95,1825.5,941.63,2.0653
Paid Social,2024-02-01,2024-10-01,8,30,883.87,29.46,0,0.00,0.0,1825.5,941.63,2.0653
Paid Social,2024-02-01,2024-11-01,9,30,883.87,29.46,0,0.00,0.0,1825.5,941.63,2.0653
Paid Social,2024-02-01,2024-12-01,10,30,883.87,29.46,0,0.00,0.0,1825.5,941.63,2.0653
Paid Social,2024-02-01,2025-01-01,11,30,883.87,29.46,0,0.00,0.0,1825.5,941.63,2.0653
Paid Social,2024-02-01,2025-02-01,12,30,883.87,29.46,0,0.00,0.0,1825.5,941.63,2.0653
Paid Social,2024-02-01,2025-03-01,13,30,883.87,29.46,0,0.00,0.0,1825.5,941.63,2.0653
Paid Social,2024-02-01,2025-04-01,14,30,883.87,29.46,0,0.00,0.0,1825.5,941.63,2.0653
Paid Social,2024-02-01,2025-05-01,15,30,883.87,29.46,0,0.00,0.0,1825.5,941.63,2.0653
Paid Social,2024-02-01,2025-06-01,16,30,883.87,29.46,0,0.00,0.0,1825.5,941.63,2.0653
Paid Social,2024-02-01,2025-07-01,17,30,883.87,29.46,0,0.00,0.0,1825.5,941.63,2.0653
Paid Social,2024-02-01,2025-08-01,18,30,883.87,29.46,0,0.00,0.0,1825.5,941.63,2.0653
Paid Social,2024-02-01,2025-09-01,19,30,883.87,29.46,0,0.00,0.0,1825.5,941.63,2.0653
Paid Social,2024-02-01,2025-10-01,20,30,883.87,29.46,0,0.00,0.0,1825.5,941.63,2.0653
Paid Social,2024-02-01,2025-11-01,21,30,883.87,29.46,0,0.00,0.0,1825.5,941.63,2.0653
Paid Social,2024-02-01,2025-12-01,22,30,883.87,29.46,0,0.00,0.0,1825.5,941.63,2.0653
Paid Social,2024-02-01,2026-01-01,23,30,883.87,29.46,0,0.00,0.0,1825.5,941.63,2.0653
Paid Social,2024-02-01,2026-02-01,24,30,883.87,29.46,0,0.00,0.0,1825.5,941.63,2.0653
Paid Social,2024-02-01,2026-03-01,25,30,883.87,29.46,0,0.00,0.0,1825.5,941.63,2.0653
Paid Social,2024-02-01,2026-04-01,26,30,883.87,29.46,0,0.00,0.0,1825.5,941.63,2.0653
Paid Social,2024-02-01,2026-05-01,27,30,883.87,29.46,0,0.00,0.0,1825.5,941.63,2.0653
Paid Social,2024-02-01,2026-06-01,28,30,883.87,29.46,0,0.00,0.0,1825.5,941.63,2.0653
Paid Social,2024-07-01,2024-07-01,0,64,1850.15,28.91,60,15556.42,3460.71,3460.71,1610.56,1.8705
Paid Social,2024-07-01,2024-08-01,1,64,1850.15,28.91,7,2522.60,313.11,3773.82,1923.67,2.0397
Paid Social,2024-07-01,2024-09-01,2,64,1850.15,28.91,6,1058.20,529.21,4303.03,2452.88,2.3258
Paid Social,2024-07-01,2024-10-01,3,64,1850.15,28.91,4,1434.42,378.73,4681.76,2831.61,2.5305
Paid Social,2024-07-01,2024-11-01,4,64,1850.15,28.91,1,286.50,161.25,4843.01,2992.86,2.6176
Paid Social,2024-07-01,2024-12-01,5,64,1850.15,28.91,1,100.85,24.56,4867.57,3017.42,2.6309
Paid Social,2024-07-01,2025-01-01,6,64,1850.15,28.91,2,409.75,195.19,5062.76,3212.61,2.7364
Paid Social,2024-07-01,2025-02-01,7,64,1850.15,28.91,3,468.13,94.53,5157.29,3307.14,2.7875
Paid Social,2024-07-01,2025-03-01,8,64,1850.15,28.91,1,216.91,32.65,5189.94,3339.79,2.8051
Paid Social,2024-07-01,2025-04-01,9,64,1850.15,28.91,0,0.00,0.0,5189.94,3339.79,2.8051
Paid Social,2024-07-01,2025-05-01,10,64,1850.15,28.91,1,89.06,25.63,5215.57,3365.42,2.819
Paid Social,2024-07-01,2025-06-01,11,64,1850.15,28.91,0,0.00,0.0,5215.57,3365.42,2.819
Paid Social,2024-07-01,2025-07-01,12,64,1850.15,28.91,0,0.00,0.0,5215.57,3365.42,2.819
Paid Social,2024-07-01,2025-08-01,13,64,1850.15,28.91,1,110.34,56.66,5272.23,3422.08,2.8496
Paid Social,2024-07-01,2025-09-01,14,64,1850.15,28.91,0,0.00,0.0,5272.23,3422.08,2.8496
Paid Social,2024-07-01,2025-10-01,15,64,1850.15,28.91,0,0.00,0.0,5272.23,3422.08,2.8496
Paid Social,2024-07-01,2025-11-01,16,64,1850.15,28.91,0,0.00,0.0,5272.23,3422.08,2.8496
Paid Social,2024-07-01,2025-12-01,17,64,1850.15,28.91,0,0.00,0.0,5272.23,3422.08,2.8496
Paid Social,2024-07-01,2026-01-01,18,64,1850.15,28.91,0,0.00,0.0,5272.23,3422.08,2.8496
Paid Social,2024-07-01,2026-02-01,19,64,1850.15,28.91,0,0.00,0.0,5272.23,3422.08,2.8496
Paid Social,2024-07-01,2026-03-01,20,64,1850.15,28.91,0,0.00,0.0,5272.23,3422.08,2.8496
Paid Social,2024-07-01,2026-04-01,21,64,1850.15,28.91,0,0.00,0.0,5272.23,3422.08,2.8496
Paid Social,2024-07-01,2026-05-01,22,64,1850.15,28.91,0,0.00,0.0,5272.23,3422.08,2.8496
Paid Social,2024-07-01,2026-06-01,23,64,1850.15,28.91,0,0.00,0.0,5272.23,3422.08,2.8496
Paid Social,2024-12-01,2024-12-01,0,94,2785.47,29.63,88,21914.95,1491.48,1491.48,-1293.99,0.5355
Paid Social,2024-12-01,2025-01-01,1,94,2785.47,29.63,10,1918.03,77.27,1568.75,-1216.72,0.5632
Paid Social,2024-12-01,2025-02-01,2,94,2785.47,29.63,9,3294.38,468.31,2037.06,-748.41,0.7313
Paid Social,2024-12-01,2025-03-01,3,94,2785.47,29.63,4,2938.44,248.92,2285.98,-499.49,0.8207
Paid Social,2024-12-01,2025-04-01,4,94,2785.47,29.63,3,399.12,58.45,2344.43,-441.04,0.8417
Paid Social,2024-12-01,2025-05-01,5,94,2785.47,29.63,0,0.00,0.0,2344.43,-441.04,0.8417
Paid Social,2024-12-01,2025-06-01,6,94,2785.47,29.63,2,587.90,212.54,2556.97,-228.5,0.918
Paid Social,2024-12-01,2025-07-01,7,94,2785.47,29.63,2,320.72,71.0,2627.97,-157.5,0.9435
Paid Social,2024-12-01,2025-08-01,8,94,2785.47,29.63,1,106.20,11.49,2639.46,-146.01,0.9476
Paid Social,2024-12-01,2025-09-01,9,94,2785.47,29.63,0,0.00,0.0,2639.46,-146.01,0.9476
Paid Social,2024-12-01,2025-10-01,10,94,2785.47,29.63,0,0.00,0.0,2639.46,-146.01,0.9476
Paid Social,2024-12-01,2025-11-01,11,94,2785.47,29.63,2,523.84,241.34,2880.8,95.33,1.0342
Paid Social,2024-12-01,2025-12-01,12,94,2785.47,29.63,0,0.00,0.0,2880.8,95.33,1.0342
Paid Social,2024-12-01,2026-01-01,13,94,2785.47,29.63,2,183.96,-34.09,2846.71,61.24,1.022
Paid Social,2024-12-01,2026-02-01,14,94,2785.47,29.63,0,0.00,0.0,2846.71,61.24,1.022
Paid Social,2024-12-01,2026-03-01,15,94,2785.47,29.63,1,51.29,20.41,2867.12,81.65,1.0293
Paid Social,2024-12-01,2026-04-01,16,94,2785.47,29.63,0,0.00,0.0,2867.12,81.65,1.0293
Paid Social,2024-12-01,2026-05-01,17,94,2785.47,29.63,0,0.00,0.0,2867.12,81.65,1.0293
Paid Social,2024-12-01,2026-06-01,18,94,2785.47,29.63,0,0.00,0.0,2867.12,81.65,1.0293
Paid Social,2025-02-01,2025-02-01,0,58,1959.16,33.78,56,14522.82,3334.15,3334.15,1374.99,1.7018
Paid Social,2025-02-01,2025-03-01,1,58,1959.16,33.78,8,1948.39,551.83,3885.98,1926.82,1.9835
Paid Social,2025-02-01,2025-04-01,2,58,1959.16,33.78,3,980.13,310.88,4196.86,2237.7,2.1422
Paid Social,2025-02-01,2025-05-01,3,58,1959.16,33.78,7,2059.56,405.73,4602.59,2643.43,2.3493
Paid Social,2025-02-01,2025-06-01,4,58,1959.16,33.78,1,218.27,28.49,4631.08,2671.92,2.3638
Paid Social,2025-02-01,2025-07-01,5,58,1959.16,33.78,5,1478.17,413.04,5044.12,3084.96,2.5746
Paid Social,2025-02-01,2025-08-01,6,58,1959.16,33.78,1,560.69,187.26,5231.38,3272.22,2.6702
Paid Social,2025-02-01,2025-09-01,7,58,1959.16,33.78,0,0.00,0.0,5231.38,3272.22,2.6702
Paid Social,2025-02-01,2025-10-01,8,58,1959.16,33.78,1,218.73,128.08,5359.46,3400.3,2.7356
Paid Social,2025-02-01,2025-11-01,9,58,1959.16,33.78,0,0.00,0.0,5359.46,3400.3,2.7356
Paid Social,2025-02-01,2025-12-01,10,58,1959.16,33.78,0,0.00,0.0,5359.46,3400.3,2.7356
Paid Social,2025-02-01,2026-01-01,11,58,1959.16,33.78,0,0.00,0.0,5359.46,3400.3,2.7356
Paid Social,2025-02-01,2026-02-01,12,58,1959.16,33.78,0,0.00,0.0,5359.46,3400.3,2.7356
Paid Social,2025-02-01,2026-03-01,13,58,1959.16,33.78,0,0.00,0.0,5359.46,3400.3,2.7356
Paid Social,2025-02-01,2026-04-01,14,58,1959.16,33.78,0,0.00,0.0,5359.46,3400.3,2.7356
Paid Social,2025-02-01,2026-05-01,15,58,1959.16,33.78,0,0.00,0.0,5359.46,3400.3,2.7356
Paid Social,2025-02-01,2026-06-01,16,58,1959.16,33.78,0,0.00,0.0,5359.46,3400.3,2.7356
Paid Social,2025-09-01,2025-09-01,0,106,3883.04,36.63,101,29202.16,5959.45,5959.45,2076.41,1.5347
Paid Social,2025-09-01,2025-10-01,1,106,3883.04,36.63,11,2434.72,677.24,6636.69,2753.65,1.7091
Paid Social,2025-09-01,2025-11-01,2,106,3883.04,36.63,15,3637.32,537.13,7173.82,3290.78,1.8475
Paid Social,2025-09-01,2025-12-01,3,106,3883.04,36.63,13,2784.56,369.88,7543.7,3660.66,1.9427
Paid Social,2025-09-01,2026-01-01,4,106,3883.04,36.63,5,568.48,104.53,7648.23,3765.19,1.9697
Paid Social,2025-09-01,2026-02-01,5,106,3883.04,36.63,4,1591.60,156.38,7804.61,3921.57,2.0099
Paid Social,2025-09-01,2026-03-01,6,106,3883.04,36.63,4,1509.19,398.68,8203.29,4320.25,2.1126
Paid Social,2025-09-01,2026-04-01,7,106,3883.04,36.63,0,0.00,0.0,8203.29,4320.25,2.1126
Paid Social,2025-09-01,2026-05-01,8,106,3883.04,36.63,1,639.39,136.25,8339.54,4456.5,2.1477
Paid Social,2025-09-01,2026-06-01,9,106,3883.04,36.63,1,557.59,9.37,8348.91,4465.87,2.1501
Paid Social,2025-12-01,2025-12-01,0,154,5758.03,37.39,147,36789.17,7257.26,7257.26,1499.23,1.2604
Paid Social,2025-12-01,2026-01-01,1,154,5758.03,37.39,20,5521.29,965.96,8223.22,2465.19,1.4281
Paid Social,2025-12-01,2026-02-01,2,154,5758.03,37.39,12,2717.46,539.33,8762.55,3004.52,1.5218
Paid Social,2025-12-01,2026-03-01,3,154,5758.03,37.39,11,2746.99,550.75,9313.3,3555.27,1.6174
Paid Social,2025-12-01,2026-04-01,4,154,5758.03,37.39,11,2285.97,737.44,10050.74,4292.71,1.7455
Paid Social,2025-12-01,2026-05-01,5,154,5758.03,37.39,3,385.66,110.74,10161.48,4403.45,1.7647
Paid Social,2025-12-01,2026-06-01,6,154,5758.03,37.39,2,296.26,-11.36,10150.12,4392.09,1.7628
Paid Social,2026-02-01,2026-02-01,0,108,4241.48,39.27,101,28971.03,5066.46,5066.46,824.98,1.1945
Paid Social,2026-02-01,2026-03-01,1,108,4241.48,39.27,16,4163.29,734.24,5800.7,1559.22,1.3676
Paid Social,2026-02-01,2026-04-01,2,108,4241.48,39.27,15,3082.27,417.83,6218.53,1977.05,1.4661
Paid Social,2026-02-01,2026-05-01,3,108,4241.48,39.27,7,3341.45,750.19,6968.72,2727.24,1.643
Paid Social,2026-02-01,2026-06-01,4,108,4241.48,39.27,4,951.89,-9.62,6959.1,2717.62,1.6407
Affiliate,2024-05-01,2024-05-01,0,34,1448.36,42.6,31,8417.15,1590.55,1590.55,142.19,1.0982
Affiliate,2024-05-01,2024-06-01,1,34,1448.36,42.6,6,1302.83,188.02,1778.57,330.21,1.228
Affiliate,2024-05-01,2024-07-01,2,34,1448.36,42.6,7,1935.84,5.01,1783.58,335.22,1.2314
Affiliate,2024-05-01,2024-08-01,3,34,1448.36,42.6,2,378.37,-109.17,1674.41,226.05,1.1561
Affiliate,2024-05-01,2024-09-01,4,34,1448.36,42.6,2,284.34,97.08,1771.49,323.13,1.2231
Affiliate,2024-05-01,2024-10-01,5,34,1448.36,42.6,0,0.00,0.0,1771.49,323.13,1.2231
Affiliate,2024-05-01,2024-11-01,6,34,1448.36,42.6,2,770.37,-185.94,1585.55,137.19,1.0947
Affiliate,2024-05-01,2024-12-01,7,34,1448.36,42.6,2,476.03,-282.58,1302.97,-145.39,0.8996
Affiliate,2024-05-01,2025-01-01,8,34,1448.36,42.6,1,234.92,51.72,1354.69,-93.67,0.9353
Affiliate,2024-05-01,2025-02-01,9,34,1448.36,42.6,0,0.00,0.0,1354.69,-93.67,0.9353
Affiliate,2024-05-01,2025-03-01,10,34,1448.36,42.6,0,0.00,0.0,1354.69,-93.67,0.9353
Affiliate,2024-05-01,2025-04-01,11,34,1448.36,42.6,0,0.00,0.0,1354.69,-93.67,0.9353
Affiliate,2024-05-01,2025-05-01,12,34,1448.36,42.6,0,0.00,0.0,1354.69,-93.67,0.9353
Affiliate,2024-05-01,2025-06-01,13,34,1448.36,42.6,0,0.00,0.0,1354.69,-93.67,0.9353
Affiliate,2024-05-01,2025-07-01,14,34,1448.36,42.6,0,0.00,0.0,1354.69,-93.67,0.9353
Affiliate,2024-05-01,2025-08-01,15,34,1448.36,42.6,0,0.00,0.0,1354.69,-93.67,0.9353
