product_id,sku,product_name,category,subcategory,brand,unit_cost,list_price,weight_kg,list_margin_rate,order_lines,units_sold,units_returned,gross_revenue,discount_amount,net_revenue,refund_amount,cogs,net_shipping_cost,contribution_margin,avg_discount_rate,unit_return_rate,contribution_margin_rate,margin_rate_vs_list
P00169,BEA-COS-00169,Ellery & Co Cosmetic 688,Beauty,Cosmetics,Ellery & Co,23.10,50.39,0.34,0.5416,147,190,7,9574.10,849.79,8724.31,314.63,4227.3,238.49,3943.89,0.0888,0.0368,0.4521,-0.0895
P00096,ELE-ACC-00096,Mokkan Accessorie 176,Electronics,Accessories,Mokkan,404.98,448.18,1.62,0.0964,166,210,19,94117.80,8472.53,85645.27,8238.05,78566.12,755.03,-1913.93,0.09,0.0905,-0.0223,-0.1187
P00072,FOO-SAN-00072,Brightpath Sandal 472,Footwear,Sandals,Brightpath,23.58,58.95,1.57,0.6,164,210,43,12379.50,927.19,11452.31,2398.79,4220.82,388.5,4444.2,0.0749,0.2048,0.3881,-0.2119
P00132,HOM-COO-00132,Ellery & Co Cookware 522,Home & Kitchen,Cookware,Ellery & Co,39.88,68.52,2.76,0.418,166,202,27,13841.04,1164.70,12676.34,1774.60,7178.4,503.14,3220.2,0.0841,0.1337,0.254,-0.164
P00048,APP-DRE-00048,Latitude 54 Dresse 450,Apparel,Dresses,Latitude 54,55.51,122.50,1.17,0.5469,163,200,51,24500.00,2281.00,22219.00,5707.41,8659.56,481.81,7370.22,0.0931,0.255,0.3317,-0.2152
P00028,APP-DRE-00028,Mokkan Dresse 558,Apparel,Dresses,Mokkan,11.74,31.99,0.43,0.633,140,167,44,5342.33,526.90,4815.43,1225.55,1479.24,27.33,2083.31,0.0986,0.2635,0.4326,-0.2004
P00138,HOM-BED-00138,Ellery & Co Bedding 633,Home & Kitchen,Bedding,Ellery & Co,48.20,76.21,9.83,0.3675,154,195,20,14860.95,1488.83,13372.12,1383.21,8627.8,845.42,2515.69,0.1002,0.1026,0.1881,-0.1794
P00158,BEA-COS-00158,Latitude 54 Cosmetic 796,Beauty,Cosmetics,Latitude 54,25.78,70.58,0.43,0.6347,141,176,7,12422.08,947.40,11474.68,480.92,4434.16,287.5,6272.1,0.0763,0.0398,0.5466,-0.0881
P00049,APP-TOP-00049,Brightpath Top 937,Apparel,Tops,Brightpath,18.90,45.89,0.62,0.5881,144,177,48,8122.53,818.49,7304.04,1965.71,2646.0,193.99,2498.34,0.1008,0.2712,0.342,-0.2461
P00080,FOO-SAN-00080,Ellery & Co Sandal 743,Footwear,Sandals,Ellery & Co,23.30,49.77,1.10,0.5318,167,212,56,10551.24,1208.76,9342.48,2611.22,3891.1,277.25,2562.91,0.1146,0.2642,0.2743,-0.2575
P00011,APP-OUT-00011,Northvale Outerwear 281,Apparel,Outerwear,Northvale,51.20,133.12,0.40,0.6154,161,189,38,25159.68,2629.10,22530.58,4560.87,8192.0,382.39,9395.32,0.1045,0.2011,0.417,-0.1984
P00056,FOO-SAN-00056,Puresel Sandal 949,Footwear,Sandals,Puresel,44.87,105.15,1.56,0.5733,178,225,51,23658.75,1960.01,21698.74,4922.51,8211.21,540.61,8024.41,0.0828,0.2267,0.3698,-0.2035
P00061,FOO-TRA-00061,Northvale Trainer 705,Footwear,Trainers,Northvale,19.15,44.28,1.54,0.5675,160,203,63,8988.84,811.91,8176.93,2513.99,2929.95,185.91,2547.08,0.0903,0.3103,0.3115,-0.256
P00089,ELE-AUD-00089,Corda Audio 419,Electronics,Audio,Corda,251.96,337.55,2.30,0.2536,158,178,12,60083.90,5297.70,54786.20,3944.00,42581.24,682.81,7578.15,0.0882,0.0674,0.1383,-0.1153
P00009,APP-OUT-00009,Mokkan Outerwear 128,Apparel,Outerwear,Mokkan,31.16,73.72,0.39,0.5773,145,178,40,13122.16,1033.38,12088.78,2697.26,4393.56,274.83,4723.13,0.0788,0.2247,0.3907,-0.1866
P00016,APP-KNI-00016,Brightpath Knitwear 611,Apparel,Knitwear,Brightpath,21.73,54.64,0.87,0.6023,153,192,41,10490.88,1184.84,9306.04,2018.29,3389.88,294.93,3602.94,0.1129,0.2135,0.3872,-0.2151
P00025,APP-OUT-00025,Corda Outerwear 345,Apparel,Outerwear,Corda,48.90,125.94,0.95,0.6117,148,183,60,23047.02,2298.46,20748.56,6928.93,6601.5,423.59,6794.54,0.0997,0.3279,0.3275,-0.2842
P00106,ELE-ACC-00106,Ellery & Co Accessorie 979,Electronics,Accessories,Ellery & Co,91.61,104.67,3.85,0.1248,158,192,14,20096.64,2382.85,17713.79,1315.25,16581.41,542.15,-725.02,0.1186,0.0729,-0.0409,-0.1657
P00149,BEA-FRA-00149,Mokkan Fragrance 884,Beauty,Fragrance,Mokkan,26.57,72.73,0.39,0.6347,157,192,7,13964.16,1321.95,12642.21,508.33,4968.59,306.24,6859.07,0.0947,0.0365,0.5426,-0.0921
P00085,ELE-WEA-00085,Ellery & Co Wearable 752,Electronics,Wearables,Ellery & Co,146.43,166.79,2.93,0.1221,159,200,12,33358.00,2854.06,30503.94,1619.59,27821.7,598.47,464.18,0.0856,0.06,0.0152,-0.1069
P00152,BEA-SKI-00152,Northvale Skincare 376,Beauty,Skincare,Northvale,10.18,28.36,0.21,0.641,152,186,4,5274.96,525.89,4749.07,111.81,1852.76,63.66,2720.84,0.0997,0.0215,0.5729,-0.0681
P00084,ELE-WEA-00084,Corda Wearable 636,Electronics,Wearables,Corda,171.99,208.44,2.93,0.1749,152,189,7,39395.16,3596.09,35799.07,1236.38,31474.17,661.25,2427.27,0.0913,0.037,0.0678,-0.1071
P00113,HOM-STO-00113,Mokkan Storage 819,Home & Kitchen,Storage,Mokkan,50.86,86.78,4.17,0.4139,159,184,16,15967.52,1286.92,14680.60,1239.92,8697.06,635.45,4108.17,0.0806,0.087,0.2798,-0.1341
P00167,BEA-FRA-00167,Latitude 54 Fragrance 795,Beauty,Fragrance,Latitude 54,21.13,59.63,0.42,0.6456,189,226,6,13476.38,1131.62,12344.76,353.66,4669.73,315.32,7006.07,0.084,0.0265,0.5675,-0.0781
P00040,APP-TOP-00040,Puresel Top 225,Apparel,Tops,Puresel,40.97,113.30,0.43,0.6384,157,179,43,20280.70,1573.46,18707.24,4467.72,5940.65,368.14,7930.73,0.0776,0.2402,0.4239,-0.2145
P00107,ELE-WEA-00107,Corda Wearable 155,Electronics,Wearables,Corda,96.86,109.03,1.62,0.1116,146,186,14,20279.58,1512.69,18766.89,1484.77,16853.64,412.23,16.25,0.0746,0.0753,0.0009,-0.1107
P00046,APP-DRE-00046,Brightpath Dresse 911,Apparel,Dresses,Brightpath,51.08,117.17,0.38,0.5641,155,204,43,23902.68,2082.11,21820.57,4510.44,8785.76,350.38,8173.99,0.0871,0.2108,0.3746,-0.1895
P00033,APP-DEN-00033,Northvale Denim 655,Apparel,Denim,Northvale,17.87,44.67,0.31,0.6,173,214,34,9559.38,740.81,8818.57,1384.04,3359.56,111.35,3963.62,0.0775,0.1589,0.4495,-0.1505
P00076,FOO-TRA-00076,Puresel Trainer 695,Footwear,Trainers,Puresel,34.28,83.39,1.89,0.5889,176,220,59,18345.80,1668.28,16677.52,4623.65,6204.68,442.78,5406.41,0.0909,0.2682,0.3242,-0.2647
P00103,ELE-SMA-00103,Latitude 54 Small Appliance 785,Electronics,Small Appliances,Latitude 54,90.01,111.90,5.50,0.1956,159,190,21,21261.00,2079.36,19181.64,2093.21,15661.74,652.22,774.47,0.0978,0.1105,0.0404,-0.1552
P00004,APP-KNI-00004,Puresel Knitwear 222,Apparel,Knitwear,Puresel,13.98,33.94,0.85,0.5881,161,200,50,6788.00,675.02,6112.98,1554.23,2208.84,120.13,2229.78,0.0994,0.25,0.3648,-0.2233
P00090,ELE-AUD-00090,Corda Audio 849,Electronics,Audio,Corda,243.16,290.67,5.96,0.1634,156,193,14,56099.31,4144.37,51954.94,4069.38,44011.96,893.6,2980.0,0.0739,0.0725,0.0574,-0.106
P00092,ELE-ACC-00092,Puresel Accessorie 389,Electronics,Accessories,Puresel,181.55,209.32,4.99,0.1327,195,254,16,53167.28,4108.31,49058.97,2941.13,43390.45,1056.64,1670.75,0.0773,0.063,0.0341,-0.0986
P00038,APP-DRE-00038,Ellery & Co Dresse 637,Apparel,Dresses,Ellery & Co,37.94,83.70,0.83,0.5467,153,193,26,16154.10,1406.83,14747.27,1984.23,6525.68,348.3,5889.06,0.0871,0.1347,0.3993,-0.1474
P00108,ELE-AUD-00108,Ellery & Co Audio 543,Electronics,Audio,Ellery & Co,100.11,119.88,3.45,0.1649,179,227,19,27212.76,2302.71,24910.05,2114.35,21223.32,692.13,880.25,0.0846,0.0837,0.0353,-0.1296
P00171,SPO-CYC-00171,Ellery & Co Cycling 588,Sports & Outdoors,Cycling,Ellery & Co,42.12,68.19,8.92,0.3823,183,224,30,15274.56,1442.16,13832.40,1861.41,8466.12,777.85,2727.02,0.0944,0.1339,0.1971,-0.1852
P00053,APP-TOP-00053,Latitude 54 Top 833,Apparel,Tops,Latitude 54,38.03,103.71,0.54,0.6333,159,202,56,20949.42,1398.21,19551.21,5475.54,6274.95,377.12,7423.6,0.0667,0.2772,0.3797,-0.2536
P00078,FOO-SAN-00078,Corda Sandal 900,Footwear,Sandals,Corda,61.02,128.93,1.08,0.5267,155,205,54,26430.65,2470.74,23959.91,6355.73,10617.48,467.2,6519.5,0.0935,0.2634,0.2721,-0.2546
P00128,HOM-BED-00128,Northvale Bedding 829,Home & Kitchen,Bedding,Northvale,12.57,22.27,4.21,0.4356,169,204,10,4543.08,319.21,4223.87,219.94,2438.58,217.93,1347.42,0.0703,0.049,0.319,-0.1166
P00094,ELE-ACC-00094,Latitude 54 Accessorie 164,Electronics,Accessories,Latitude 54,316.81,384.95,4.48,0.177,182,227,14,87383.65,6885.11,80498.54,5062.59,67797.34,1093.55,6545.06,0.0788,0.0617,0.0813,-0.0957
P00041,APP-OUT-00041,Latitude 54 Outerwear 930,Apparel,Outerwear,Latitude 54,59.43,125.23,0.40,0.5254,164,209,48,26173.07,2820.04,23353.03,5347.19,11053.98,385.07,6566.79,0.1077,0.2297,0.2812,-0.2442
P00176,SPO-CYC-00176,Ellery & Co Cycling 630,Sports & Outdoors,Cycling,Ellery & Co,78.37,169.90,5.24,0.5387,141,176,26,29902.40,2349.61,27552.79,3855.11,11990.61,792.91,10914.16,0.0786,0.1477,0.3961,-0.1426
P00162,BEA-HAI-00162,Ellery & Co Haircare 690,Beauty,Haircare,Ellery & Co,20.66,63.36,0.45,0.6739,150,171,9,10834.56,928.24,9906.32,472.50,3450.22,282.27,5701.33,0.0857,0.0526,0.5755,-0.0984
P00054,FOO-SAN-00054,Mokkan Sandal 922,Footwear,Sandals,Mokkan,29.51,59.52,1.72,0.5042,158,193,50,11487.36,1000.72,10486.64,2639.16,4485.52,337.56,3024.4,0.0871,0.2591,0.2884,-0.2158
P00111,HOM-STO-00111,Brightpath Storage 900,Home & Kitchen,Storage,Brightpath,96.17,166.13,5.75,0.4211,195,245,15,40701.85,3082.34,37619.51,2229.78,22311.44,1180.44,11897.85,0.0757,0.0612,0.3163,-0.1048
P00017,APP-DRE-00017,Corda Dresse 741,Apparel,Dresses,Corda,11.87,27.43,0.50,0.5673,148,182,40,4992.26,378.51,4613.75,1049.40,1780.5,42.34,1741.51,0.0758,0.2198,0.3775,-0.1898
P00027,APP-OUT-00027,Mokkan Outerwear 563,Apparel,Outerwear,Mokkan,13.32,31.13,0.57,0.5721,151,182,40,5665.66,431.12,5234.54,1168.10,1998.0,97.36,1971.08,0.0761,0.2198,0.3766,-0.1955
P00098,ELE-AUD-00098,Brightpath Audio 944,Electronics,Audio,Brightpath,105.53,126.60,3.23,0.1664,164,210,28,26586.00,2058.84,24527.16,3252.38,19734.11,596.82,943.85,0.0774,0.1333,0.0385,-0.1279
P00100,ELE-ACC-00100,Latitude 54 Accessorie 885,Electronics,Accessories,Latitude 54,331.49,386.68,3.33,0.1427,148,181,15,69989.08,6987.08,63002.00,5019.26,56684.79,787.76,510.19,0.0998,0.0829,0.0081,-0.1346
P00008,APP-TOP-00008,Brightpath Top 270,Apparel,Tops,Brightpath,29.93,83.50,0.74,0.6416,152,192,53,16032.00,947.23,15084.77,4050.79,4399.71,352.46,6281.81,0.0591,0.276,0.4164,-0.2252
P00170,SPO-CYC-00170,Corda Cycling 740,Sports & Outdoors,Cycling,Corda,120.57,216.26,1.33,0.4425,187,242,28,52334.92,4390.28,47944.64,5837.08,26163.69,747.25,15196.62,0.0839,0.1157,0.317,-0.1255
P00066,FOO-SAN-00066,Puresel Sandal 860,Footwear,Sandals,Puresel,48.93,111.95,0.95,0.5629,150,190,54,21270.50,1544.96,19725.54,5699.68,7339.5,418.86,6267.5,0.0726,0.2842,0.3177,-0.2452
P00177,SPO-CYC-00177,Latitude 54 Cycling 248,Sports & Outdoors,Cycling,Latitude 54,158.51,276.02,1.19,0.4257,183,218,21,60172.36,6301.72,53870.64,5180.42,32019.02,710.26,15960.94,0.1047,0.0963,0.2963,-0.1294
P00101,ELE-SMA-00101,Corda Small Appliance 324,Electronics,Small Appliances,Corda,97.57,112.24,0.66,0.1307,177,208,15,23345.92,1935.47,21410.45,1544.08,19318.86,402.52,144.99,0.0829,0.0721,0.0068,-0.1239
P00105,ELE-WEA-00105,Northvale Wearable 938,Electronics,Wearables,Northvale,326.10,393.89,5.09,0.1721,144,170,14,66961.30,5009.01,61952.29,5300.66,51197.7,870.64,4583.29,0.0748,0.0824,0.074,-0.0981
P00127,HOM-COO-00127,Latitude 54 Cookware 913,Home & Kitchen,Cookware,Latitude 54,116.95,194.09,6.34,0.3974,167,216,16,41923.44,2726.55,39196.89,2973.83,23623.9,1065.59,11533.57,0.065,0.0741,0.2942,-0.1032
P00160,BEA-FRA-00160,Puresel Fragrance 166,Beauty,Fragrance,Puresel,23.31,65.82,0.26,0.6459,165,205,10,13493.10,945.35,12547.75,580.50,4592.07,286.71,7088.47,0.0701,0.0488,0.5649,-0.081
P00109,ELE-AUD-00109,Corda Audio 482,Electronics,Audio,Corda,160.85,186.86,0.52,0.1392,162,197,18,36811.42,3788.79,33022.63,3143.80,29435.55,472.84,-29.56,0.1029,0.0914,-0.0009,-0.1401
P00185,SPO-SWI-00185,Puresel Swim 160,Sports & Outdoors,Swim,Puresel,127.68,245.75,4.99,0.4804,164,199,19,48904.25,4840.93,44063.32,4014.69,23493.12,874.21,15681.3,0.099,0.0955,0.3559,-0.1245
P00135,HOM-BED-00135,Ellery & Co Bedding 297,Home & Kitchen,Bedding,Ellery & Co,87.29,140.35,5.68,0.3781,146,173,15,24280.55,1863.95,22416.60,1996.03,13966.4,799.66,5654.51,0.0768,0.0867,0.2522,-0.1259
P00151,BEA-SKI-00151,Brightpath Skincare 241,Beauty,Skincare,Brightpath,21.90,57.14,0.21,0.6167,161,190,8,10856.60,911.40,9945.20,391.44,3985.8,240.35,5327.61,0.0839,0.0421,0.5357,-0.081
P00172,SPO-FIT-00172,Ellery & Co Fitnes 618,Sports & Outdoors,Fitness,Ellery & Co,50.70,93.79,1.89,0.4594,152,177,28,16600.83,1387.58,15213.25,2487.19,7909.2,406.13,4410.73,0.0836,0.1582,0.2899,-0.1695
P00045,APP-KNI-00045,Puresel Knitwear 971,Apparel,Knitwear,Puresel,29.43,70.92,0.76,0.585,161,219,48,15531.48,1445.66,14085.82,3103.45,5179.68,351.04,5451.65,0.0931,0.2192,0.387,-0.198
P00015,APP-TOP-00015,Corda Top 345,Apparel,Tops,Corda,26.67,66.55,1.01,0.5992,172,225,42,14973.75,1509.27,13464.48,2534.08,5013.96,361.22,5555.22,0.1008,0.1867,0.4126,-0.1866
P00051,APP-DEN-00051,Corda Denim 672,Apparel,Denim,Corda,17.54,43.18,0.68,0.5938,182,234,59,10104.12,919.75,9184.37,2319.46,3244.9,186.64,3433.37,0.091,0.2521,0.3738,-0.22
P00026,APP-DRE-00026,Corda Dresse 936,Apparel,Dresses,Corda,17.70,34.19,0.43,0.4823,175,209,40,7145.71,589.74,6555.97,1246.99,3203.7,96.22,2009.06,0.0825,0.1914,0.3064,-0.1759
P00058,FOO-TRA-00058,Brightpath Trainer 178,Footwear,Trainers,Brightpath,74.05,156.81,1.89,0.5278,173,216,48,33870.96,2589.21,31281.75,7122.19,13551.15,637.79,9970.62,0.0764,0.2222,0.3187,-0.2091
P00180,SPO-FIT-00180,Brightpath Fitnes 909,Sports & Outdoors,Fitness,Brightpath,128.70,219.47,7.48,0.4136,153,178,18,39065.66,2282.42,36783.24,3824.28,20978.1,1036.56,10944.3,0.0584,0.1011,0.2975,-0.1161
P00163,BEA-HAI-00163,Brightpath Haircare 315,Beauty,Haircare,Brightpath,13.92,39.36,0.42,0.6463,152,187,8,7360.32,683.03,6677.29,277.58,2505.6,85.53,3808.58,0.0928,0.0428,0.5704,-0.0759
P00059,FOO-TRA-00059,Latitude 54 Trainer 379,Footwear,Trainers,Latitude 54,70.04,129.93,1.44,0.4609,157,183,49,23777.19,1885.57,21891.62,5882.94,10015.72,471.91,5521.05,0.0793,0.2678,0.2522,-0.2087
P00182,SPO-CYC-00182,Northvale Cycling 469,Sports & Outdoors,Cycling,Northvale,26.95,47.86,5.80,0.4369,168,212,20,10146.32,794.09,9352.23,872.74,5255.25,577.62,2646.62,0.0783,0.0943,0.283,-0.1539
P00077,FOO-BOO-00077,Ellery & Co Boot 761,Footwear,Boots,Ellery & Co,40.92,105.21,1.09,0.6111,179,212,55,22304.52,1663.09,20641.43,5326.08,6997.32,448.32,7869.71,0.0746,0.2594,0.3813,-0.2298
P00146,BEA-FRA-00146,Mokkan Fragrance 928,Beauty,Fragrance,Mokkan,15.82,45.85,0.39,0.655,153,198,4,9078.30,774.92,8303.38,160.45,3069.08,257.73,4816.12,0.0854,0.0202,0.58,-0.075
P00088,ELE-AUD-00088,Mokkan Audio 658,Electronics,Audio,Mokkan,299.27,384.21,0.93,0.2211,169,198,17,76073.58,7408.73,68664.85,5912.80,55364.95,641.18,6745.92,0.0974,0.0859,0.0982,-0.1229
P00006,APP-DEN-00006,Puresel Denim 110,Apparel,Denim,Puresel,11.88,31.44,0.35,0.6221,167,212,45,6665.28,502.87,6162.41,1295.86,2043.36,95.53,2727.66,0.0754,0.2123,0.4426,-0.1795
P00022,APP-KNI-00022,Northvale Knitwear 727,Apparel,Knitwear,Northvale,14.69,40.61,0.68,0.6383,171,233,66,9462.13,754.87,8707.26,2403.80,2702.96,182.18,3418.32,0.0798,0.2833,0.3926,-0.2457
P00186,SPO-FIT-00186,Latitude 54 Fitnes 411,Sports & Outdoors,Fitness,Latitude 54,138.32,272.93,1.02,0.4932,161,193,20,52675.49,5549.53,47125.96,4961.24,24206.0,658.84,17299.88,0.1054,0.1036,0.3671,-0.1261
P00073,FOO-BOO-00073,Brightpath Boot 379,Footwear,Boots,Brightpath,38.42,79.76,1.91,0.5183,176,219,56,17467.44,1630.53,15836.91,3999.90,6761.92,427.55,4647.54,0.0933,0.2557,0.2935,-0.2248
P00064,FOO-BOO-00064,Mokkan Boot 827,Footwear,Boots,Mokkan,42.64,93.30,1.34,0.543,159,205,56,19126.50,1655.66,17470.84,4752.62,6609.2,401.97,5707.05,0.0866,0.2732,0.3267,-0.2163
P00125,HOM-LIG-00125,Latitude 54 Lighting 625,Home & Kitchen,Lighting,Latitude 54,65.07,100.06,4.82,0.3497,176,205,16,20512.30,1541.13,18971.17,1491.63,12558.51,723.28,4197.75,0.0751,0.078,0.2213,-0.1284
P00021,APP-DEN-00021,Northvale Denim 222,Apparel,Denim,Northvale,21.16,52.72,1.19,0.5986,160,204,50,10754.88,1053.08,9701.80,2382.19,3385.6,274.09,3659.92,0.0979,0.2451,0.3772,-0.2214
P00143,HOM-TAB-00143,Mokkan Tableware 266,Home & Kitchen,Tableware,Mokkan,13.98,21.76,3.72,0.3575,161,191,23,4156.16,282.08,3874.08,468.57,2376.6,212.04,816.87,0.0679,0.1204,0.2109,-0.1466
P00042,APP-KNI-00042,Latitude 54 Knitwear 934,Apparel,Knitwear,Latitude 54,40.02,98.30,0.28,0.5929,158,183,38,17988.90,1712.14,16276.76,3500.88,6123.06,355.29,6297.53,0.0952,0.2077,0.3869,-0.206
P00003,APP-OUT-00003,Northvale Outerwear 848,Apparel,Outerwear,Northvale,13.69,32.59,0.26,0.5799,168,217,39,7072.03,547.37,6524.66,1190.96,2505.27,140.31,2688.12,0.0774,0.1797,0.412,-0.1679
P00179,SPO-FIT-00179,Mokkan Fitnes 640,Sports & Outdoors,Fitness,Mokkan,30.73,49.48,2.58,0.3789,166,218,24,10786.64,877.79,9908.85,1093.79,5992.35,407.23,2415.48,0.0814,0.1101,0.2438,-0.1351
P00164,BEA-COS-00164,Ellery & Co Cosmetic 770,Beauty,Cosmetics,Ellery & Co,24.71,55.17,0.39,0.5521,152,188,3,10371.96,937.53,9434.43,142.75,4571.35,237.79,4482.54,0.0904,0.016,0.4751,-0.077
P00150,BEA-HAI-00150,Puresel Haircare 378,Beauty,Haircare,Puresel,26.22,59.37,0.35,0.5584,171,209,7,12408.33,1093.82,11314.51,391.56,5348.88,297.05,5277.02,0.0882,0.0335,0.4664,-0.092
P00069,FOO-SAN-00069,Brightpath Sandal 890,Footwear,Sandals,Brightpath,60.21,148.15,0.82,0.5936,180,226,41,33481.90,3324.93,30156.97,5437.25,11620.53,518.6,12580.59,0.0993,0.1814,0.4172,-0.1764
P00142,HOM-COO-00142,Northvale Cookware 155,Home & Kitchen,Cookware,Northvale,75.86,138.70,3.30,0.4531,185,227,14,31484.90,2746.11,28738.79,1654.89,16158.18,856.8,10068.92,0.0872,0.0617,0.3504,-0.1027
P00032,APP-OUT-00032,Mokkan Outerwear 271,Apparel,Outerwear,Mokkan,12.40,34.46,0.92,0.6402,185,233,66,8029.18,664.72,7364.46,2112.22,2219.6,140.03,2892.61,0.0828,0.2833,0.3928,-0.2474
P00079,FOO-SAN-00079,Mokkan Sandal 690,Footwear,Sandals,Mokkan,44.77,67.74,0.97,0.3391,192,249,64,16867.26,1169.37,15697.89,3878.03,9088.31,419.98,2311.57,0.0693,0.257,0.1473,-0.1918
P00115,HOM-LIG-00115,Puresel Lighting 154,Home & Kitchen,Lighting,Puresel,70.63,110.04,4.09,0.3581,182,242,25,26629.68,2068.28,24561.40,2306.60,15679.86,818.85,5756.09,0.0777,0.1033,0.2344,-0.1237
P00130,HOM-COO-00130,Ellery & Co Cookware 889,Home & Kitchen,Cookware,Ellery & Co,149.72,206.19,2.96,0.2739,178,232,21,47836.08,2720.82,45115.26,4061.27,32788.68,891.74,7373.57,0.0569,0.0905,0.1634,-0.1105
P00050,APP-KNI-00050,Brightpath Knitwear 823,Apparel,Knitwear,Brightpath,49.87,116.54,0.50,0.5721,156,200,38,23308.00,1534.68,21773.32,4057.18,8477.9,384.05,8854.19,0.0658,0.19,0.4067,-0.1654
P00029,APP-KNI-00029,Puresel Knitwear 529,Apparel,Knitwear,Puresel,46.27,116.07,0.57,0.6014,160,198,45,22981.86,2034.42,20947.44,4560.73,7356.93,388.48,8641.3,0.0885,0.2273,0.4125,-0.1889
P00154,BEA-COS-00154,Ellery & Co Cosmetic 838,Beauty,Cosmetics,Ellery & Co,14.41,38.78,0.50,0.6284,153,188,13,7290.64,522.50,6768.14,466.10,2622.62,83.39,3596.03,0.0717,0.0691,0.5313,-0.0971
P00074,FOO-TRA-00074,Puresel Trainer 609,Footwear,Trainers,Puresel,47.79,128.17,1.01,0.6271,193,233,53,29863.61,2714.70,27148.91,6338.22,9319.05,583.76,10907.88,0.0909,0.2275,0.4018,-0.2253
P00020,APP-DEN-00020,Ellery & Co Denim 918,Apparel,Denim,Ellery & Co,46.92,131.49,0.98,0.6432,175,222,36,29190.78,2513.38,26677.40,4317.42,9102.48,514.66,12742.84,0.0861,0.1622,0.4777,-0.1655
P00030,APP-DEN-00030,Latitude 54 Denim 950,Apparel,Denim,Latitude 54,42.48,99.97,0.22,0.5751,154,195,43,19494.15,1818.47,17675.68,4083.07,6881.76,338.01,6372.84,0.0933,0.2205,0.3605,-0.2146
P00121,HOM-TAB-00121,Mokkan Tableware 954,Home & Kitchen,Tableware,Mokkan,73.12,95.77,8.09,0.2365,148,176,16,16855.52,1730.21,15125.31,1410.89,11918.56,815.99,979.87,0.1026,0.0909,0.0648,-0.1717
P00075,FOO-FOR-00075,Latitude 54 Formal 286,Footwear,Formal,Latitude 54,26.42,51.74,1.17,0.4894,155,184,50,9520.16,919.34,8600.82,2320.80,3804.48,254.66,2220.88,0.0966,0.2717,0.2582,-0.2312
P00087,ELE-AUD-00087,Brightpath Audio 927,Electronics,Audio,Brightpath,390.14,437.19,2.57,0.1076,173,212,13,92684.28,7020.67,85663.61,5410.97,79978.7,890.94,-617.0,0.0757,0.0613,-0.0072,-0.1148
